#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);LOF_2013_REL_NOR;LOF_2013_SUA_NOR
412665;Sulina - PR;3366.0;13531296.34;0.00;0.00;0.00;3089348.49;0.00;0.00;0.00;589100.32;0.00;2314345.13;0.00;2736462.92;144683.16;0.00;598737.04;0.00;69022.31;29237.70;0.00;756705.97;0.00;0.00;32389.08;0.00;0.00;3027306.43;143957.79;0.00;0.00;1.35;1.11
420665;Guatambú - SC;4746.0;14431647.94;563128.08;0.00;0.00;1960619.09;0.00;69507.47;0.00;790205.27;0.00;3770958.79;0.00;3364018.14;474.40;0.00;579139.13;0.00;0.00;153943.66;0.00;898080.50;0.00;0.00;0.00;0.00;0.00;1589600.83;92951.77;599020.81;0.00;1.11;1.05
431040;Independência - RS;6714.0;13640867.62;771794.38;0.00;0.00;1831191.28;0.00;386.14;0.00;485310.36;993210.34;3578816.24;0.00;3485438.88;44312.58;0.00;673353.23;35467.39;78554.62;39661.18;0.00;420633.17;0.00;33.89;0.00;0.00;0.00;425879.10;5917.80;770907.04;1237020.41;1.13;1.02
432253;Vale do Sol - RS;11563.0;21546530.49;655782.93;0.00;0.00;5109349.31;0.00;34653.53;0.00;425213.29;0.00;4592671.85;0.00;6985692.16;219659.11;62528.38;9187.30;0.00;424100.08;93436.00;0.00;506187.79;0.00;17781.64;6306.22;0.00;109494.00;1467854.89;2383.00;824249.01;1187920.33;1.34;1.23
431870;São Leopoldo - RS;225520.0;533136341.37;8026472.92;2693720.09;0.00;81370888.18;824.57;12993879.16;0.00;15088539.98;24197502.03;150864821.92;220317.70;125547927.60;2457482.78;1107080.99;28972254.16;8414146.23;35505812.31;15600559.92;0.00;22860.19;0.00;1740189.06;0.00;0.00;0.00;1151530.89;1500176.53;15659354.16;14837938.94;1.20;1.14
220060;Angical do Piauí - PI;6703.0;11860461.12;396651.40;0.00;0.00;1867223.77;0.00;0.00;0.00;544585.69;570421.40;3451890.57;0.00;3787536.92;155997.00;0.00;584660.15;0.00;248758.67;0.00;0.00;72147.60;0.00;0.00;0.00;0.00;0.00;1310.00;84797.00;94480.95;0.00;1.05;0.98
430070;Anta Gorda - RS;6235.0;13806834.60;358368.85;0.00;0.00;1073598.67;0.00;0.00;0.00;418728.86;1107599.39;3103411.76;0.00;2823825.24;81967.04;0.00;329760.47;0.00;44315.00;53308.60;285.00;632197.08;0.00;154207.81;321402.47;232485.22;0.00;2500011.01;152792.31;418569.82;915377.17;1.67;1.26
290340;Belmonte - BA;23471.0;43258339.92;1481796.57;0.00;0.00;12724630.39;0.00;0.00;0.00;1913444.49;0.00;6977697.10;0.00;15818274.32;1636239.26;0.00;743284.59;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1962973.20;0.00;1.36;1.15
241100;Rodolfo Fernandes - RN;4549.0;12737360.59;549704.15;0.00;0.00;1748356.77;0.00;0.00;0.00;687533.54;239072.01;3418559.05;0.00;3813770.17;0.00;0.00;2044598.47;0.00;0.00;0.00;0.00;197666.43;0.00;0.00;0.00;0.00;0.00;0.00;38100.00;0.00;0.00;1.20;1.06
311180;Canápolis - MG;11882.0;23914141.03;1303609.49;349990.31;0.00;4344818.05;0.00;0.00;0.00;716459.44;953425.91;6381499.13;0.00;5186641.61;452496.52;0.00;2012071.28;8774.00;0.00;11204.60;0.00;1232696.86;0.00;0.00;0.00;0.00;0.00;288752.84;671700.99;0.00;0.00;1.31;1.10
421165;Novo Horizonte - SC;2681.0;9274237.62;410251.57;0.00;0.00;1449308.02;0.00;5888.93;0.00;261771.90;228037.16;2161996.44;0.00;2256390.41;49337.54;0.00;79086.71;5639.33;0.00;0.00;0.00;1259699.70;0.00;0.00;0.00;0.00;0.00;965523.59;141306.32;0.00;322125.53;1.20;1.13
420950;Laurentino - SC;6402.0;14574697.41;619095.37;0.00;0.00;1869908.11;0.00;565305.78;0.00;573347.74;0.00;2573933.14;0.00;3799215.99;23600.20;0.00;989349.29;117213.50;0.00;8584.81;0.00;1084384.75;0.00;0.00;0.00;0.00;0.00;1721871.82;173936.91;454950.00;0.00;1.36;1.06
292650;Ribeira do Amparo - BA;15186.0;30582925.53;675507.07;101693.35;0.00;4876076.51;0.00;11500.00;0.00;1179673.55;0.00;5838461.01;0.00;11080336.05;713943.85;0.00;2506721.29;0.00;628624.65;163730.41;0.00;12483.00;0.00;0.00;0.00;0.00;0.00;1939145.11;230658.54;624371.14;0.00;1.22;1.09
220217;Campo Largo do Piauí - PI;7016.0;12925447.16;389885.52;0.00;0.00;2030187.56;0.00;0.00;0.00;312089.81;0.00;2110898.64;0.00;6651572.33;40010.73;0.00;514415.57;231777.28;332971.88;0.00;0.00;59760.59;0.00;0.00;0.00;0.00;13890.05;50295.00;145348.88;42343.32;0.00;1.09;1.06
430595;Cotiporã - RS;4019.0;14562777.98;242864.53;0.00;0.00;3688656.91;0.00;0.00;0.00;435149.52;0.00;3235735.70;0.00;3191260.08;181182.92;0.00;513009.07;11387.12;96312.34;125089.54;0.00;1328594.47;0.00;0.00;16269.94;0.00;0.00;750592.59;404495.43;342177.82;0.00;1.24;1.03
430583;Coqueiro Baixo - RS;1567.0;8627368.05;260307.37;0.00;0.00;1072099.39;0.00;18926.80;0.00;435784.76;0.00;2004879.00;0.00;1868657.84;56834.34;0.00;93607.70;10616.49;57235.98;36356.31;0.00;1085114.98;0.00;0.00;1230.00;389.35;11103.74;1307047.60;24473.52;282702.88;0.00;1.33;1.03
220551;Juazeiro do Piauí - PI;4828.0;10358486.75;383953.61;0.00;0.00;1592445.45;0.00;0.00;0.00;434792.34;23855.08;1850868.33;0.00;4862810.20;92985.10;0.00;615386.20;800.00;229914.00;8939.42;0.00;47616.50;0.00;0.00;0.00;7450.00;128734.57;19944.76;57991.19;0.00;0.00;1.20;1.03
430467;Capivari do Sul - RS;4177.0;15189068.14;687152.33;0.00;0.00;4451348.58;0.00;7000.00;0.00;312434.24;0.00;2844725.68;0.00;4272019.73;437322.65;262181.99;1365201.59;0.00;11192.61;2919.25;0.00;156886.36;0.00;84241.94;10362.03;0.00;0.00;0.00;79547.01;204532.15;0.00;2.22;1.20
431349;Novo Barreiro - RS;4138.0;11049280.48;380681.74;0.00;0.00;2174135.55;0.00;2250.00;0.00;467320.01;396171.80;2402331.32;0.00;2649083.78;0.00;0.00;181859.11;0.00;138122.48;111942.67;0.00;690640.87;0.00;157027.87;0.00;0.00;0.00;822648.60;58669.87;416394.81;776379.52;1.31;1.15
220160;Beneditinos - PI;10014.0;14419873.10;399596.65;0.00;0.00;1516689.83;0.00;0.00;0.00;544401.13;0.00;3969974.99;0.00;6765495.49;70519.55;0.00;511368.66;32582.38;128399.73;0.00;0.00;40665.31;0.00;0.00;0.00;0.00;0.00;0.00;286868.62;153310.76;0.00;1.00;1.05
292805;Santa Luzia - BA;13710.0;20353942.83;770931.38;0.00;0.00;4233826.26;0.00;0.00;0.00;716634.94;0.00;4820791.32;0.00;8270327.61;1875.50;0.00;1064511.19;0.00;0.00;0.00;0.00;980.00;0.00;0.00;0.00;0.00;0.00;9734.00;30224.80;434105.83;0.00;0.97;1.00
431295;Nova Boa Vista - RS;1978.0;9579617.50;289093.83;0.00;0.00;1333593.61;0.00;12519.32;0.00;251887.21;310528.81;2320630.42;0.00;2199663.29;186370.40;0.00;580920.37;0.00;116734.70;32781.63;0.00;844230.50;0.00;9486.02;0.00;0.00;0.00;736571.85;103129.61;251475.93;399080.95;1.25;1.03
220559;Lagoa do Sítio - PI;4995.0;11144178.03;371800.32;0.00;0.00;2318346.44;0.00;0.00;0.00;690534.90;0.00;2533060.89;0.00;4015950.36;109406.96;0.00;131890.72;0.00;359551.45;0.00;0.00;156903.79;0.00;0.00;0.00;0.00;0.00;446155.00;10577.20;0.00;0.00;1.13;1.03
432260;Venâncio Aires - RS;69154.0;116223453.93;3487702.23;570577.22;0.00;14548272.61;0.00;348047.02;0.00;2613333.10;9021895.35;36195529.31;852928.11;27564001.99;535135.40;0.00;4915356.46;434799.15;0.00;3920077.55;0.00;2494943.82;0.00;163687.95;195311.34;0.00;0.00;2120916.47;1245974.93;4994963.92;10705673.10;1.16;1.13
430100;Arroio do Meio - RS;19792.0;43386815.17;837137.67;0.00;0.00;4202710.62;0.00;0.00;0.00;1466135.38;1772990.91;8080158.37;0.00;13571408.45;447156.75;4421.03;2741273.46;0.00;0.00;886060.42;0.00;2024235.38;0.00;1912340.74;0.00;83178.77;442458.43;3423052.64;142364.90;1349731.25;0.00;1.52;1.25
430630;David Canabarro - RS;4834.0;12269747.89;450590.84;0.00;0.00;1755992.30;0.00;23200.00;0.00;280383.43;0.00;3601368.43;0.00;2841765.69;218070.95;8338.67;418830.60;0.00;33388.05;77118.08;0.00;648756.66;0.00;73326.39;0.00;146242.10;0.00;1009858.10;223812.08;458705.52;0.00;1.37;1.17
420050;Águas de Chapecó - SC;6313.0;13410115.26;673526.75;0.00;0.00;1459160.27;0.00;22887.73;0.00;913516.93;0.00;3437691.43;201814.22;2577057.25;89182.63;0.00;1077534.54;12368.56;0.00;51567.86;0.00;1041878.17;0.00;0.00;0.00;0.00;0.00;1440685.94;146416.05;264826.93;0.00;1.32;1.10
431215;Mato Leitão - RS;4126.0;12540358.39;391763.47;0.00;0.00;1981467.49;0.00;21158.75;0.00;354498.94;0.00;2983934.57;0.00;3236044.79;140021.06;0.00;325845.09;144658.89;0.00;66263.73;0.00;922195.36;0.00;680576.26;17540.00;6681.70;11674.96;382895.89;67891.79;805245.65;526914.67;1.80;1.10
430510;Caxias do Sul - RS;465304.0;1227380361.51;18089454.78;0.00;5690866.61;85438533.69;0.00;14338585.61;0.00;36629255.90;1943657.73;338014980.03;111130.36;214161778.84;19750232.25;155286.53;117351812.02;6430712.07;120862403.66;22804685.82;7681.69;6605481.81;0.00;0.00;4618146.63;0.00;0.00;16140827.08;9089230.72;189145617.68;113084576.17;2.10;1.14
220177;Boa Hora - PI;6516.0;13421738.39;359530.79;0.00;0.00;1959379.54;0.00;0.00;0.00;399365.18;0.00;2705454.35;0.00;7173763.64;2190.00;0.00;218193.56;0.00;85610.00;7152.00;0.00;89071.94;0.00;0.00;0.00;47160.00;59066.31;55884.70;166848.34;93068.04;0.00;1.42;1.01
420770;Ipumirim - SC;7435.0;20409471.87;590220.05;0.00;48445.24;2150083.25;0.00;53000.00;0.00;824389.34;0.00;5515439.11;0.00;5259681.70;65394.78;0.00;1058377.99;0.00;0.00;37740.44;0.00;1136898.38;0.00;0.00;62355.16;0.00;0.00;2035379.53;345337.76;1226729.14;0.00;1.14;1.17
431545;Relvado - RS;2205.0;9860880.09;305307.46;0.00;0.00;1355991.56;0.00;22068.00;0.00;436163.49;0.00;2396842.39;0.00;1635877.91;126550.17;0.00;141764.37;36397.62;165859.38;88296.93;0.00;1062258.33;0.00;41118.06;21047.00;6419.00;3851.00;1782857.86;39923.00;192286.56;0.00;1.21;1.03
411695;Nova Esperança do Sudoeste - PR;5218.0;13806051.99;0.00;0.00;0.00;2630602.22;0.00;0.00;0.00;538894.76;0.00;3777076.38;0.00;2763022.93;26813.53;0.00;1149846.11;0.00;0.00;101292.73;0.00;850279.61;0.00;0.00;0.00;0.00;0.00;1687501.05;197914.59;82808.08;0.00;1.19;1.05
420055;Águas Frias - SC;2430.0;9008492.70;374555.47;0.00;0.00;1342997.71;0.00;6124.15;0.00;479370.93;0.00;2129180.23;0.00;1702295.82;22837.27;0.00;469573.20;0.00;0.00;0.00;0.00;1075299.84;0.00;0.00;0.00;0.00;0.00;923305.00;229744.23;253208.85;0.00;1.16;1.01
110012;Ji-Paraná - RO;128026.0;152517804.22;6265958.11;0.00;0.00;27138465.63;0.00;21590.00;0.00;3417495.75;3695270.87;43263393.22;0.00;34398275.51;508906.46;0.00;12138221.77;0.00;214431.08;799154.83;0.00;4811232.13;0.00;3000800.00;225174.93;0.00;0.00;8980984.18;724856.38;2913593.37;5530025.38;1.41;1.07
291290;Ibirataia - BA;18546.0;35005897.18;1149777.30;0.00;0.00;9558630.12;0.00;30785.33;0.00;811556.67;0.00;4806053.84;0.00;14580643.66;681728.48;0.00;2063706.86;24296.48;0.00;0.00;0.00;141632.67;0.00;0.00;741215.07;0.00;127469.42;0.00;288401.28;0.00;0.00;1.52;1.20
355610;Valentim Gentil - SP;12012.0;21502579.84;592950.67;0.00;0.00;4379231.27;0.00;0.00;0.00;692353.34;191630.79;5526781.92;0.00;6229178.99;336039.79;0.00;1237676.85;0.00;307884.28;0.00;0.00;10278.59;0.00;0.00;678624.65;0.00;460093.32;454111.83;146743.43;259000.12;1074774.96;1.36;1.12
220230;Canto do Buriti - PI;20528.0;26877778.61;1031705.58;0.00;0.00;4061968.62;0.00;0.00;0.00;1382330.73;0.00;6995811.31;92276.68;9224169.34;349927.98;0.00;1572834.00;0.00;1229578.35;0.00;0.00;435229.91;0.00;0.00;0.00;8553.00;435180.43;42237.00;15975.68;0.00;0.00;1.09;1.14
350610;Bebedouro - SP;77487.0;185605740.65;3943791.23;0.00;932651.61;15825577.87;0.00;3978306.07;0.00;8954520.12;10846968.65;48302513.58;0.00;51123726.33;656467.29;0.00;18589220.37;192175.17;14134088.07;221532.47;0.00;808539.36;0.00;0.00;855244.00;0.00;0.00;708336.56;2860644.86;2671437.04;0.00;1.17;1.09
355330;Tambaú - SP;23159.0;52665281.45;935593.73;0.00;564806.89;7098976.18;0.00;69072.82;0.00;2484686.36;3889321.75;12400965.78;0.00;14344567.78;335400.01;0.00;3477648.12;100000.00;3275386.45;308890.00;61932.06;77908.99;0.00;0.00;280944.14;0.00;0.00;906324.05;530943.74;1521912.60;2873823.34;1.40;1.16
