#Cidade;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
430057;78.66;0.00;0.00;1143.94;0.00;26.69;0.00;85.02;129.07;645.37;0.00;1268.28;49.53;0.00;0.00;0.00;109.55;13.23;0.00;340.21;0.00;0.00;0.00;0.00;7.06;200.83;39.16;150.23;199.34
430510;40.46;0.00;12.33;242.19;0.00;36.32;0.00;84.82;4.71;841.87;1.18;511.85;39.67;0.34;268.09;25.09;263.23;58.36;0.18;14.30;0.00;0.00;5.59;0.00;0.00;27.65;30.13;460.15;279.52
420930;53.98;12.46;0.00;255.19;0.00;16.56;0.00;95.15;183.60;679.34;0.00;618.08;25.87;0.00;100.65;10.36;260.23;37.01;0.00;42.60;0.00;10.43;17.52;0.00;0.00;140.57;27.40;89.26;90.45
110012;50.87;0.00;0.00;212.62;0.00;0.00;0.00;31.44;36.36;397.60;0.00;288.16;6.28;0.00;150.85;7.81;7.28;7.44;0.00;36.50;0.00;0.00;0.00;0.00;0.00;113.81;11.61;26.94;45.82
314810;67.46;7.79;0.00;357.75;0.00;13.88;0.00;54.12;117.46;709.87;0.00;501.17;25.16;0.00;84.08;0.00;95.75;34.11;0.00;28.60;0.00;0.00;0.00;0.00;27.40;14.12;19.19;124.40;0.00
430990;77.33;0.00;0.00;340.24;0.00;0.00;0.00;80.04;194.31;629.38;0.00;508.27;5.03;0.00;117.52;0.00;28.65;0.00;0.00;252.64;0.00;0.00;0.00;0.00;0.00;246.00;33.54;95.66;211.37
431848;36.56;0.00;0.00;657.33;0.00;10.74;0.00;113.99;33.01;777.55;0.00;641.61;49.74;0.00;92.19;0.00;37.08;5.17;0.00;172.18;0.00;0.00;0.00;0.00;9.93;273.16;25.49;61.19;72.27
317020;56.16;4.29;0.00;278.83;0.00;27.44;0.00;62.05;119.60;753.64;0.03;524.20;4.23;0.00;180.14;8.75;173.16;2.31;0.35;15.92;0.00;0.00;1.34;0.00;0.00;0.00;28.27;25.64;107.11
431800;89.09;0.00;0.00;323.08;0.00;6.98;0.00;74.05;178.93;735.00;5.03;562.78;3.55;0.11;182.29;0.63;0.29;0.50;0.00;13.39;0.00;0.00;6.70;0.00;0.00;3.57;3.91;42.55;188.20
351170;85.25;23.45;0.00;283.42;0.00;0.00;0.00;93.35;0.00;577.83;0.00;985.57;13.43;0.00;220.05;0.00;0.00;0.00;0.00;0.00;0.00;0.00;16.46;0.00;0.00;37.28;23.97;15.57;0.00
351310;53.18;0.00;0.00;272.31;0.00;2.94;0.00;179.06;293.76;593.68;0.00;754.68;61.46;0.00;287.01;0.00;169.58;0.00;0.00;0.00;0.00;1.98;0.00;0.00;0.00;60.25;27.81;108.26;0.00
352070;190.72;0.00;0.00;626.22;0.00;0.00;0.00;207.71;72.70;972.45;0.00;1255.51;85.02;21.13;563.86;240.39;0.00;52.97;0.00;101.27;0.00;0.00;16.64;0.00;0.00;70.20;383.58;112.02;0.00
430430;66.00;0.00;0.00;392.94;0.00;0.00;0.00;70.99;147.92;582.52;0.00;847.68;27.02;0.00;21.01;0.88;24.75;1.57;0.00;123.94;0.00;0.00;6.42;0.00;17.32;141.65;51.57;81.50;221.74
410302;0.00;0.00;0.00;1038.29;0.00;0.00;0.00;260.88;0.00;1018.16;0.00;961.41;0.00;0.00;381.90;0.00;0.00;44.42;0.00;277.51;0.00;46.36;0.00;0.00;0.00;998.59;54.25;19.91;0.00
411900;0.00;0.00;0.00;429.27;0.00;0.00;0.00;108.34;0.00;618.56;0.00;519.61;3.12;0.00;232.16;0.00;24.61;15.27;0.00;107.50;0.00;0.00;0.00;0.00;0.00;167.00;23.46;0.00;0.00
431040;81.08;0.00;0.00;502.34;0.00;0.00;0.00;41.08;158.11;648.52;0.00;527.02;11.56;0.00;47.52;4.79;12.30;0.25;0.00;44.22;0.00;0.53;1.50;0.00;0.00;84.66;2.59;147.77;220.91
355330;41.41;0.00;55.56;339.81;0.00;2.12;0.00;152.68;216.20;637.72;0.00;687.47;25.50;0.00;196.43;4.34;238.11;36.78;2.01;10.90;0.00;0.00;23.89;0.00;0.00;55.23;30.32;43.78;0.00
430595;65.94;0.00;0.00;950.80;0.00;3.74;0.00;82.69;0.00;847.27;0.00;678.07;85.42;0.00;882.11;0.00;87.60;0.00;0.00;244.60;0.00;0.00;11.19;0.00;0.00;152.84;175.01;160.43;0.00
352360;115.64;0.00;0.00;589.60;0.00;0.00;0.00;76.60;0.00;722.51;0.00;831.45;1.96;0.00;355.64;0.00;118.60;16.92;0.00;0.00;0.00;0.00;34.60;0.00;0.00;50.81;27.06;41.44;0.00
110004;61.45;4.63;0.00;272.21;0.00;0.00;0.00;34.24;0.00;453.53;0.00;410.39;6.88;0.00;157.59;1.01;156.84;83.46;0.00;28.79;0.00;0.00;0.59;2.06;0.00;61.68;30.78;30.07;0.00
412120;0.00;0.00;0.00;152.50;0.00;0.00;0.00;86.67;0.00;429.04;0.00;644.62;0.00;0.00;341.47;0.00;0.00;0.00;0.00;68.47;0.00;0.00;14.73;0.00;0.00;37.43;56.46;60.98;63.58
430583;175.74;0.00;0.00;790.72;0.00;11.34;0.00;308.58;0.00;1405.26;0.00;1107.60;58.10;0.00;306.42;7.25;46.51;50.51;0.00;777.96;0.00;0.00;0.00;0.46;0.00;1100.19;20.22;103.66;0.00
354410;55.59;20.68;0.00;120.98;0.00;0.00;0.00;48.31;50.01;314.22;10.29;290.20;1.26;0.00;1046.22;0.00;0.00;7.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.25;122.71;69.60
521410;173.94;10.91;0.00;563.32;0.00;7.49;0.00;190.80;259.20;741.75;0.00;921.66;0.00;0.00;0.00;258.63;0.00;24.52;0.00;35.08;0.00;0.00;0.00;19.09;0.00;231.25;58.22;0.00;0.00
410345;0.00;0.00;0.00;307.72;0.00;1.03;0.00;139.72;106.16;730.85;0.00;650.91;25.22;0.00;363.64;0.00;0.00;15.03;0.00;51.13;0.00;1.86;0.00;0.00;0.00;145.08;67.77;88.87;96.48
312680;80.37;23.03;0.00;376.56;0.00;0.00;0.00;82.37;70.56;396.94;0.00;731.72;70.12;0.00;52.68;0.00;0.00;7.22;0.00;52.53;0.00;0.00;0.00;6.04;0.00;88.53;0.00;25.35;0.00
352900;54.03;0.00;0.00;361.00;0.00;13.73;0.00;64.59;243.84;830.96;1.94;617.09;22.77;3.60;215.06;0.00;269.77;15.85;0.00;6.70;0.00;3.11;0.00;0.00;0.00;0.00;13.77;77.89;169.61
354340;67.13;13.35;0.00;230.06;1.16;30.81;0.00;75.02;325.22;736.21;0.00;567.66;23.47;0.00;228.67;0.00;247.75;11.88;6.60;0.00;0.00;0.00;0.00;0.00;0.00;0.00;11.77;285.07;271.76
110033;0.00;51.53;0.00;311.72;0.00;0.00;0.00;76.24;29.27;403.16;0.00;672.65;6.02;0.00;18.03;0.00;0.00;0.68;0.00;4.31;0.00;0.00;0.00;0.00;12.01;76.25;2.60;10.99;0.00
354640;0.00;0.00;0.00;280.68;5.09;0.00;0.00;88.87;36.07;898.87;0.00;637.80;34.77;0.00;198.92;58.27;0.00;33.33;0.00;62.90;0.00;0.00;0.00;0.00;22.61;5.64;25.67;21.62;0.00
353280;45.20;0.00;0.00;376.43;0.00;0.00;0.00;130.77;97.06;850.25;1.52;787.02;13.37;0.00;242.97;0.00;161.81;4.67;0.00;21.48;0.00;0.00;0.00;0.00;0.00;115.59;40.24;129.17;0.00
430675;131.40;0.00;0.00;684.07;0.00;21.08;0.00;312.14;0.00;1164.27;0.00;887.03;96.51;0.00;99.39;4.22;202.53;31.37;0.00;497.80;0.00;2.14;56.77;6.71;0.00;490.99;90.94;240.04;0.00
354515;105.22;0.00;31.74;374.14;0.00;0.00;0.00;163.38;0.00;704.58;0.00;830.71;26.53;0.00;428.53;0.00;182.33;0.59;0.00;63.24;0.00;0.00;0.00;0.00;0.00;0.18;36.48;0.00;0.00
150470;33.75;0.00;0.00;251.82;0.00;0.92;0.00;47.33;6.26;271.90;0.00;1131.58;13.63;1.90;4.97;0.00;46.70;6.07;0.00;6.18;0.00;0.00;0.00;0.00;1.83;0.00;4.87;0.00;0.00
410322;129.91;0.00;0.00;647.85;0.00;0.00;0.00;170.78;0.00;853.25;0.00;669.28;19.44;0.00;445.11;0.00;0.00;0.00;5.71;133.45;0.00;104.46;20.96;0.00;0.00;542.97;13.91;243.44;0.00
431545;150.24;0.00;0.00;666.61;0.00;12.20;0.00;256.63;0.00;1166.32;0.00;755.31;37.84;0.00;78.41;9.00;86.25;49.94;0.00;852.56;0.00;8.63;7.63;3.20;0.00;915.03;25.85;54.48;0.00
330420;121.47;24.09;0.00;619.28;0.00;20.56;0.00;60.05;143.57;1036.98;16.48;770.28;42.70;0.00;292.45;0.28;72.14;29.84;0.04;2.76;0.00;0.05;0.88;0.00;27.40;18.64;25.42;91.75;142.40
355690;97.92;0.00;0.00;415.87;0.00;71.98;0.00;82.12;55.65;852.40;0.00;927.88;5.66;0.00;175.60;0.00;48.08;0.72;0.00;0.00;0.00;0.00;0.00;0.00;0.00;58.77;39.78;42.69;0.00
410442;0.00;0.00;4.19;289.03;0.00;20.26;0.00;135.22;5.54;550.30;0.00;804.02;55.99;0.00;47.37;6.74;0.00;64.79;0.00;158.34;0.00;17.27;0.00;0.00;23.71;756.28;29.62;84.67;0.00
352940;57.10;9.34;0.00;128.43;0.00;32.47;0.00;32.17;0.00;579.41;28.21;319.30;2.75;15.41;221.59;14.61;148.81;4.63;0.00;0.00;0.00;0.84;0.00;7.28;0.00;0.00;6.16;185.31;1.45
520940;143.31;0.00;0.00;642.99;0.00;0.00;0.00;234.70;137.78;657.17;0.00;843.23;0.00;0.00;115.15;0.00;10.31;87.07;0.00;14.91;0.00;0.00;0.00;0.00;22.57;236.06;16.56;0.00;0.00
430260;142.84;0.00;0.00;981.74;0.00;0.43;0.00;43.47;0.00;764.96;7.76;712.27;6.52;0.00;168.48;19.96;113.76;0.00;0.00;121.83;0.00;0.00;0.00;0.00;0.00;145.65;20.72;0.00;0.00
432100;52.09;0.00;0.00;257.79;0.00;25.84;0.00;93.99;184.11;690.36;0.00;602.95;139.52;0.00;359.17;5.98;0.00;11.92;0.00;2.56;0.00;4.02;5.06;0.00;0.33;67.75;52.24;101.37;205.72
350640;71.97;0.00;0.00;312.81;0.00;0.00;0.00;167.14;296.42;848.29;0.00;731.67;6.46;0.00;272.56;0.00;55.17;0.14;0.00;57.19;0.00;0.00;0.00;0.00;0.00;326.65;47.14;96.87;0.00
