#Cidade;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
430057;3.4795753101749884;5.38;0.00;0.00;6.54;0.00;4.91;0.00;5.41;5.59;6.29;0.00;6.58;5.17;0.00;0.00;0.00;5.52;4.60;0.00;6.01;0.00;0.00;0.00;0.00;4.33;5.78;5.07;5.66;5.78
430510;5.672303867938196;7.28;2.60;6.76;8.06;0.00;7.23;0.00;7.60;6.35;8.60;5.74;8.38;7.27;5.20;8.10;7.07;8.09;7.44;4.93;6.83;0.00;0.00;6.42;0.00;0.00;7.11;7.15;8.34;8.12
420930;5.200976283061184;6.93;6.30;0.00;7.61;0.00;6.42;0.00;7.18;7.46;8.03;0.00;7.99;6.61;0.00;7.20;6.22;7.62;6.77;0.00;6.83;0.00;6.22;6.44;0.00;0.00;7.35;6.64;7.15;7.16
110012;5.111403670037676;6.82;0.00;0.00;7.44;0.00;0.00;0.00;6.61;6.67;7.71;0.00;7.57;5.91;0.00;7.29;6.00;5.97;5.98;0.00;6.67;0.00;0.00;0.00;0.00;0.00;7.17;6.18;6.54;6.77
314810;4.9441271948589725;6.77;5.84;0.00;7.50;0.00;6.09;0.00;6.68;7.01;7.80;0.00;7.64;6.34;0.00;6.87;0.00;6.93;6.48;0.00;6.40;0.00;0.00;0.00;0.00;6.38;6.09;6.23;7.04;0.00
430990;3.871105700985585;5.76;0.00;0.00;6.40;0.00;0.00;0.00;5.77;6.16;6.67;0.00;6.58;4.57;0.00;5.94;0.00;5.33;0.00;0.00;6.27;0.00;0.00;0.00;0.00;0.00;6.26;5.40;5.85;6.20
431848;3.6453240015622934;5.21;0.00;0.00;6.46;0.00;4.68;0.00;5.70;5.16;6.54;0.00;6.45;5.34;0.00;5.61;0.00;5.21;4.36;0.00;5.88;0.00;0.00;0.00;0.00;4.64;6.08;5.05;5.43;5.50
317020;5.816029737111254;7.57;6.45;0.00;8.26;0.00;7.25;0.00;7.61;7.89;8.69;4.27;8.54;6.44;0.00;8.07;6.76;8.05;6.18;5.36;7.02;0.00;0.00;5.94;0.00;0.00;0.00;7.27;7.22;7.85
431800;4.799953643622122;6.75;0.00;0.00;7.31;0.00;5.64;0.00;6.67;7.05;7.67;5.50;7.55;5.35;3.85;7.06;4.60;4.26;4.50;0.00;5.93;0.00;0.00;5.63;0.00;0.00;5.35;5.39;6.43;7.07
351170;4.21133416373255;6.14;5.58;0.00;6.66;0.00;0.00;0.00;6.18;0.00;6.97;0.00;7.21;5.34;0.00;6.55;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.43;0.00;0.00;5.78;5.59;5.40;0.00
351310;4.529314835153137;6.26;0.00;0.00;6.96;0.00;5.00;0.00;6.78;7.00;7.30;0.00;7.41;6.32;0.00;6.99;0.00;6.76;0.00;0.00;0.00;0.00;4.83;0.00;0.00;0.00;6.31;5.97;6.56;0.00
352070;3.5996647787884166;5.88;0.00;0.00;6.40;0.00;0.00;0.00;5.92;5.46;6.59;0.00;6.70;5.53;4.92;6.35;5.98;0.00;5.32;0.00;5.61;0.00;0.00;4.82;0.00;0.00;5.45;6.18;5.65;0.00
430430;3.821579027912009;5.64;0.00;0.00;6.42;0.00;0.00;0.00;5.67;5.99;6.59;0.00;6.75;5.25;0.00;5.14;3.77;5.22;4.02;0.00;5.91;0.00;0.00;4.63;0.00;5.06;5.97;5.53;5.73;6.17
410302;3.4375920322539613;0.00;0.00;0.00;6.45;0.00;0.00;0.00;5.85;0.00;6.45;0.00;6.42;0.00;0.00;6.02;0.00;0.00;5.09;0.00;5.88;0.00;5.10;0.00;0.00;0.00;6.44;5.17;4.74;0.00
411900;3.831421817065022;0.00;0.00;0.00;6.46;0.00;0.00;0.00;5.87;0.00;6.62;0.00;6.55;4.33;0.00;6.20;0.00;5.22;5.02;0.00;5.86;0.00;0.00;0.00;0.00;0.00;6.05;5.20;0.00;0.00
431040;3.8249064713021124;5.73;0.00;0.00;6.53;0.00;0.00;0.00;5.44;6.02;6.64;0.00;6.55;4.89;0.00;5.50;4.51;4.91;3.23;0.00;5.47;0.00;3.55;4.00;0.00;0.00;5.75;4.24;5.99;6.17
355330;4.365244562017571;5.98;0.00;6.11;6.90;0.00;4.69;0.00;6.55;6.70;7.17;0.00;7.20;5.77;0.00;6.66;5.00;6.74;5.93;4.67;5.40;0.00;0.00;5.74;0.00;0.00;6.11;5.85;6.01;0.00
430595;3.6035773681514667;5.42;0.00;0.00;6.58;0.00;4.18;0.00;5.52;0.00;6.53;0.00;6.43;5.54;0.00;6.55;0.00;5.55;0.00;0.00;5.99;0.00;0.00;4.65;0.00;0.00;5.79;5.85;5.81;0.00
352360;4.2288621285305625;6.29;0.00;0.00;7.00;0.00;0.00;0.00;6.11;0.00;7.09;0.00;7.15;4.52;0.00;6.78;0.00;6.30;5.46;0.00;0.00;0.00;0.00;5.77;0.00;0.00;5.93;5.66;5.85;0.00
110004;4.937297178237691;6.73;5.60;0.00;7.37;0.00;0.00;0.00;6.47;0.00;7.59;0.00;7.55;5.78;0.00;7.13;4.94;7.13;6.86;0.00;6.40;0.00;0.00;4.71;5.25;0.00;6.73;6.43;6.42;0.00
412120;4.261429415559447;0.00;0.00;0.00;6.44;0.00;0.00;0.00;6.20;0.00;6.89;0.00;7.07;0.00;0.00;6.79;0.00;0.00;0.00;0.00;6.10;0.00;0.00;5.43;0.00;0.00;5.83;6.01;6.05;6.06
430583;3.1942367487238292;5.44;0.00;0.00;6.09;0.00;4.25;0.00;5.68;0.00;6.34;0.00;6.24;4.96;0.00;5.68;4.05;4.86;4.90;0.00;6.09;0.00;0.00;0.00;2.86;0.00;6.24;4.50;5.21;0.00
354410;4.6788005332544165;6.42;5.99;0.00;6.76;0.00;0.00;0.00;6.36;6.38;7.18;5.69;7.14;4.78;0.00;7.70;0.00;0.00;5.56;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;5.47;6.77;6.52
521410;3.5935075893317654;5.83;4.63;0.00;6.34;0.00;4.47;0.00;5.87;6.01;6.46;0.00;6.56;0.00;0.00;0.00;6.01;0.00;4.98;0.00;5.14;0.00;0.00;0.00;4.87;0.00;5.96;5.36;0.00;0.00
410345;4.212746764784071;0.00;0.00;0.00;6.70;0.00;4.22;0.00;6.36;6.24;7.08;0.00;7.03;5.61;0.00;6.77;0.00;0.00;5.39;0.00;5.92;0.00;4.48;0.00;0.00;0.00;6.37;6.04;6.16;6.20
312680;3.7803893284709527;5.69;5.14;0.00;6.36;0.00;0.00;0.00;5.70;5.63;6.38;0.00;6.64;5.63;0.00;5.50;0.00;0.00;4.64;0.00;5.50;0.00;0.00;0.00;4.56;0.00;5.73;0.00;5.18;0.00
352900;5.3623618206367984;7.09;0.00;0.00;7.92;0.00;6.50;0.00;7.17;7.75;8.28;5.65;8.15;6.72;5.92;7.69;0.00;7.79;6.56;0.00;6.19;0.00;5.86;0.00;0.00;0.00;0.00;6.50;7.25;7.59
354340;5.818264833166741;7.65;6.94;0.00;8.18;5.88;7.31;0.00;7.69;8.33;8.69;0.00;8.57;7.19;0.00;8.18;0.00;8.21;6.89;6.64;0.00;0.00;0.00;0.00;0.00;0.00;0.00;6.89;8.27;8.25
110033;4.430155711970019;0.00;6.14;0.00;6.92;0.00;0.00;0.00;6.31;5.90;7.04;0.00;7.26;5.21;0.00;5.69;0.00;0.00;4.26;0.00;5.07;0.00;0.00;0.00;0.00;5.51;6.31;4.84;5.47;0.00
