#Codigo;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
430057;-0.07;-0.28;-0.15;2.04;-0.08;0.89;-0.01;-0.29;0.76;0.03;-0.22;1.61;0.40;-0.10;-1.10;-0.22;0.81;-0.06;-0.10;2.40;-0.04;-0.17;-0.26;-0.21;0.05;0.52;0.21;1.72;2.06
430510;-0.63;-0.28;1.01;-0.52;-0.08;1.32;-0.01;-0.29;-0.59;0.69;-0.15;-0.92;0.18;-0.07;0.25;0.47;2.51;1.24;-0.04;-0.44;-0.04;-0.17;-0.11;-0.21;-0.44;-0.39;0.01;6.94;3.01
420930;-0.43;0.55;-0.15;-0.48;-0.08;0.43;-0.01;-0.17;1.35;0.14;-0.22;-0.57;-0.14;-0.10;-0.59;0.06;2.48;0.63;-0.10;-0.20;-0.04;0.31;0.22;-0.21;-0.44;0.20;-0.05;0.70;0.76
110012;-0.48;-0.28;-0.15;-0.60;-0.08;-0.32;-0.01;-0.90;-0.24;-0.79;-0.22;-1.67;-0.59;-0.10;-0.34;-0.01;-0.33;-0.22;-0.10;-0.25;-0.04;-0.17;-0.26;-0.21;-0.44;0.06;-0.40;-0.35;0.23
314810;-0.24;0.24;-0.15;-0.19;-0.08;0.31;-0.01;-0.64;0.63;0.25;-0.22;-0.96;-0.16;-0.10;-0.67;-0.22;0.65;0.54;-0.10;-0.32;-0.04;-0.17;-0.26;-0.21;1.45;-0.46;-0.23;1.29;-0.31
430990;-0.09;-0.28;-0.15;-0.24;-0.08;-0.32;-0.01;-0.35;1.46;-0.02;-0.22;-0.93;-0.62;-0.10;-0.51;-0.22;-0.09;-0.44;-0.10;1.64;-0.04;-0.17;-0.26;-0.21;-0.44;0.76;0.08;0.80;2.20
431848;-0.68;-0.28;-0.15;0.66;-0.08;0.17;-0.01;0.04;-0.28;0.47;-0.22;-0.49;0.41;-0.10;-0.63;-0.22;0.00;-0.29;-0.10;0.93;-0.04;-0.17;-0.26;-0.21;0.25;0.90;-0.09;0.22;0.55
317020;-0.40;0.00;-0.15;-0.41;-0.08;0.92;-0.01;-0.55;0.65;0.39;-0.22;-0.88;-0.64;-0.10;-0.19;0.02;1.51;-0.37;0.02;-0.43;-0.04;-0.17;-0.23;-0.21;-0.44;-0.53;-0.03;-0.37;0.96
431800;0.08;-0.28;-0.15;-0.29;-0.08;-0.01;-0.01;-0.42;1.30;0.33;0.07;-0.75;-0.65;-0.09;-0.18;-0.20;-0.40;-0.42;-0.10;-0.45;-0.04;-0.17;-0.08;-0.21;-0.44;-0.51;-0.56;-0.09;1.93
351170;0.02;1.29;-0.15;-0.40;-0.08;-0.32;-0.01;-0.19;-0.64;-0.19;-0.22;0.67;-0.43;-0.10;0.01;-0.22;-0.41;-0.44;-0.10;-0.57;-0.04;-0.17;0.19;-0.21;-0.44;-0.34;-0.13;-0.54;-0.31
351310;-0.44;-0.28;-0.15;-0.43;-0.08;-0.19;-0.01;0.79;2.54;-0.14;-0.22;-0.11;0.67;-0.10;0.35;-0.22;1.47;-0.44;-0.10;-0.57;-0.04;-0.08;-0.26;-0.21;-0.44;-0.22;-0.04;1.02;-0.31
