#Codigo;Cidade;População;Despesas (Exceto Intraorçamentárias);Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias);GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
430057;Alto Feliz - RS;3017.0;12933349.02;237312.91;0.00;0.00;3451273.92;0.00;80530.65;0.00;256517.77;389394.08;1947085.69;0.00;3826396.70;149434.74;0.00;0.00;0.00;330521.30;39910.60;0.00;1026400.73;0.00;0.00;0.00;0.00;21304.38;605893.81;118136.48;453235.26;601404.12;0.00;-12463.59;0.63;1.42;1.43;0.00;-1909.66;0.06;1.16;1.16
430510;Caxias do Sul - RS;470223.0;1395858985.66;19027133.75;393.84;5796242.33;113881319.84;0.00;17076745.26;0.00;39883990.53;2214290.20;395866306.97;555382.96;240683097.23;18653635.03;160257.41;126060480.32;11798962.69;123776779.84;27442133.08;85448.55;6723265.13;0.00;0.00;2630411.68;0.00;0.00;13001936.52;14168083.06;216372689.44;131434991.02;0.00;104.26;0.99;1.80;1.81;0.00;6889.44;0.01;1.09;1.09
420930;Lages - SC;158846.0;425114552.91;8573775.70;1979124.41;0.00;40536065.86;0.00;2629795.70;0.00;15114905.36;29164541.31;107910892.02;0.00;98179797.97;4109419.31;0.00;15987481.46;1645369.83;41336376.29;5878903.40;0.00;6766507.34;0.00;1657550.21;2783602.27;0.00;0.00;22328276.80;4353120.78;14179046.89;14367046.88;0.00;-11569.12;0.08;1.22;1.23;0.00;-2969.00;0.90;1.13;1.13
110012;Ji-Paraná - RO;129242.0;179071141.77;6574926.93;0.00;0.00;27479656.07;0.00;0.00;0.00;4063335.34;4698951.76;51386022.47;0.00;37242056.92;812039.93;0.00;19495633.29;1009610.00;940598.99;960992.76;0.00;4717063.51;0.00;0.00;0.00;0.00;0.00;14708566.61;1500188.58;3481498.61;5922171.16;0.00;-6975.05;0.01;1.14;1.14;0.00;-7900.17;0.95;1.16;1.16
314810;Patrocínio - MG;87928.0;200678609.21;5931327.88;684523.31;0.00;31455942.45;0.00;1220863.81;0.00;4758422.89;10328027.19;62417248.56;0.00;44067000.80;2212539.17;0.00;7393288.43;0.00;8419062.41;2998874.40;0.00;2514805.22;0.00;0.00;0.00;0.00;2409008.48;1241619.21;1687759.88;10938295.12;0.00;0.00;-10684.57;0.06;1.30;1.30;0.00;-6676.01;0.99;1.20;1.20
430990;Ibiraiaras - RS;7432.0;19387282.18;574727.11;0.00;0.00;2528684.48;0.00;0.00;0.00;594872.49;1444090.54;4677555.17;0.00;3777462.63;37387.25;0.00;873410.75;0.00;212963.08;0.00;0.00;1877616.70;0.00;0.00;0.00;0.00;0.00;1828293.30;249278.23;710940.45;1570893.08;0.00;-9675.36;0.02;1.24;1.25;0.00;-7549.42;0.00;1.02;1.02
431848;São José do Hortêncio - RS;4419.0;13243506.35;161572.74;0.00;0.00;2904754.28;0.00;47480.00;0.00;503732.51;145859.41;3436004.31;0.00;2835288.73;219817.23;0.00;407365.77;0.00;163874.19;22862.61;0.00;760866.03;0.00;0.00;0.00;0.00;43900.00;1207075.38;112652.56;270400.60;319339.85;0.00;-12772.24;0.02;1.22;1.22;0.00;-8498.68;0.00;1.04;1.04
317020;Uberlândia - MG;654681.0;1483734303.52;36767579.59;2809288.74;0.00;182542256.87;0.00;17963906.22;0.00;40621760.59;78300860.26;493396604.86;18418.90;343186136.73;2769234.49;0.00;117935699.30;5727112.93;113362252.50;1515470.75;229200.00;10422312.09;0.00;0.00;875618.90;0.00;0.00;0.00;18507192.75;16783397.05;70124988.23;0.00;-10211.15;0.02;1.16;1.17;0.00;5745.82;0.31;1.10;1.10
431800;São Borja - RS;63089.0;140843904.86;5620816.26;0.00;0.00;20382606.06;0.00;440386.65;0.00;4671592.23;11288569.66;46370697.64;317621.70;35505279.16;224259.16;7007.99;11500734.87;40054.22;18214.68;31473.34;0.00;844945.42;0.00;0.00;422954.61;0.00;0.00;225436.73;246704.08;2684550.40;11873083.33;0.00;-9407.95;0.00;1.07;1.07;0.00;-10099.01;0.00;1.07;1.07
351170;Charqueada - SP;16268.0;38646796.80;1386845.28;381533.88;0.00;4610673.70;0.00;0.00;0.00;1518557.40;0.00;9400159.10;0.00;16033326.71;218458.07;0.00;3579749.41;0.00;0.00;0.00;0.00;0.00;0.00;0.00;267785.63;0.00;0.00;606518.96;389947.37;253241.29;0.00;0.00;-10609.57;0.01;1.33;1.34;0.00;-6632.64;0.92;1.12;1.13
