#Codigo; Cidade; População; Despesas (Exceto Intraorçamentárias); Top 1 Prefeitura / Vizinhos / Diferenca; Top 2 Prefeitura / Vizinhos / Diferenca; Top 3 Prefeitura / Vizinhos / Diferenca; Top 4 Prefeitura / Vizinhos / Diferenca; Top 5 Prefeitura / Vizinhos / Diferenca; Top 6 Prefeitura / Vizinhos / Diferenca; Top 7 Prefeitura / Vizinhos / Diferenca; Top 8 Prefeitura / Vizinhos / Diferenca; Top 9 Prefeitura / Vizinhos / Diferenca; Top 10 Prefeitura / Vizinhos / Diferenca; Top 11 Prefeitura / Vizinhos / Diferenca; Top 12 Prefeitura / Vizinhos / Diferenca; Top 13 Prefeitura / Vizinhos / Diferenca; Top 14 Prefeitura / Vizinhos / Diferenca; Top 15 Prefeitura / Vizinhos / Diferenca; Top 16 Prefeitura / Vizinhos / Diferenca; Top 17 Prefeitura / Vizinhos / Diferenca; Top 18 Prefeitura / Vizinhos / Diferenca; Top 19 Prefeitura / Vizinhos / Diferenca; Top 20 Prefeitura / Vizinhos / Diferenca; Top 21 Prefeitura / Vizinhos / Diferenca; Top 22 Prefeitura / Vizinhos / Diferenca; Top 23 Prefeitura / Vizinhos / Diferenca; Top 24 Prefeitura / Vizinhos / Diferenca; Top 25 Prefeitura / Vizinhos / Diferenca; Top 26 Prefeitura / Vizinhos / Diferenca; Top 27 Prefeitura / Vizinhos / Diferenca; Top 28 Prefeitura / Vizinhos / Diferenca; Top 29 Prefeitura / Vizinhos / Diferenca; GAUSSIAN-MODEL_REL_NOR; SVM_REL_NOR; COP_REL_NOR; OPTICS_REL_NOR; LOF_REL_NOR; GAUSSIAN-MODEL_SUA_NOR; SVM_SUA_NOR; COP_SUA_NOR; OPTICS_SUA_NOR; LOF_SUA_NOR
316660;  Serra da Saudade - MG;  822.0;  9770492.91; 19.40% Previdência Social 765341.41 / 213545.27 / 551796.14; 16.88% Urbanismo 471185.99 / 951420.17 / -480234.18; 14.24% Transporte 1021040.87 / 616055.59 / 404985.28; 11.30% Assistência Social 203225.31 / 524728.67 / -321503.36; 08.91% Saúde 2058961.55 / 2312491.40 / -253529.85; 07.21% Legislativa 532299.23 / 327276.13 / 205023.10; 05.06% Cultura 250306.56 / 106432.15 / 143874.41; 04.34% Educação 1912168.43 / 1788828.68 / 123339.75; 02.22% Agricultura 407602.73 / 470681.16 / -63078.43; 01.98% Administração 1773843.07 / 1830149.41 / -56306.34; 01.87% Desporto e Lazer 64974.09 / 118144.70 / -53170.61; 01.76% Essencial à Justiça 50105.60 / 0.00 / 50105.60; 01.36% Energia 48572.77 / 10009.21 / 38563.56; 01.17% Encargos Especiais 91040.78 / 124206.12 / -33165.34; 01.03% Habitação 34577.90 / 5376.99 / 29200.91; 00.33% Saneamento 44884.13 / 54281.96 / -9397.83; 00.26% Comércio e Serviços 0.00 / 7281.31 / -7281.31; 00.21% Comunicações 0.00 / 6049.53 / -6049.53; 00.20% Gestão Ambiental 40362.49 / 46084.10 / -5721.61; 00.16% Judiciária 0.00 / 4500.15 / -4500.15; 00.10% Segurança Pública 0.00 / 2897.20 / -2897.20; 00.02% Trabalho 0.00 / 436.70 / -436.70; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Despesas (Intraorçamentárias) 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  51458.24;  1.00;  2.44;  2.46;  0.00;  -4150.75;  1.00;  1.23;  1.23
350720;  Borá - SP;  835.0;  10034906.33; 19.77% Assistência Social 1168463.50 / 524728.67 / 643734.83; 12.20% Saúde 2709593.21 / 2312491.40 / 397101.81; 12.08% Administração 2223356.28 / 1830149.41 / 393206.87; 10.64% Agricultura 124172.30 / 470681.16 / -346508.86; 10.40% Urbanismo 612733.86 / 951420.17 / -338686.31; 07.83% Legislativa 582256.52 / 327276.13 / 254980.39; 06.56% Previdência Social 0.00 / 213545.27 / -213545.27; 06.01% Transporte 811811.30 / 616055.59 / 195755.71; 04.48% Educação 1643086.54 / 1788828.68 / -145742.14; 03.24% Cultura 935.45 / 106432.15 / -105496.70; 02.04% Desporto e Lazer 51644.72 / 118144.70 / -66499.98; 01.67% Saneamento 0.00 / 54281.96 / -54281.96; 01.42% Gestão Ambiental 0.00 / 46084.10 / -46084.10; 00.53% Encargos Especiais 106852.65 / 124206.12 / -17353.47; 00.31% Energia 0.00 / 10009.21 / -10009.21; 00.22% Comércio e Serviços 0.00 / 7281.31 / -7281.31; 00.19% Comunicações 0.00 / 6049.53 / -6049.53; 00.17% Habitação 0.00 / 5376.99 / -5376.99; 00.14% Judiciária 0.00 / 4500.15 / -4500.15; 00.09% Segurança Pública 0.00 / 2897.20 / -2897.20; 00.01% Trabalho 0.00 / 436.70 / -436.70; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Essencial à Justiça 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Despesas (Intraorçamentárias) 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  71494.00;  1.00;  2.63;  2.65;  0.00;  -4209.12;  0.83;  1.03;  1.03
510120;  Araguainha - MT;  1000.0;  6787373.29; 22.55% Urbanismo 23807.19 / 951420.17 / -927612.98; 19.70% Saúde 1502182.91 / 2312491.40 / -810308.49; 11.26% Agricultura 7260.90 / 470681.16 / -463420.26; 08.96% Educação 1420193.91 / 1788828.68 / -368634.77; 07.96% Legislativa 0.00 / 327276.13 / -327276.13; 06.07% Judiciária 254312.77 / 4500.15 / 249812.62; 05.19% Previdência Social 0.00 / 213545.27 / -213545.27; 04.91% Transporte 818174.55 / 616055.59 / 202118.96; 03.02% Encargos Especiais 0.00 / 124206.12 / -124206.12; 02.87% Desporto e Lazer 0.00 / 118144.70 / -118144.70; 02.32% Administração 1925576.32 / 1830149.41 / 95426.91; 01.42% Saneamento 112597.29 / 54281.96 / 58315.33; 01.42% Assistência Social 583029.41 / 524728.67 / 58300.74; 01.03% Gestão Ambiental 3726.00 / 46084.10 / -42358.10; 00.47% Cultura 125857.97 / 106432.15 / 19425.82; 00.24% Energia 0.00 / 10009.21 / -10009.21; 00.18% Comércio e Serviços 0.00 / 7281.31 / -7281.31; 00.17% Trabalho 7245.79 / 436.70 / 6809.09; 00.15% Comunicações 0.00 / 6049.53 / -6049.53; 00.07% Segurança Pública 0.00 / 2897.20 / -2897.20; 00.05% Habitação 3408.28 / 5376.99 / -1968.71; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Essencial à Justiça 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Despesas (Intraorçamentárias) 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  61423.40;  1.00;  3.16;  3.19;  0.00;  9.56;  1.00;  1.30;  1.30
171550;  Oliveira de Fátima - TO;  1091.0;  8500950.35; 25.64% Saúde 1452550.20 / 2312491.40 / -859941.20; 12.77% Educação 2217017.26 / 1788828.68 / 428188.58; 10.61% Administração 1474395.75 / 1830149.41 / -355753.66; 07.14% Urbanismo 711906.10 / 951420.17 / -239514.07; 06.84% Desporto e Lazer 347422.22 / 118144.70 / 229277.52; 06.84% Assistência Social 295347.05 / 524728.67 / -229381.62; 05.89% Agricultura 668134.80 / 470681.16 / 197453.64; 03.70% Encargos Especiais 0.00 / 124206.12 / -124206.12; 03.15% Cultura 900.00 / 106432.15 / -105532.15; 03.03% Legislativa 428982.32 / 327276.13 / 101706.19; 02.99% Transporte 515671.03 / 616055.59 / -100384.56; 02.98% Previdência Social 113436.30 / 213545.27 / -100108.97; 02.16% Gestão Ambiental 118466.38 / 46084.10 / 72382.28; 01.96% Trabalho 66184.02 / 436.70 / 65747.32; 01.70% Habitação 62265.34 / 5376.99 / 56888.35; 01.62% Saneamento 0.00 / 54281.96 / -54281.96; 00.23% Segurança Pública 10497.05 / 2897.20 / 7599.85; 00.23% Energia 17774.53 / 10009.21 / 7765.32; 00.22% Comércio e Serviços 0.00 / 7281.31 / -7281.31; 00.18% Comunicações 0.00 / 6049.53 / -6049.53; 00.13% Judiciária 0.00 / 4500.15 / -4500.15; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Essencial à Justiça 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Despesas (Intraorçamentárias) 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  2068.13;  1.00;  1.62;  1.62;  0.00;  -4572.47;  1.00;  1.10;  1.10
353286;  Nova Castilho - SP;  1206.0;  10829585.00; 24.55% Administração 2740427.92 / 1830149.41 / 910278.51; 21.18% Educação 2574023.82 / 1788828.68 / 785195.14; 12.63% Despesas (Intraorçamentárias) 468363.39 / 0.00 / 468363.39; 06.72% Saúde 2063355.15 / 2312491.40 / -249136.25; 06.11% Urbanismo 1177860.46 / 951420.17 / 226440.29; 05.76% Previdência Social 0.00 / 213545.27 / -213545.27; 05.28% Legislativa 522845.06 / 327276.13 / 195568.93; 04.30% Agricultura 311227.16 / 470681.16 / -159454.00; 03.90% Saneamento 198959.96 / 54281.96 / 144678.00; 03.35% Encargos Especiais 0.00 / 124206.12 / -124206.12; 01.67% Transporte 554292.58 / 616055.59 / -61763.01; 01.43% Cultura 53473.09 / 106432.15 / -52959.06; 01.42% Desporto e Lazer 65565.52 / 118144.70 / -52579.18; 00.40% Assistência Social 509776.52 / 524728.67 / -14952.15; 00.32% Gestão Ambiental 57777.76 / 46084.10 / 11693.66; 00.27% Energia 0.00 / 10009.21 / -10009.21; 00.20% Comércio e Serviços 0.00 / 7281.31 / -7281.31; 00.16% Comunicações 0.00 / 6049.53 / -6049.53; 00.15% Habitação 0.00 / 5376.99 / -5376.99; 00.12% Judiciária 0.00 / 4500.15 / -4500.15; 00.08% Segurança Pública 0.00 / 2897.20 / -2897.20; 00.01% Trabalho 0.00 / 436.70 / -436.70; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Essencial à Justiça 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  2728.31;  1.00;  1.70;  1.72;  0.00;  -5358.39;  1.00;  1.15;  1.15
311560;  Cedro do Abaeté - MG;  1222.0;  9123819.30; 27.61% Administração 688569.25 / 1830149.41 / -1141580.16; 12.16% Essencial à Justiça 502741.43 / 0.00 / 502741.43; 08.97% Agricultura 99625.58 / 470681.16 / -371055.58; 08.28% Saúde 2654813.92 / 2312491.40 / 342322.52; 07.96% Previdência Social 542546.78 / 213545.27 / 329001.51; 06.50% Cultura 375174.05 / 106432.15 / 268741.90; 06.07% Urbanismo 700452.03 / 951420.17 / -250968.14; 04.91% Assistência Social 321911.87 / 524728.67 / -202816.80; 03.60% Legislativa 476046.64 / 327276.13 / 148770.51; 02.75% Transporte 502158.93 / 616055.59 / -113896.66; 02.67% Habitação 115822.28 / 5376.99 / 110445.29; 02.11% Gestão Ambiental 133153.70 / 46084.10 / 87069.60; 01.97% Desporto e Lazer 36569.06 / 118144.70 / -81575.64; 01.69% Educação 1858587.96 / 1788828.68 / 69759.28; 01.31% Saneamento 0.00 / 54281.96 / -54281.96; 00.51% Encargos Especiais 102931.61 / 124206.12 / -21274.51; 00.24% Segurança Pública 12714.21 / 2897.20 / 9817.01; 00.24% Energia 0.00 / 10009.21 / -10009.21; 00.18% Comércio e Serviços 0.00 / 7281.31 / -7281.31; 00.15% Comunicações 0.00 / 6049.53 / -6049.53; 00.11% Judiciária 0.00 / 4500.15 / -4500.15; 00.01% Trabalho 0.00 / 436.70 / -436.70; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Despesas (Intraorçamentárias) 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  364954.97;  1.00;  6.95;  7.08;  0.00;  -3685.24;  1.00;  1.22;  1.22
355590;  Uru - SP;  1240.0;  11592832.70; 19.42% Assistência Social 1255798.87 / 556675.79 / 699123.08; 16.19% Educação 2546120.21 / 1963136.28 / 582983.93; 15.99% Saúde 2912218.76 / 2336446.60 / 575772.16; 09.90% Administração 2158021.36 / 1801441.47 / 356579.89; 09.15% Urbanismo 1347925.44 / 1018567.03 / 329358.41; 06.07% Agricultura 247678.31 / 466238.03 / -218559.72; 03.69% Transporte 744653.28 / 611632.39 / 133020.89; 03.46% Previdência Social 108658.53 / 233378.74 / -124720.21; 03.14% Encargos Especiais 0.00 / 112914.66 / -112914.66; 03.08% Desporto e Lazer 0.00 / 110869.05 / -110869.05; 02.69% Cultura 0.00 / 96756.50 / -96756.50; 02.11% Legislativa 271757.94 / 347736.25 / -75978.31; 01.47% Despesas (Intraorçamentárias) 0.00 / 53004.83 / -53004.83; 01.37% Saneamento 0.00 / 49347.24 / -49347.24; 01.34% Gestão Ambiental 0.00 / 48136.66 / -48136.66; 00.25% Energia 0.00 / 9099.28 / -9099.28; 00.18% Comércio e Serviços 0.00 / 6619.38 / -6619.38; 00.15% Comunicações 0.00 / 5499.57 / -5499.57; 00.14% Habitação 0.00 / 4888.17 / -4888.17; 00.11% Judiciária 0.00 / 4091.05 / -4091.05; 00.07% Segurança Pública 0.00 / 2633.82 / -2633.82; 00.01% Trabalho 0.00 / 397.00 / -397.00; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Essencial à Justiça 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  18893.68;  1.00;  1.98;  2.00;  0.00;  604.59;  0.17;  1.11;  1.11
430066;  André da Rocha - RS;  1286.0;  9581703.08; 31.18% Administração 3088110.24 / 1801441.47 / 1286668.77; 22.81% Urbanismo 77534.55 / 1018567.03 / -941032.48; 13.84% Educação 1392040.38 / 1963136.28 / -571095.90; 05.66% Previdência Social 0.00 / 233378.74 / -233378.74; 04.97% Agricultura 671395.80 / 466238.03 / 205157.77; 03.76% Legislativa 502755.00 / 347736.25 / 155018.75; 02.74% Encargos Especiais 0.00 / 112914.66 / -112914.66; 02.68% Trabalho 111005.97 / 397.00 / 110608.97; 02.56% Saúde 2442015.88 / 2336446.60 / 105569.28; 02.46% Transporte 510259.07 / 611632.39 / -101373.32; 01.77% Cultura 23592.02 / 96756.50 / -73164.48; 01.28% Despesas (Intraorçamentárias) 0.00 / 53004.83 / -53004.83; 01.08% Desporto e Lazer 155248.03 / 110869.05 / 44378.98; 00.98% Gestão Ambiental 7621.83 / 48136.66 / -40514.83; 00.87% Assistência Social 520680.51 / 556675.79 / -35995.28; 00.52% Saneamento 70807.16 / 49347.24 / 21459.92; 00.22% Energia 0.00 / 9099.28 / -9099.28; 00.16% Comércio e Serviços 0.00 / 6619.38 / -6619.38; 00.13% Segurança Pública 8056.00 / 2633.82 / 5422.18; 00.12% Habitação 0.00 / 4888.17 / -4888.17; 00.12% Comunicações 580.64 / 5499.57 / -4918.93; 00.10% Judiciária 0.00 / 4091.05 / -4091.05; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Essencial à Justiça 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  1555.47;  1.00;  1.72;  1.73;  0.00;  -5765.78;  1.00;  1.11;  1.11
312790;  Grupiara - MG;  1415.0;  11832933.00; 14.05% Administração 2427339.48 / 1801540.65 / 625798.83; 12.74% Transporte 56842.30 / 624459.24 / -567616.94; 10.31% Saúde 2762429.50 / 2303042.41 / 459387.09; 08.59% Essencial à Justiça 382475.32 / 0.00 / 382475.32; 06.58% Educação 1721718.12 / 2014870.40 / -293152.28; 06.26% Legislativa 635634.35 / 356813.82 / 278820.53; 06.03% Urbanismo 1206152.75 / 937430.18 / 268722.57; 04.80% Previdência Social 0.00 / 213930.51 / -213930.51; 04.73% Encargos Especiais 314035.26 / 103505.10 / 210530.16; 04.33% Cultura 300450.08 / 107367.74 / 193082.34; 04.19% Comércio e Serviços 192650.48 / 6067.76 / 186582.72; 04.08% Agricultura 615732.69 / 434062.78 / 181669.91; 04.02% Assistência Social 741325.98 / 562156.31 / 179169.67; 03.82% Desporto e Lazer 294676.47 / 124443.69 / 170232.78; 01.92% Indústria 85482.54 / 0.00 / 85482.54; 01.09% Despesas (Intraorçamentárias) 0.00 / 48587.76 / -48587.76; 01.00% Saneamento 630.24 / 45234.97 / -44604.73; 00.91% Gestão Ambiental 88937.02 / 48446.76 / 40490.26; 00.22% Energia 0.00 / 9846.08 / -9846.08; 00.11% Comunicações 0.00 / 5041.28 / -5041.28; 00.08% Judiciária 0.00 / 3750.13 / -3750.13; 00.06% Habitação 1885.50 / 4480.83 / -2595.33; 00.05% Segurança Pública 4534.92 / 2414.33 / 2120.59; 00.01% Trabalho 0.00 / 363.92 / -363.92; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  157077.54;  1.00;  4.68;  4.76;  0.00;  -5357.30;  1.00;  1.16;  1.16
411260;  Jardim Olinda - PR;  1416.0;  11012836.88; 21.17% Urbanismo 1746342.72 / 904917.51 / 841425.21; 16.84% Previdência Social 815252.14 / 145992.83 / 669259.31; 12.85% Saúde 2756940.58 / 2246181.40 / 510759.18; 10.24% Educação 2378528.93 / 1971572.76 / 406956.17; 10.19% Legislativa 0.00 / 405079.15 / -405079.15; 09.78% Agricultura 68025.25 / 456699.52 / -388674.27; 05.54% Administração 1756260.05 / 1976395.11 / -220135.06; 04.04% Transporte 428068.73 / 588786.85 / -160718.12; 02.65% Saneamento 139136.90 / 33640.22 / 105496.68; 01.82% Desporto e Lazer 62070.74 / 134485.04 / -72414.30; 01.24% Cultura 144580.26 / 95344.38 / 49235.88; 01.22% Despesas (Intraorçamentárias) 0.00 / 48587.76 / -48587.76; 00.79% Gestão Ambiental 15705.23 / 47137.99 / -31432.76; 00.77% Comércio e Serviços 33675.07 / 3261.51 / 30413.56; 00.25% Energia 0.00 / 9846.08 / -9846.08; 00.13% Encargos Especiais 100395.16 / 95138.84 / 5256.32; 00.13% Comunicações 0.00 / 5041.28 / -5041.28; 00.11% Habitação 0.00 / 4480.83 / -4480.83; 00.09% Judiciária 0.00 / 3750.13 / -3750.13; 00.08% Assistência Social 567855.12 / 564704.10 / 3151.02; 00.06% Segurança Pública 0.00 / 2414.33 / -2414.33; 00.01% Trabalho 0.00 / 363.92 / -363.92; 00.00% Relações Exteriores 0.00 / 0.00 / 0.00; 00.00% Organização Agrária 0.00 / 0.00 / 0.00; 00.00% Indústria 0.00 / 0.00 / 0.00; 00.00% Essencial à Justiça 0.00 / 0.00 / 0.00; 00.00% Direitos da Cidadania 0.00 / 0.00 / 0.00; 00.00% Defesa Nacional 0.00 / 0.00 / 0.00; 00.00% Ciência e Tecnologia 0.00 / 0.00 / 0.00;  0.00;  160.78;  1.00;  1.79;  1.79;  0.00;  -5621.01;  0.56;  1.12;  1.12
