#Codigo;População;Legislativa;Judiciária;Essencial à Justiça;Administração;Defesa Nacional;Segurança Pública;Relações Exteriores;Assistência Social;Previdência Social;Saúde;Trabalho;Educação;Cultura;Direitos da Cidadania;Urbanismo;Habitação;Saneamento;Gestão Ambiental;Ciência e Tecnologia;Agricultura;Organização Agrária;Indústria;Comércio e Serviços;Comunicações;Energia;Transporte;Desporto e Lazer;Encargos Especiais;Despesas (Intraorçamentárias)
430057;-1.2511526967173354;0.12;-0.55;-0.30;-0.25;-0.24;1.12;-0.04;-1.14;0.82;-0.94;-0.48;-0.64;0.13;-0.35;-5.35;-0.66;0.80;0.54;-0.20;0.58;-0.09;-0.47;-0.78;-0.49;1.15;0.53;0.07;0.47;1.81
430510;3.062001108484447;0.98;0.63;4.16;3.09;-0.24;2.04;-0.04;2.78;1.07;2.87;2.31;2.34;1.42;2.98;1.68;2.33;1.74;1.66;4.66;1.07;-0.09;-0.47;1.76;-0.49;-0.65;1.08;1.54;1.58;2.74
420930;2.1348875544553922;0.83;2.31;-0.30;2.11;-0.24;1.72;-0.04;2.03;1.43;1.94;-0.48;1.70;1.02;-0.35;0.91;1.97;1.57;1.39;-0.20;1.07;-0.09;2.71;1.77;-0.49;-0.65;1.18;1.17;1.09;2.36
110012;1.958695907141639;0.77;-0.55;-0.30;1.73;-0.24;-0.82;-0.04;1.01;1.17;1.41;-0.48;1.00;0.58;-0.35;0.98;1.88;0.97;1.08;-0.20;0.98;-0.09;-0.47;-0.78;-0.49;-0.65;1.10;0.85;0.84;2.21
314810;1.6296587525502129;0.75;2.10;-0.30;1.86;-0.24;1.58;-0.04;1.13;1.29;1.55;-0.48;1.12;0.85;-0.35;0.61;-0.66;1.32;1.28;-0.20;0.81;-0.09;-0.47;-0.78;-0.49;2.00;0.66;0.88;1.04;-0.49
430990;-0.4810022879957322;0.29;-0.55;-0.30;-0.54;-0.24;-0.82;-0.04;-0.49;1.01;-0.31;-0.48;-0.65;-0.25;-0.35;-0.19;-0.66;0.73;-1.27;-0.20;0.74;-0.09;-0.47;-0.78;-0.49;-0.65;0.73;0.30;0.55;1.98
431848;-0.9251207323716729;0.04;-0.55;-0.30;-0.41;-0.24;1.03;-0.04;-0.61;0.68;-0.53;-0.48;-0.85;0.23;-0.35;-0.48;-0.66;0.69;0.44;-0.20;0.51;-0.09;-0.47;-0.78;-0.49;1.28;0.65;0.05;0.38;1.70
317020;3.3447136117420677;1.11;2.38;-0.30;3.54;-0.24;2.05;-0.04;2.80;1.57;3.03;1.59;2.60;0.91;-0.35;1.66;2.19;1.73;1.16;5.08;1.18;-0.09;-0.47;1.57;-0.49;-0.65;-1.85;1.62;1.12;2.63
431800;1.3460656470903134;0.74;-0.55;-0.30;1.45;-0.24;1.41;-0.04;1.12;1.30;1.33;2.19;0.97;0.24;2.11;0.78;1.28;0.35;0.50;-0.20;0.53;-0.09;-0.47;1.45;-0.49;-0.65;0.35;0.29;0.79;2.33
351170;0.18823590089891676;0.47;1.98;-0.30;0.03;-0.24;-0.82;-0.04;0.24;-1.00;0.19;-0.48;0.39;0.23;-0.35;0.34;-0.66;-1.20;-1.27;-0.20;-2.97;-0.09;-0.47;1.37;-0.49;-0.65;0.53;0.43;0.37;-0.49
351310;0.8137121086413758;0.52;-0.55;-0.30;0.69;-0.24;1.15;-0.04;1.32;1.28;0.73;-0.48;0.73;0.83;-0.35;0.72;-0.66;1.26;-1.27;-0.20;-2.97;-0.09;1.99;-0.78;-0.49;-0.65;0.75;0.70;0.85;-0.49
352070;-1.0149336049009545;0.35;-0.55;-0.30;-0.56;-0.24;-0.82;-0.04;-0.23;0.78;-0.45;-0.48;-0.44;0.35;2.80;0.17;1.87;-1.20;0.82;-0.20;0.34;-0.09;-0.47;1.13;-0.49;-0.65;0.39;0.85;0.47;-0.49
430430;-0.5784225353263861;0.24;-0.55;-0.30;-0.52;-0.24;-0.82;-0.04;-0.67;0.95;-0.45;-0.48;-0.36;0.18;-0.35;-0.88;0.93;0.69;0.31;-0.20;0.53;-0.09;-0.47;1.05;-0.49;1.45;0.61;0.39;0.50;1.97
410302;-1.3337348906139852;-2.34;-0.55;-0.30;-0.43;-0.24;-0.82;-0.04;-0.34;-1.00;-0.68;-0.48;-0.91;-3.08;-0.35;-0.12;-0.66;-1.20;0.73;-0.20;0.51;-0.09;2.14;-0.78;-0.49;-0.65;0.80;0.14;0.09;-0.49
411900;-0.5590615144016512;-2.34;-0.55;-0.30;-0.41;-0.24;-0.82;-0.04;-0.32;-1.00;-0.39;-0.48;-0.70;-0.40;-0.35;0.03;-0.66;0.70;0.70;-0.20;0.50;-0.09;-0.47;-0.78;-0.49;-0.65;0.64;0.16;-1.86;-0.49
431040;-0.5718773680876933;0.28;-0.55;-0.30;-0.27;-0.24;-0.82;-0.04;-1.09;0.96;-0.37;-0.48;-0.70;-0.05;-0.35;-0.57;1.24;0.58;-0.00;-0.20;0.26;-0.09;1.34;0.81;-0.49;-0.65;0.52;-0.52;0.61;1.97
355330;0.4909816364223043;0.39;-0.55;3.73;0.54;-0.24;1.03;-0.04;0.90;1.18;0.51;-0.48;0.39;0.50;-0.35;0.43;1.45;1.25;1.06;4.40;0.22;-0.09;-0.47;1.50;-0.49;-0.65;0.66;0.62;0.62;-0.49
430595;-1.0072374403940965;0.14;-0.55;-0.30;-0.15;-0.24;0.83;-0.04;-0.94;-1.00;-0.54;-0.48;-0.88;0.35;-0.35;0.34;-0.66;0.81;-1.27;-0.20;0.57;-0.09;-0.47;1.06;-0.49;-0.65;0.53;0.62;0.54;-0.49
352360;0.22271386115456748;0.53;-0.55;-0.30;0.77;-0.24;-0.82;-0.04;0.12;-1.00;0.38;-0.48;0.30;-0.28;-0.35;0.54;-0.66;1.09;0.88;-0.20;-2.97;-0.09;-0.47;1.50;-0.49;-0.65;0.59;0.48;0.55;-0.49
110004;1.6162239331443304;0.73;1.99;-0.30;1.59;-0.24;-0.82;-0.04;0.76;-1.00;1.21;-0.48;0.97;0.50;-0.35;0.85;1.43;1.39;1.43;-0.20;0.81;-0.09;-0.47;1.09;2.46;-0.65;0.92;1.02;0.79;-0.49
412120;0.28677455734809093;-2.34;-0.55;-0.30;-0.45;-0.24;-0.82;-0.04;0.27;-1.00;0.06;-0.48;0.17;-3.08;-0.35;0.55;-0.66;-1.20;-1.27;-0.20;0.63;-0.09;-0.47;1.37;-0.49;-0.65;0.55;0.73;0.63;1.93
430583;-1.8124210296063414;0.14;-0.55;-0.30;-1.23;-0.24;0.86;-0.04;-0.65;-1.00;-0.85;-0.48;-1.21;-0.01;-0.35;-0.42;1.05;0.56;0.66;-0.20;0.63;-0.09;-0.47;-0.78;1.12;-0.65;0.72;-0.34;0.29;-0.49
354410;1.1077543444238518;0.59;2.17;-0.30;0.24;-0.24;-0.82;-0.04;0.57;1.08;0.52;2.28;0.29;-0.12;-0.35;1.33;-0.66;-1.20;0.92;-0.20;-2.97;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;0.35;0.93;2.11
521410;-1.0270449558660708;0.32;1.55;-0.30;-0.67;-0.24;0.94;-0.04;-0.31;0.96;-0.65;-0.48;-0.68;-3.08;-0.35;-5.35;1.88;-1.20;0.69;-0.20;0.07;-0.09;-0.47;-0.78;2.25;-0.65;0.60;0.27;-1.86;-0.49
410345;0.19101452371523742;-2.34;-0.55;-0.30;0.11;-0.24;0.85;-0.04;0.56;1.03;0.36;-0.48;0.10;0.40;-0.35;0.53;-0.66;-1.20;0.85;-0.20;0.53;-0.09;1.82;-0.78;-0.49;-0.65;0.77;0.75;0.68;1.98
312680;-0.6594437398208163;0.26;1.79;-0.30;-0.65;-0.24;-0.82;-0.04;-0.63;0.83;-0.79;-0.48;-0.53;0.41;-0.35;-0.57;-0.66;-1.20;0.55;-0.20;0.28;-0.09;-0.47;-0.78;2.07;-0.65;0.51;-3.51;0.28;-0.49
352900;2.4523370823663457;0.90;-0.55;-0.30;2.79;-0.24;1.75;-0.04;2.02;1.53;2.35;2.26;1.96;1.08;3.44;1.33;-0.66;1.63;1.31;-0.20;0.69;-0.09;2.52;-0.78;-0.49;-0.65;-1.85;1.08;1.13;2.53
354340;3.3491101035114585;1.15;2.60;-0.30;3.37;5.68;2.07;-0.04;2.95;1.72;3.02;-0.48;2.66;1.37;-0.35;1.75;-0.66;1.78;1.44;6.34;-2.97;-0.09;-0.47;-0.78;-0.49;-0.65;-1.85;1.35;1.55;2.80
110033;0.6186635478135726;-2.34;2.24;-0.30;0.60;-0.24;-0.82;-0.04;0.48;0.92;0.29;-0.48;0.48;0.15;-0.35;-0.41;-0.66;-1.20;0.41;-0.20;0.02;-0.09;-0.47;-0.78;-0.49;1.64;0.75;-0.09;0.40;-0.49
354640;1.0829680434292177;-2.34;-0.55;-0.30;1.02;5.17;-0.82;-0.04;1.02;1.03;1.26;-0.48;0.83;0.77;-0.35;0.70;2.06;-1.20;1.16;-0.20;0.85;-0.09;-0.47;-0.78;-0.49;1.85;0.38;0.78;0.62;-0.49
353280;-0.6004769754255815;0.16;-0.55;-0.30;-0.58;-0.24;-0.82;-0.04;-0.21;0.89;-0.20;1.46;-0.43;-0.02;-0.35;0.03;-0.66;0.99;0.49;-0.20;0.07;-0.09;-0.47;-0.78;-0.49;-0.65;0.57;0.31;0.58;-0.49
430675;-1.5692617354909832;0.14;-0.55;-0.30;-1.09;-0.24;1.01;-0.04;-0.42;-1.00;-0.79;-0.48;-1.16;0.21;-0.35;-0.73;1.01;0.84;0.62;-0.20;0.59;-0.09;1.39;1.23;1.84;-0.65;0.62;0.21;0.49;-0.49
354515;-0.4491877422484757;0.36;-0.55;3.25;-0.42;-0.24;-0.82;-0.04;0.10;-1.00;-0.20;-0.48;-0.27;0.21;-0.35;0.31;-0.66;1.03;0.17;-0.20;0.39;-0.09;-0.47;-0.78;-0.49;-0.65;-0.55;0.33;-1.86;-0.49
