#Codigo;Cidade;GAUSSIAN-MODEL_REL_NOR;SVM_REL_NOR;COP_REL_NOR;OPTICS_REL_NOR;LOF_REL_NOR;GAUSSIAN-MODEL_SUA_NOR;SVM_SUA_NOR;COP_SUA_NOR;OPTICS_SUA_NOR;LOF_SUA_NOR
291125;Gavião - BA;0,8;263183;1;7,74;7,84;0;172094,71;1;3,82;3,87
316200;São Gonçalo do Sapucaí - MG;1;-3168,51;0,32;1,9;1,93;0,1;-8189,71;0,22;1,08;1,09
500348;Dois Irmãos do Buriti - MS;1;2528,83;1;2,95;3;0,2;35110,94;1;2,78;2,8
354870;São Bernardo do Campo - SP;1;188,02;1;1,94;1,95;0,3;210983;1;3,91;3,96
351520;Estrela d'Oeste - SP;1;-2657,9;1;2,21;2,23;0,4;30613,84;1;3,28;3,3
241310;Senador Elói de Souza - RN;0;1249192,96;1;60,37;61,16;0,5;180587;1;8,4;8,51
292665;Ribeirão do Largo - BA;1;133435;1;4,16;4,23;0,6;27018,53;1;3,51;3,54
431490;Porto Alegre - RS;1;-4285,2;1;1,68;1,7;0,7;206052,79;1;3,45;3,49
521390;Mossâmedes - GO;1;52117,8;1;3,35;3,4;0,8;26474,68;1;3,3;3,34
210083;Apicum-Açu - MA;1;-4602,98;1;2,64;2,67;0,9;59167,17;1;4;4,04
355030;São Paulo - SP;1;124721;1;3,81;3,88;0,91;203798,39;1;3,25;3,28
330025;Arraial do Cabo - RJ;0,1;447933;1;10,09;10,26;1;-4867,45;0,99;1,23;1,23
241430;Timbaúba dos Batistas - RN;0,2;475500,31;1;13,75;13,96;1;36543,4;1;1,89;1,92
431301;Nova Candelária - RS;0,3;351729,94;1;5,38;5,53;1;-6188,01;1;1,03;1,03
520670;Damianópolis - GO;0,4;419826,64;1;10,01;10,17;1;5525,95;1;1,33;1,34
330310;Natividade - RJ;0,5;725109,12;1;12,47;12,75;1;4517,53;1;1,45;1,45
311560;Cedro do Abaeté - MG;0,6;364954,97;1;6,95;7,08;1;-3685,24;1;1,22;1,22
510788;Serra Nova Dourada - MT;0,7;265345,24;1;4,49;4,53;1;-4784,32;1;1,16;1,16
314960;Pequi - MG;0,9;280928,47;1;11,61;11,79;1;30605,05;0,59;2,2;2,24
521100;Itapirapuã - GO;0,91;259351,2;1;6,98;7,1;1;-4428,85;1;1,24;1,25
354360;Rifaina - SP;1;301328,84;1;4,53;4,59;1;-2034,46;1;1,2;1,2
352042;Ilha Comprida - SP;1;286326,52;1;5,24;5,3;1;-2368,29;1;1,37;1,37
420900;Joaçaba - SC;1;233676,69;1;5,21;5,31;1;-2435,47;0,22;1,11;1,11
350700;Boituva - SP;1;227243,29;1;6,27;6,32;1;-5278,42;1;1,25;1,26
330130;Casimiro de Abreu - RJ;1;192652,85;1;4,35;4,4;1;-3268,58;0,7;1,17;1,18
421775;Sul Brasil - SC;1;192026,29;1;4,44;4,55;1;-3469,02;0,91;1,09;1,09
353650;Paulínia - SP;1;176619,93;1;3,43;3,46;1;2875,47;1;1,18;1,18
270780;Roteiro - AL;1;165682,92;1;3,94;3,95;1;-8791,42;1;1,18;1,18
431244;Morrinhos do Sul - RS;1;164333,03;1;8,25;8,41;1;26689,23;0,63;2,1;2,14
312790;Grupiara - MG;1;157077,54;1;4,68;4,76;1;-5357,3;1;1,16;1,16
320430;Presidente Kennedy - ES;1;138160,67;1;3,41;3,47;1;-7845,78;1;1,31;1,31
431517;Protásio Alves - RS;1;130405,09;1;3,8;3,87;1;-2803,28;1;1,34;1,35
355070;São Sebastião - SP;1;124176,48;1;4,32;4,4;1;-266;1;1,16;1,16
280150;Carmópolis - SE;1;114530,98;1;3,86;3,92;1;-6232,04;1;1,37;1,37
330500;São João da Barra - RJ;1;104511,57;1;2,67;2,72;1;-3906,99;1;1,27;1,28
410753;Entre Rios do Oeste - PR;1;101623,59;1;3,13;3,2;1;-6935,46;0,86;1,04;1,04
330452;Rio das Ostras - RJ;1;100407,92;1;3,1;3,13;1;3414,21;0,04;1,07;1,07
260720;Ipojuca - PE;1;100061,94;1;3,04;3,1;1;4582,48;1;1,1;1,1
291910;Lamarão - BA;1;97675,79;1;3,49;3,52;1;-5281,37;1;1,26;1,27
410150;Arapongas - PR;1;95409,85;1;3,59;3,66;1;2555,5;1;1,21;1,21
420200;Balneário Camboriú - SC;1;93582,64;1;3,77;3,81;1;-565,55;1;1,15;1,15
430910;Gramado - RS;1;92835,72;1;3,5;3,56;1;-6252,83;0,75;1,18;1,18
522180;Urutaí - GO;1;87254,34;1;4,3;4,38;1;-4837,86;1;1,14;1,14
351495;Embaúba - SP;1;83219,06;1;3,44;3,48;1;-5297,47;1;1,11;1,11
240450;Guamaré - RN;1;82785,27;1;2,45;2,47;1;-5599,11;1;1,22;1,23
314480;Nova Lima - MG;1;82738,03;1;3,02;3,07;1;2898,47;0,98;1,16;1,16
