#Codigo;Cidade ;População 2013;Legislativa(2013);Judiciária(2013);Essencial à Justiça(2013);Administração(2013);Defesa Nacional(2013);Segurança Pública(2013);Relações Exteriores(2013);Assistência Social(2013);Previdência Social(2013);Saúde(2013);Trabalho(2013);Educação(2013);Cultura(2013);Direitos da Cidadania(2013);Urbanismo(2013);Habitação(2013);Saneamento(2013);Gestão Ambiental(2013);Ciência e Tecnologia(2013);Agricultura(2013);Organização Agrária(2013);Indústria(2013);Comércio e Serviços(2013);Comunicações(2013);Energia(2013);Transporte(2013);Desporto e Lazer(2013);Encargos Especiais(2013);Despesas (Intraorçamentárias)(2013);Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);LOF_REL_NOR;LOF_SUA_NOR
412665;Sulina - PR;3366.0;0.00;0.00;0.00;3089348.49;0.00;0.00;0.00;589100.32;0.00;2314345.13;0.00;2736462.92;144683.16;0.00;598737.04;0.00;69022.31;29237.70;0.00;756705.97;0.00;0.00;32389.08;0.00;0.00;3027306.43;143957.79;0.00;0.00;0.00;0.00;0.00;2304726.40;0.00;0.00;0.00;988835.82;0.00;3154319.05;0.00;2247167.89;54554.84;0.00;1416020.70;0.00;54562.03;0.00;0.00;787194.73;0.00;0.00;2573.00;0.00;0.00;2967718.64;194817.45;388807.88;0.00;1.41;1.08
420665;Guatambú - SC;4746.0;563128.08;0.00;0.00;1960619.09;0.00;69507.47;0.00;790205.27;0.00;3770958.79;0.00;3364018.14;474.40;0.00;579139.13;0.00;0.00;153943.66;0.00;898080.50;0.00;0.00;0.00;0.00;0.00;1589600.83;92951.77;599020.81;0.00;589819.84;0.00;0.00;1888670.23;0.00;134651.57;0.00;1120815.39;0.00;3785157.63;0.00;4355211.23;100.00;0.00;541832.58;0.00;0.00;181453.95;0.00;1805474.42;0.00;0.00;0.00;0.00;0.00;1697135.61;111815.64;793738.19;0.00;1.23;1.06
431040;Independência - RS;6714.0;771794.38;0.00;0.00;1831191.28;0.00;386.14;0.00;485310.36;993210.34;3578816.24;0.00;3485438.88;44312.58;0.00;673353.23;35467.39;78554.62;39661.18;0.00;420633.17;0.00;33.89;0.00;0.00;0.00;425879.10;5917.80;770907.04;1237020.41;541772.03;0.00;0.00;3356643.64;0.00;0.00;0.00;274474.19;1056506.48;4333381.00;0.00;3521552.61;77227.59;0.00;317518.03;32014.56;82204.97;1688.50;0.00;295470.26;0.00;3522.32;10000.00;0.00;0.00;565669.59;17303.30;987372.64;1476128.29;1.17;1.02
432253;Vale do Sol - RS;11563.0;655782.93;0.00;0.00;5109349.31;0.00;34653.53;0.00;425213.29;0.00;4592671.85;0.00;6985692.16;219659.11;62528.38;9187.30;0.00;424100.08;93436.00;0.00;506187.79;0.00;17781.64;6306.22;0.00;109494.00;1467854.89;2383.00;824249.01;1187920.33;735949.83;0.00;0.00;4925977.74;0.00;38797.18;0.00;513052.32;0.00;4720871.81;0.00;6382357.72;123621.49;64660.56;1382.70;0.00;604077.62;58617.74;0.00;827865.41;0.00;0.00;28135.93;0.00;140914.18;1465173.22;41227.93;1157665.85;1412815.17;1.44;1.27
431870;São Leopoldo - RS;225520.0;8026472.92;2693720.09;0.00;81370888.18;824.57;12993879.16;0.00;15088539.98;24197502.03;150864821.92;220317.70;125547927.60;2457482.78;1107080.99;28972254.16;8414146.23;35505812.31;15600559.92;0.00;22860.19;0.00;1740189.06;0.00;0.00;0.00;1151530.89;1500176.53;15659354.16;14837938.94;8775499.79;3415818.31;0.00;83891479.97;0.00;14721332.96;0.00;15371780.51;28436434.48;174826543.41;413038.31;138437134.52;1495565.63;1125941.75;21575663.20;2857973.98;40912088.88;27195347.57;0.00;0.00;0.00;2801828.07;384713.97;182684.68;0.00;194727.13;301900.33;17989601.78;22137875.20;1.24;1.15
220060;Angical do Piauí - PI;6703.0;396651.40;0.00;0.00;1867223.77;0.00;0.00;0.00;544585.69;570421.40;3451890.57;0.00;3787536.92;155997.00;0.00;584660.15;0.00;248758.67;0.00;0.00;72147.60;0.00;0.00;0.00;0.00;0.00;1310.00;84797.00;94480.95;0.00;430138.27;0.00;0.00;1872479.04;0.00;0.00;0.00;626281.53;810419.91;3864893.75;0.00;3991111.12;118980.00;0.00;587400.16;0.00;323671.94;0.00;0.00;139783.84;0.00;0.00;0.00;0.00;0.00;7800.00;321947.72;122619.33;0.00;1.05;0.98
430070;Anta Gorda - RS;6235.0;358368.85;0.00;0.00;1073598.67;0.00;0.00;0.00;418728.86;1107599.39;3103411.76;0.00;2823825.24;81967.04;0.00;329760.47;0.00;44315.00;53308.60;285.00;632197.08;0.00;154207.81;321402.47;232485.22;0.00;2500011.01;152792.31;418569.82;915377.17;519700.48;0.00;0.00;1512827.85;0.00;0.00;0.00;379133.68;1145374.18;3329628.41;0.00;2809935.89;74680.28;0.00;413003.22;0.00;19892.12;78438.54;0.00;1896679.50;0.00;116608.49;444135.75;233296.32;0.00;3186769.39;68072.45;524473.17;0.00;1.88;1.16
311180;Canápolis - MG;11882.0;1303609.49;349990.31;0.00;4344818.05;0.00;0.00;0.00;716459.44;953425.91;6381499.13;0.00;5186641.61;452496.52;0.00;2012071.28;8774.00;0.00;11204.60;0.00;1232696.86;0.00;0.00;0.00;0.00;0.00;288752.84;671700.99;0.00;0.00;1356452.78;358573.25;0.00;5244961.30;0.00;0.00;0.00;1019618.18;939468.14;7581609.35;0.00;6217910.68;663147.62;0.00;2762981.00;0.00;0.00;6383.81;0.00;1169700.95;0.00;0.00;0.00;4700.00;0.00;134990.28;563735.93;0.00;0.00;1.33;1.11
421165;Novo Horizonte - SC;2681.0;410251.57;0.00;0.00;1449308.02;0.00;5888.93;0.00;261771.90;228037.16;2161996.44;0.00;2256390.41;49337.54;0.00;79086.71;5639.33;0.00;0.00;0.00;1259699.70;0.00;0.00;0.00;0.00;0.00;965523.59;141306.32;0.00;322125.53;541711.91;0.00;0.00;1648152.78;0.00;5324.31;0.00;351966.36;286393.62;2488217.32;0.00;2897540.16;159488.60;0.00;442039.26;51842.79;0.00;0.00;0.00;2256528.26;0.00;0.00;0.00;0.00;0.00;2509259.51;174873.22;0.00;340773.87;1.28;1.13
420950;Laurentino - SC;6402.0;619095.37;0.00;0.00;1869908.11;0.00;565305.78;0.00;573347.74;0.00;2573933.14;0.00;3799215.99;23600.20;0.00;989349.29;117213.50;0.00;8584.81;0.00;1084384.75;0.00;0.00;0.00;0.00;0.00;1721871.82;173936.91;454950.00;0.00;0.00;0.00;0.00;1911897.22;0.00;351327.05;0.00;662560.01;0.00;3015944.31;0.00;5032844.79;39685.62;72897.96;1364911.11;129237.33;0.00;6954.46;0.00;1084065.43;0.00;0.00;820.00;0.00;0.00;1956224.26;1081825.11;527021.47;0.00;1.58;1.22
