0;relativo;suavizado
1;20,7 Barros Cassal - RS;3,7 Capela - SE
2;15,05 Timbaúba dos Batistas - RN;3,53 Barros Cassal - RS
3;11,84 Hulha Negra - RS;3,52 São Miguel da Baixa Grande - PI
4;9,32 Natividade - RJ;3,49 Anchieta - ES
5;8,32 Luziânia - GO;3,4 São Bernardo do Campo - SP
6;7,84 Oriente - SP;3,31 São Paulo - SP
7;7,75 Itaparica - BA;3,09 Porto Alegre - RS
8;7,18 São Miguel da Baixa Grande - PI;3,09 Santo André - SP
9;7,11 Pequi - MG;3,07 Currais Novos - RN
10;6,86 Lajeado - TO;3,02 Janduís - RN
