#Codigo;Legislativa(2019);Judiciária(2019);Essencial à Justiça(2019);Administração(2019);Defesa Nacional(2019);Segurança Pública(2019);Relações Exteriores(2019);Assistência Social(2019);Previdência Social(2019);Saúde(2019);Trabalho(2019);Educação(2019);Cultura(2019);Direitos da Cidadania(2019);Urbanismo(2019);Habitação(2019);Saneamento(2019);Gestão Ambiental(2019);Ciência e Tecnologia(2019);Agricultura(2019);Organização Agrária(2019);Indústria(2019);Comércio e Serviços(2019);Comunicações(2019);Energia(2019);Transporte(2019);Desporto e Lazer(2019);Encargos Especiais(2019);Despesas (Intraorçamentárias)(2019);Legislativa(2020);Judiciária(2020);Essencial à Justiça(2020);Administração(2020);Defesa Nacional(2020);Segurança Pública(2020);Relações Exteriores(2020);Assistência Social(2020);Previdência Social(2020);Saúde(2020);Trabalho(2020);Educação(2020);Cultura(2020);Direitos da Cidadania(2020);Urbanismo(2020);Habitação(2020);Saneamento(2020);Gestão Ambiental(2020);Ciência e Tecnologia(2020);Agricultura(2020);Organização Agrária(2020);Indústria(2020);Comércio e Serviços(2020);Comunicações(2020);Energia(2020);Transporte(2020);Desporto e Lazer(2020);Encargos Especiais(2020);Despesas (Intraorçamentárias)(2020)
412665;-0.95;-0.27;-0.15;1.70;-0.08;-0.31;-0.02;1.05;-0.64;0.56;-0.18;0.46;0.45;-0.09;0.01;-0.14;-0.13;-0.11;-0.09;1.91;-0.03;-0.18;0.08;-0.21;-0.40;5.65;0.48;-0.83;-0.30;-0.95;-0.27;-0.15;1.70;-0.08;-0.31;-0.02;1.05;-0.64;0.56;-0.18;0.46;0.45;-0.09;0.01;-0.14;-0.13;-0.11;-0.09;1.91;-0.03;-0.18;0.08;-0.21;-0.40;5.65;0.48;-0.83;-0.30
420665;0.48;-0.27;-0.15;0.10;-0.08;0.54;-0.02;0.94;-0.64;0.97;-0.18;0.07;-0.72;-0.09;-0.34;-0.14;-0.32;0.63;-0.09;1.51;-0.03;-0.18;-0.29;-0.21;-0.40;1.74;-0.10;1.59;-0.30;0.48;-0.27;-0.15;0.10;-0.08;0.54;-0.02;0.94;-0.64;0.97;-0.18;0.07;-0.72;-0.09;-0.34;-0.14;-0.32;0.63;-0.09;1.51;-0.03;-0.18;-0.29;-0.21;-0.40;1.74;-0.10;1.59;-0.30
431040;0.43;-0.27;-0.15;-0.35;-0.08;-0.31;-0.02;-0.28;1.18;-0.04;-0.18;-0.65;-0.55;-0.09;-0.47;-0.05;-0.21;-0.20;-0.09;0.12;-0.03;-0.18;-0.29;-0.21;-0.40;-0.15;-0.57;1.37;2.14;0.43;-0.27;-0.15;-0.35;-0.08;-0.31;-0.02;-0.28;1.18;-0.04;-0.18;-0.65;-0.55;-0.09;-0.47;-0.05;-0.21;-0.20;-0.09;0.12;-0.03;-0.18;-0.29;-0.21;-0.40;-0.15;-0.57;1.37;2.14
432253;-0.27;-0.27;-0.15;0.19;-0.08;-0.14;-0.02;-0.73;-0.64;-0.56;-0.18;-0.33;-0.21;0.47;-1.09;-0.14;0.03;-0.13;-0.09;-0.09;-0.03;-0.08;-0.26;-0.21;0.26;0.29;-0.59;0.54;1.06;-0.27;-0.27;-0.15;0.19;-0.08;-0.14;-0.02;-0.73;-0.64;-0.56;-0.18;-0.33;-0.21;0.47;-1.09;-0.14;0.03;-0.13;-0.09;-0.09;-0.03;-0.08;-0.26;-0.21;0.26;0.29;-0.59;0.54;1.06
431870;-0.52;0.65;-0.15;-0.07;-0.08;3.07;-0.02;-0.34;0.68;0.48;-0.14;-0.51;-0.43;0.42;-0.29;0.54;1.19;1.79;-0.09;-0.57;-0.03;0.30;-0.29;-0.21;-0.40;-0.55;-0.42;0.50;0.57;-0.52;0.65;-0.15;-0.07;-0.08;3.07;-0.02;-0.34;0.68;0.48;-0.14;-0.51;-0.43;0.42;-0.29;0.54;1.19;1.79;-0.09;-0.57;-0.03;0.30;-0.29;-0.21;-0.40;-0.55;-0.42;0.50;0.57
220060;-0.24;-0.27;-0.15;-0.33;-0.08;-0.31;-0.02;-0.16;0.40;-0.10;-0.18;-0.47;-0.09;-0.09;-0.55;-0.14;0.03;-0.39;-0.09;-0.46;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;-0.27;-0.56;-0.30;-0.24;-0.27;-0.15;-0.33;-0.08;-0.31;-0.02;-0.16;0.40;-0.10;-0.18;-0.47;-0.09;-0.09;-0.55;-0.14;0.03;-0.39;-0.09;-0.46;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;-0.27;-0.56;-0.30
430070;-0.26;-0.27;-0.15;-0.67;-0.08;-0.31;-0.02;-0.34;1.54;-0.17;-0.18;-0.90;-0.37;-0.09;-0.77;-0.14;-0.26;-0.12;-0.07;0.54;-0.03;1.34;1.65;7.19;-0.40;2.20;0.02;0.46;1.65;-0.26;-0.27;-0.15;-0.67;-0.08;-0.31;-0.02;-0.34;1.54;-0.17;-0.18;-0.90;-0.37;-0.09;-0.77;-0.14;-0.26;-0.12;-0.07;0.54;-0.03;1.34;1.65;7.19;-0.40;2.20;0.02;0.46;1.65
290340;-0.19;-0.27;-0.15;0.51;-0.08;-0.31;-0.02;-0.16;-0.64;-0.94;-0.18;-0.07;1.17;-0.09;-0.90;-0.14;-0.32;-0.39;-0.09;-0.58;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;-0.59;0.78;-0.30;-0.19;-0.27;-0.15;0.51;-0.08;-0.31;-0.02;-0.16;-0.64;-0.94;-0.18;-0.07;1.17;-0.09;-0.90;-0.14;-0.32;-0.39;-0.09;-0.58;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;-0.59;0.78;-0.30
241100;0.50;-0.27;-0.15;0.00;-0.08;-0.31;-0.02;0.74;0.00;0.80;-0.18;0.55;-0.73;-0.09;1.71;-0.14;-0.32;-0.39;-0.09;-0.10;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;-0.38;-0.83;-0.30;0.50;-0.27;-0.15;0.00;-0.08;-0.31;-0.02;0.74;0.00;0.80;-0.18;0.55;-0.73;-0.09;1.71;-0.14;-0.32;-0.39;-0.09;-0.10;-0.03;-0.18;-0.29;-0.21;-0.40;-0.59;-0.38;-0.83;-0.30
311180;0.37;1.99;-0.15;-0.06;-0.08;-0.31;-0.02;-0.43;0.34;-0.02;-0.18;-0.96;0.31;-0.09;-0.04;-0.13;-0.32;-0.36;-0.09;0.57;-0.03;-0.18;-0.29;-0.21;-0.40;-0.42;0.83;-0.83;-0.30;0.37;1.99;-0.15;-0.06;-0.08;-0.31;-0.02;-0.43;0.34;-0.02;-0.18;-0.96;0.31;-0.09;-0.04;-0.13;-0.32;-0.36;-0.09;0.57;-0.03;-0.18;-0.29;-0.21;-0.40;-0.42;0.83;-0.83;-0.30
