#Codigo;População 2019;Legislativa(2019);Judiciária(2019);Essencial à Justiça(2019);Administração(2019);Defesa Nacional(2019);Segurança Pública(2019);Relações Exteriores(2019);Assistência Social(2019);Previdência Social(2019);Saúde(2019);Trabalho(2019);Educação(2019);Cultura(2019);Direitos da Cidadania(2019);Urbanismo(2019);Habitação(2019);Saneamento(2019);Gestão Ambiental(2019);Ciência e Tecnologia(2019);Agricultura(2019);Organização Agrária(2019);Indústria(2019);Comércio e Serviços(2019);Comunicações(2019);Energia(2019);Transporte(2019);Desporto e Lazer(2019);Encargos Especiais(2019);Despesas (Intraorçamentárias)(2019);Legislativa(2020);Judiciária(2020);Essencial à Justiça(2020);Administração(2020);Defesa Nacional(2020);Segurança Pública(2020);Relações Exteriores(2020);Assistência Social(2020);Previdência Social(2020);Saúde(2020);Trabalho(2020);Educação(2020);Cultura(2020);Direitos da Cidadania(2020);Urbanismo(2020);Habitação(2020);Saneamento(2020);Gestão Ambiental(2020);Ciência e Tecnologia(2020);Agricultura(2020);Organização Agrária(2020);Indústria(2020);Comércio e Serviços(2020);Comunicações(2020);Energia(2020);Transporte(2020);Desporto e Lazer(2020);Encargos Especiais(2020);Despesas (Intraorçamentárias)(2020)
412665;-1.1515974646368483;-2.39;-0.53;-0.30;-0.09;-0.25;-0.80;-0.04;-0.20;-1.02;-0.42;-0.48;-0.52;0.22;-0.32;-0.18;-0.66;0.58;0.58;-0.20;0.57;-0.09;-0.47;1.06;-0.51;-0.65;0.84;0.26;-1.77;-0.47;-2.39;-0.53;-0.30;-0.09;-0.25;-0.80;-0.04;-0.20;-1.02;-0.42;-0.48;-0.52;0.22;-0.32;-0.18;-0.66;0.58;0.58;-0.20;0.57;-0.09;-0.47;1.06;-0.51;-0.65;0.84;0.26;-1.77;-0.47
420665;-0.8566932778256673;0.29;-0.53;-0.30;-0.36;-0.25;1.17;-0.04;-0.03;-1.02;-0.17;-0.48;-0.41;-1.20;-0.32;-0.19;-0.66;-1.21;0.87;-0.20;0.61;-0.09;-0.47;-0.76;-0.51;-0.65;0.72;0.14;0.57;-0.47;0.29;-0.53;-0.30;-0.36;-0.25;1.17;-0.04;-0.03;-1.02;-0.17;-0.48;-0.41;-1.20;-0.32;-0.19;-0.66;-1.21;0.87;-0.20;0.61;-0.09;-0.47;-0.76;-0.51;-0.65;0.72;0.14;0.57;-0.47
431040;-0.5589431285797487;0.36;-0.53;-0.30;-0.40;-0.25;0.25;-0.04;-0.31;0.96;-0.20;-0.48;-0.39;-0.07;-0.32;-0.14;1.29;0.60;0.64;-0.20;0.42;-0.09;0.32;-0.76;-0.51;-0.65;0.48;-0.62;0.61;2.04;0.36;-0.53;-0.30;-0.40;-0.25;0.25;-0.04;-0.31;0.96;-0.20;-0.48;-0.39;-0.07;-0.32;-0.14;1.29;0.60;0.64;-0.20;0.42;-0.09;0.32;-0.76;-0.51;-0.65;0.48;-0.62;0.61;2.04
432253;-0.09233901313963792;0.32;-0.53;-0.30;0.21;-0.25;1.04;-0.04;-0.38;-1.02;-0.08;-0.48;-0.02;0.32;2.98;-1.59;-0.66;0.87;0.78;-0.20;0.47;-0.09;1.74;0.77;-0.51;1.46;0.71;-0.87;0.62;2.03;0.32;-0.53;-0.30;0.21;-0.25;1.04;-0.04;-0.38;-1.02;-0.08;-0.48;-0.02;0.32;2.98;-1.59;-0.66;0.87;0.78;-0.20;0.47;-0.09;1.74;0.77;-0.51;1.46;0.71;-0.87;0.62;2.03
431870;2.457429384523897;0.83;2.47;-0.30;1.87;2.75;2.09;-0.04;1.62;1.42;1.66;2.15;1.51;0.92;3.83;1.13;2.31;1.58;1.66;-0.20;-0.32;-0.09;2.77;-0.76;-0.51;-0.65;0.66;0.90;1.14;2.48;0.83;2.47;-0.30;1.87;2.75;2.09;-0.04;1.62;1.42;1.66;2.15;1.51;0.92;3.83;1.13;2.31;1.58;1.66;-0.20;-0.32;-0.09;2.77;-0.76;-0.51;-0.65;0.66;0.90;1.14;2.48
220060;-0.5603505499296493;0.22;-0.53;-0.30;-0.39;-0.25;-0.80;-0.04;-0.24;0.88;-0.22;-0.48;-0.35;0.24;-0.32;-0.19;-0.66;0.78;-1.18;-0.20;-0.03;-0.09;-0.47;-0.76;-0.51;-0.65;-0.59;0.11;0.24;-0.47;0.22;-0.53;-0.30;-0.39;-0.25;-0.80;-0.04;-0.24;0.88;-0.22;-0.48;-0.35;0.24;-0.32;-0.19;-0.66;0.78;-1.18;-0.20;-0.03;-0.09;-0.47;-0.76;-0.51;-0.65;-0.59;0.11;0.24;-0.47
430070;-0.6224739194550507;0.20;-0.53;-0.30;-0.72;-0.25;-0.80;-0.04;-0.39;0.98;-0.27;-0.48;-0.50;0.08;-0.32;-0.38;-0.66;0.51;0.69;2.41;0.52;-0.09;2.22;1.47;2.51;-0.65;0.81;0.27;0.50;1.98;0.20;-0.53;-0.30;-0.72;-0.25;-0.80;-0.04;-0.39;0.98;-0.27;-0.48;-0.50;0.08;-0.32;-0.38;-0.66;0.51;0.69;2.41;0.52;-0.09;2.22;1.47;2.51;-0.65;0.81;0.27;0.50;1.98
290340;0.5153237110379912;0.49;-0.53;-0.30;0.76;-0.25;-0.80;-0.04;0.46;-1.02;0.13;-0.48;0.41;0.82;-0.32;-0.11;-0.66;-1.21;-1.18;-0.20;-2.87;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;-3.01;0.78;-0.47;0.49;-0.53;-0.30;0.76;-0.25;-0.80;-0.04;0.46;-1.02;0.13;-0.48;0.41;0.82;-0.32;-0.11;-0.66;-1.21;-1.18;-0.20;-2.87;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;-3.01;0.78;-0.47
241100;-0.8930821540931231;0.29;-0.53;-0.30;-0.43;-0.25;-0.80;-0.04;-0.11;0.76;-0.22;-0.48;-0.34;-2.73;-0.32;0.24;-0.66;-1.21;-1.18;-0.20;0.23;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;-0.11;-1.77;-0.47;0.29;-0.53;-0.30;-0.43;-0.25;-0.80;-0.04;-0.11;0.76;-0.22;-0.48;-0.34;-2.73;-0.32;0.24;-0.66;-1.21;-1.18;-0.20;0.23;-0.09;-0.47;-0.76;-0.51;-0.65;-1.92;-0.11;-1.77;-0.47
311180;-0.0689800252889319;0.46;2.05;-0.30;0.11;-0.25;-0.80;-0.04;-0.09;0.95;0.09;-0.48;-0.18;0.50;-0.32;0.23;1.03;-1.21;0.42;-0.20;0.69;-0.09;-0.47;-0.76;-0.51;-0.65;0.41;0.68;-1.77;-0.47;0.46;2.05;-0.30;0.11;-0.25;-0.80;-0.04;-0.09;0.95;0.09;-0.48;-0.18;0.50;-0.32;0.23;1.03;-1.21;0.42;-0.20;0.69;-0.09;-0.47;-0.76;-0.51;-0.65;0.41;0.68;-1.77;-0.47
