Exp rela norm;Exp sua nor
61,16 Senador Elói de Souza - RN;8,51 Senador Elói de Souza - RN
13,96 Timbaúba dos Batistas - RN;4,04 Apicum-Açu - MA
12,75 Natividade - RJ;3,96 São Bernardo do Campo - SP
11,79 Pequi - MG;3,87 Gavião - BA
10,26 Arraial do Cabo - RJ;3,64 Farroupilha - RS
10,17 Damianópolis - GO;3,63 Contagem - MG
8,73 Curaçá - BA;3,54 Cristalina - GO
8,41 Morrinhos do Sul - RS;3,54 Ribeirão do Largo - BA
7,84 Gavião - BA;3,49 Porto Alegre - RS
7,1 Itapirapuã - GO;3,39 Santo André - SP
