LOF 2013 REL NOR;LOF 2013 SUA NOR
47,52 Senador Elói de Souza - RN;6,94 Senador Elói de Souza - RN
27,1 Timbaúba dos Batistas - RN;5,6 São Miguel da Baixa Grande - PI
12,31 Itaparica - BA;5,6 Santa Cruz dos Milagres - PI
11,93 Luziânia - GO;5,46 Capela - SE
11,15 Arraial do Cabo - RJ;4,63 Leópolis - PR
10,89 Oriente - SP;3,96 São Paulo - SP
10,55 São Miguel da Baixa Grande - PI;3,73 Indiavaí - MT
10,41 Aragoiânia - GO;3,71 Igreja Nova - AL
9,51 Adelândia - GO;3,48 São Bernardo do Campo - SP
9,23 Santa Cruz dos Milagres - PI;3,43 Santo André - SP
