0;GAUSSIAN MODEL;SVM;COP;OPTICS
1;Senador Elói de Souza - RN;Senador Elói de Souza - RN;Gavião - BA;Senador Elói de Souza - RN
2;Arraial do Cabo - RJ;Natividade - RJ;Dois Irmãos do Buriti - MS;Timbaúba dos Batistas - RN
3;Timbaúba dos Batistas - RN;Timbaúba dos Batistas - RN;São Bernardo do Campo - SP;Natividade - RJ
4;Nova Candelária - RS;Arraial do Cabo - RJ;Estrela d'Oeste - SP;Pequi - MG
5;Damianópolis - GO;Damianópolis - GO;Senador Elói de Souza - RN;Arraial do Cabo - RJ
6;Natividade - RJ;Cedro do Abaeté - MG;Ribeirão do Largo - BA;Damianópolis - GO
7;Cedro do Abaeté - MG;Nova Candelária - RS;Porto Alegre - RS;Curaçá - BA
8;Serra Nova Dourada - MT;Rifaina - SP;Mossâmedes - GO;Morrinhos do Sul - RS
9;Gavião - BA;Ilha Comprida - SP;Apicum-Açu - MA;Gavião - BA
10;Pequi - MG;Pequi - MG;São Paulo - SP;Itapirapuã - GO
