#Codigo;Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);Legislativa(2015);Judiciária(2015);Essencial à Justiça(2015);Administração(2015);Defesa Nacional(2015);Segurança Pública(2015);Relações Exteriores(2015);Assistência Social(2015);Previdência Social(2015);Saúde(2015);Trabalho(2015);Educação(2015);Cultura(2015);Direitos da Cidadania(2015);Urbanismo(2015);Habitação(2015);Saneamento(2015);Gestão Ambiental(2015);Ciência e Tecnologia(2015);Agricultura(2015);Organização Agrária(2015);Indústria(2015);Comércio e Serviços(2015);Comunicações(2015);Energia(2015);Transporte(2015);Desporto e Lazer(2015);Encargos Especiais(2015);Despesas (Intraorçamentárias)(2015)
430057;-0.07;-0.28;-0.15;2.04;-0.08;0.89;-0.01;-0.29;0.76;0.03;-0.22;1.61;0.40;-0.10;-1.10;-0.22;0.81;-0.06;-0.10;2.40;-0.04;-0.17;-0.26;-0.21;0.05;0.52;0.21;1.72;2.06;-0.14;-0.29;-0.08;2.01;-0.08;1.51;-0.02;-0.31;0.84;0.26;-0.22;-0.07;0.79;-0.12;-1.07;-0.16;0.78;0.13;-0.11;2.16;-0.04;-0.19;-0.25;-0.22;-0.45;0.12;0.18;1.49;2.17
430510;-0.63;-0.28;1.01;-0.52;-0.08;1.32;-0.01;-0.29;-0.59;0.69;-0.15;-0.92;0.18;-0.07;0.25;0.47;2.51;1.24;-0.04;-0.44;-0.04;-0.17;-0.11;-0.21;-0.44;-0.39;0.01;6.94;3.01;-0.65;-0.29;0.46;-0.58;-0.08;1.30;-0.02;-0.16;2.69;0.78;-0.09;-0.75;0.27;-0.08;0.29;0.32;3.42;1.06;-0.07;-0.46;-0.04;-0.19;0.02;-0.22;-0.45;-0.39;-0.04;1.96;3.40
420930;-0.43;0.55;-0.15;-0.48;-0.08;0.43;-0.01;-0.17;1.35;0.14;-0.22;-0.57;-0.14;-0.10;-0.59;0.06;2.48;0.63;-0.10;-0.20;-0.04;0.31;0.22;-0.21;-0.44;0.20;-0.05;0.70;0.76;-0.46;0.83;-0.08;-0.59;-0.08;0.10;-0.02;-0.23;1.44;0.19;-0.22;-0.47;-0.22;-0.11;-0.81;0.16;2.48;0.80;-0.11;-0.31;-0.04;-0.19;0.32;-0.22;-0.45;0.18;-0.14;0.69;0.75
110012;-0.48;-0.28;-0.15;-0.60;-0.08;-0.32;-0.01;-0.90;-0.24;-0.79;-0.22;-1.67;-0.59;-0.10;-0.34;-0.01;-0.33;-0.22;-0.10;-0.25;-0.04;-0.17;-0.26;-0.21;-0.44;0.06;-0.40;-0.35;0.23;-0.50;-0.29;-0.08;-0.52;-0.08;-0.31;-0.02;-0.80;-0.21;-0.72;-0.22;-1.67;-0.59;-0.12;-0.31;-0.14;-0.45;-0.25;-0.11;-0.20;-0.04;-0.19;-0.25;-0.22;-0.45;0.17;-0.29;-0.34;0.34
314810;-0.24;0.24;-0.15;-0.19;-0.08;0.31;-0.01;-0.64;0.63;0.25;-0.22;-0.96;-0.16;-0.10;-0.67;-0.22;0.65;0.54;-0.10;-0.32;-0.04;-0.17;-0.26;-0.21;1.45;-0.46;-0.23;1.29;-0.31;-0.37;0.40;-0.08;-0.30;-0.08;1.05;-0.02;-0.64;0.57;0.60;-0.22;-1.21;-0.10;-0.12;-0.25;-0.16;0.71;-0.41;-0.11;-0.37;-0.04;-0.19;-0.24;-0.22;2.36;-0.37;-0.25;0.67;-0.37
430990;-0.09;-0.28;-0.15;-0.24;-0.08;-0.32;-0.01;-0.35;1.46;-0.02;-0.22;-0.93;-0.62;-0.10;-0.51;-0.22;-0.09;-0.44;-0.10;1.64;-0.04;-0.17;-0.26;-0.21;-0.44;0.76;0.08;0.80;2.20;-0.03;-0.29;-0.08;-0.34;-0.08;-0.29;-0.02;-0.36;1.48;-0.45;-0.22;-1.01;-0.35;-0.12;-0.48;-0.16;-0.46;-0.35;-0.11;0.36;-0.04;-0.19;-0.25;-0.22;-0.45;0.87;-0.17;0.19;2.36
431848;-0.68;-0.28;-0.15;0.66;-0.08;0.17;-0.01;0.04;-0.28;0.47;-0.22;-0.49;0.41;-0.10;-0.63;-0.22;0.00;-0.29;-0.10;0.93;-0.04;-0.17;-0.26;-0.21;0.25;0.90;-0.09;0.22;0.55;-0.71;-0.29;-0.08;0.63;-0.08;0.38;-0.02;0.24;-0.24;0.26;-0.22;0.09;0.25;-0.12;-0.39;-0.16;0.05;-0.22;-0.11;0.45;-0.04;-0.19;-0.25;-0.22;-0.45;2.98;0.12;-0.21;0.62
317020;-0.40;0.00;-0.15;-0.41;-0.08;0.92;-0.01;-0.55;0.65;0.39;-0.22;-0.88;-0.64;-0.10;-0.19;0.02;1.51;-0.37;0.02;-0.43;-0.04;-0.17;-0.23;-0.21;-0.44;-0.53;-0.03;-0.37;0.96;-0.42;0.03;-0.08;-0.22;-0.08;0.22;-0.02;-0.50;0.82;0.51;-0.22;-0.71;-0.62;-0.12;0.28;0.22;2.67;-0.32;0.06;-0.46;-0.04;-0.19;-0.23;-0.22;-0.45;-0.57;0.01;-0.42;1.28
431800;0.08;-0.28;-0.15;-0.29;-0.08;-0.01;-0.01;-0.42;1.30;0.33;0.07;-0.75;-0.65;-0.09;-0.18;-0.20;-0.40;-0.42;-0.10;-0.45;-0.04;-0.17;-0.08;-0.21;-0.44;-0.51;-0.56;-0.09;1.93;-0.02;-0.29;-0.08;-0.31;-0.08;-0.15;-0.02;-0.47;1.36;0.19;-0.20;-0.71;-0.63;-0.11;-0.57;-0.09;-0.47;-0.40;-0.11;-0.51;-0.04;-0.19;-0.05;-0.22;-0.45;-0.24;-0.32;0.11;2.59
351170;0.02;1.29;-0.15;-0.40;-0.08;-0.32;-0.01;-0.19;-0.64;-0.19;-0.22;0.67;-0.43;-0.10;0.01;-0.22;-0.41;-0.44;-0.10;-0.57;-0.04;-0.17;0.19;-0.21;-0.44;-0.34;-0.13;-0.54;-0.31;0.01;0.72;-0.08;-0.33;-0.08;-0.31;-0.02;-0.44;-0.66;-0.33;-0.22;0.63;-0.58;-0.12;0.31;-0.16;-0.48;-0.41;-0.11;-0.60;-0.04;-0.00;0.44;-0.22;-0.45;-0.31;0.04;-0.72;-0.37
351310;-0.44;-0.28;-0.15;-0.43;-0.08;-0.19;-0.01;0.79;2.54;-0.14;-0.22;-0.11;0.67;-0.10;0.35;-0.22;1.47;-0.44;-0.10;-0.57;-0.04;-0.08;-0.26;-0.21;-0.44;-0.22;-0.04;1.02;-0.31;-0.49;-0.29;-0.08;-0.38;-0.08;-0.22;-0.02;1.29;2.66;-0.02;-0.22;0.00;0.68;-0.12;0.25;-0.16;1.56;-0.41;-0.11;-0.60;-0.04;-0.08;-0.25;-0.22;-0.45;-0.20;0.05;0.70;-0.37
352070;1.55;-0.28;-0.15;0.57;-0.08;-0.32;-0.01;1.12;0.15;1.12;-0.22;1.57;1.21;1.71;1.74;6.35;-0.41;1.08;-0.10;0.32;-0.04;-0.17;0.19;-0.21;-0.44;-0.16;7.73;1.08;-0.31;1.37;-0.29;-0.08;0.64;-0.08;-0.31;-0.02;0.70;0.03;0.97;-0.22;0.20;-0.18;1.86;0.35;-0.16;-0.48;1.15;-0.11;0.42;-0.04;-0.19;0.19;-0.22;-0.45;-0.15;3.70;0.86;-0.37
430430;-0.26;-0.28;-0.15;-0.09;-0.08;-0.32;-0.01;-0.45;0.96;-0.18;-0.22;0.20;-0.11;-0.10;-0.99;-0.20;-0.13;-0.39;-0.10;0.51;-0.04;-0.17;-0.09;-0.21;0.76;0.21;0.48;0.57;2.33;0.33;-0.29;-0.08;-0.06;-0.08;-0.31;-0.02;-0.42;1.42;-0.30;-0.22;-0.66;-0.58;-0.12;-0.83;-0.16;-0.19;-0.40;-0.11;0.63;-0.04;-0.19;0.05;-0.22;1.11;0.12;-0.32;0.28;2.65
410302;-1.21;-0.28;-0.15;1.74;-0.08;-0.32;-0.01;1.72;-0.64;1.27;-0.22;0.59;-0.73;-0.10;0.82;-0.22;-0.41;0.84;-0.10;1.85;-0.04;1.96;-0.26;-0.21;-0.44;4.69;0.54;-0.47;-0.31;-1.27;-0.29;-0.08;1.55;-0.08;-0.31;-0.02;1.73;-0.66;1.43;-0.22;0.37;-0.73;-0.12;1.01;-0.16;-0.48;0.74;-0.11;1.82;-0.04;2.24;-0.25;-0.22;-0.45;4.02;0.67;-0.50;-0.37
411900;-1.21;-0.28;-0.15;0.01;-0.08;-0.32;-0.01;-0.02;-0.64;-0.06;-0.22;-0.90;-0.66;-0.10;0.07;-0.22;-0.13;0.00;-0.10;0.37;-0.04;-0.17;-0.26;-0.21;-0.44;0.34;-0.14;-0.81;-0.31;-1.27;-0.29;-0.08;0.12;-0.08;-0.31;-0.02;0.06;-0.66;0.25;-0.22;-0.74;-0.66;-0.12;0.44;-0.16;-0.18;-0.30;-0.11;0.02;-0.04;-0.19;-0.25;-0.22;-0.45;0.53;0.05;-0.82;-0.37
