#Codigo;Cidade ;População 2014;Legislativa(2014);Judiciária(2014);Essencial à Justiça(2014);Administração(2014);Defesa Nacional(2014);Segurança Pública(2014);Relações Exteriores(2014);Assistência Social(2014);Previdência Social(2014);Saúde(2014);Trabalho(2014);Educação(2014);Cultura(2014);Direitos da Cidadania(2014);Urbanismo(2014);Habitação(2014);Saneamento(2014);Gestão Ambiental(2014);Ciência e Tecnologia(2014);Agricultura(2014);Organização Agrária(2014);Indústria(2014);Comércio e Serviços(2014);Comunicações(2014);Energia(2014);Transporte(2014);Desporto e Lazer(2014);Encargos Especiais(2014);Despesas (Intraorçamentárias)(2014);Legislativa(2015);Judiciária(2015);Essencial à Justiça(2015);Administração(2015);Defesa Nacional(2015);Segurança Pública(2015);Relações Exteriores(2015);Assistência Social(2015);Previdência Social(2015);Saúde(2015);Trabalho(2015);Educação(2015);Cultura(2015);Direitos da Cidadania(2015);Urbanismo(2015);Habitação(2015);Saneamento(2015);Gestão Ambiental(2015);Ciência e Tecnologia(2015);Agricultura(2015);Organização Agrária(2015);Indústria(2015);Comércio e Serviços(2015);Comunicações(2015);Energia(2015);Transporte(2015);Desporto e Lazer(2015);Encargos Especiais(2015);Despesas (Intraorçamentárias)(2015);LOF_REL_NOR;LOF_SUA_NOR
430057;Alto Feliz - RS;3017;237312.91;0;0;3451273.92;0;80530.65;0;256517.77;389394.08;1947085.69;0;3826396.7;149434.74;0;0;0;330521.3;39910.6;0;1026400.73;0;0;0;0;21304.38;605893.81;118136.48;453235.26;601404.12;247962.45;0;0;3483680.36;0;139836.51;0;263138.93;478345.29;2197483.83;0;2417136.34;181335.7;0;0;0;318754.48;66204.4;0;885522.13;0;0;0;0;0;359875.72;120763.15;449034.91;662263.17;1.44;1.26
430510;Caxias do Sul - RS;470223;19027133.75;393.84;5796242.33;113881319.84;0;17076745.26;0;39883990.53;2214290.2;395866306.97;555382.96;240683097.23;18653635.03;160257.41;126060480.32;11798962.69;123776779.84;27442133.08;85448.55;6723265.13;0;0;2630411.68;0;0;13001936.52;14168083.06;216372689.44;131434991.02;20922635.64;0;6088579.55;107355848.32;0;19292985.13;0;47264709.57;166944975.89;414724010.08;1019442.12;280238598.13;18653489.8;205868.06;134088474.8;9232810.1;154239279.26;28253642.13;52343.84;7268446.38;0;0;4642622.31;0;0;14293950.42;13137456.69;84467236.7;153279862.13;1.74;1.11
420930;Lages - SC;158846;8573775.7;1979124.41;0;40536065.86;0;2629795.7;0;15114905.36;29164541.31;107910892.02;0;98179797.97;4109419.31;0;15987481.46;1645369.83;41336376.29;5878903.4;0;6766507.34;0;1657550.21;2783602.27;0;0;22328276.8;4353120.78;14179046.89;14367046.88;9358826.65;2510850.15;0;35772023.01;0;1653909.02;0;15003656.36;35296003.76;112214724.17;0;107913526.7;3218694.37;10798.71;8524536.95;2100752.34;39568145.32;7845116.33;0;4875091.12;0;0;3321642.24;0;0;20433088.21;3593494.43;15504990.08;15407628.03;1.27;1.15
110012;Ji-Paraná - RO;129242;6574926.93;0;0;27479656.07;0;0;0;4063335.34;4698951.76;51386022.47;0;37242056.92;812039.93;0;19495633.29;1009610;940598.99;960992.76;0;4717063.51;0;0;0;0;0;14708566.61;1500188.58;3481498.61;5922171.16;7196707.74;0;0;32395800.37;0;0;0;5564076.73;6076754.21;56042029.59;0;40771689.02;728740.06;0;20464496.46;130870;275923.89;864693.07;0;5465620;0;0;0;0;0;16516212.78;1869142.7;3969634.71;7878952.27;1.15;1.14
314810;Patrocínio - MG;87928;5931327.88;684523.31;0;31455942.45;0;1220863.81;0;4758422.89;10328027.19;62417248.56;0;44067000.8;2212539.17;0;7393288.43;0;8419062.41;2998874.4;0;2514805.22;0;0;0;0;2409008.48;1241619.21;1687759.88;10938295.12;0;5715395.17;855445.99;0;28999531.31;0;3044838.2;0;5081770.87;11491411.62;72927289.7;0;39869017.84;2187377.04;0;15041865.57;0;8781775.51;0;0;2208500.4;0;0;31510;0;4709173.75;2930725.65;1489568.62;8455641.93;0;1.23;1.17
430990;Ibiraiaras - RS;7432;574727.11;0;0;2528684.48;0;0;0;594872.49;1444090.54;4677555.17;0;3777462.63;37387.25;0;873410.75;0;212963.08;0;0;1877616.7;0;0;0;0;0;1828293.3;249278.23;710940.45;1570893.08;667122.17;0;0;2336816.07;0;4250;0;610846.56;1682354.04;3823711.49;0;3828058.74;111917.18;0;909546.97;0;11401;18729.58;0;758525.13;0;0;0;0;0;1848830.42;156265.09;483159.54;1753528.04;1.17;1.03
431848;São José do Hortêncio - RS;4419;161572.74;0;0;2904754.28;0;47480;0;503732.51;145859.41;3436004.31;0;2835288.73;219817.23;0;407365.77;0;163874.19;22862.61;0;760866.03;0;0;0;0;43900;1207075.38;112652.56;270400.6;319339.85;178320.2;0;0;2919131.78;0;77830;0;599568.82;197456.24;3209446.49;0;3761301.64;170534.78;0;630843.22;0;195155.16;35090.1;0;494581.48;0;0;0;0;0;2704531.84;162292.92;174038.21;377074.04;1.29;1.03
317020;Uberlândia - MG;654681;36767579.59;2809288.74;0;182542256.87;0;17963906.22;0;40621760.59;78300860.26;493396604.86;18418.9;343186136.73;2769234.49;0;117935699.3;5727112.93;113362252.5;1515470.75;229200;10422312.09;0;0;875618.9;0;0;0;18507192.75;16783397.05;70124988.23;40148107.43;2917546.33;0;234226562.48;0;8861088.78;0;45647425.7;102763251.01;525044738.39;10780.1;397843845.75;2794564.97;0;185437871.45;10124026.53;173620379.84;2501663.2;316800;9931474.58;0;0;485274.69;0;0;0;20092930.56;16975468.79;93100949.06;1.19;1.12
431800;São Borja - RS;63089;5620816.26;0;0;20382606.06;0;440386.65;0;4671592.23;11288569.66;46370697.64;317621.7;35505279.16;224259.16;7007.99;11500734.87;40054.22;18214.68;31473.34;0;844945.42;0;0;422954.61;0;0;225436.73;246704.08;2684550.4;11873083.33;5739717.09;0;0;20420278.09;0;262660.11;0;4613805.94;13478245.52;44515723.7;24583.15;38367933.61;241624.57;3739.15;6602235.66;196963.87;54962.79;42008.6;0;588409.02;0;0;457222.78;0;0;3523876.49;804510.9;3766084.42;16125856.83;1.13;1.07
351170;Charqueada - SP;16268;1386845.28;381533.88;0;4610673.7;0;0;0;1518557.4;0;9400159.1;0;16033326.71;218458.07;0;3579749.41;0;0;0;0;0;0;0;267785.63;0;0;606518.96;389947.37;253241.29;0;1508969.33;232349;0;5175717.95;0;0;0;1226574.33;0;8978391.96;0;16550430.76;95415.46;0;4707801.53;0;0;0;0;0;0;52062.5;409878.67;0;0;735479.33;527115.46;99562.62;0;1.31;1.17
