LOF_2014_ABS;#Cidade;LOF_2014_REL;#Cidade;LOF_2014_REL_NOR;#Cidade;LOF_2014_SUA;#Cidade;LOF_2014_SUA_NOR;#Cidade
1,28;ALTO FELIZ - RS;1,31;ALTO FELIZ - RS;1,43;ALTO FELIZ - RS;1,15;ALTO FELIZ - RS;1,16;ALTO FELIZ - RS
1,84;CAXIAS DO SUL - RS;1,75;CAXIAS DO SUL - RS;1,81;CAXIAS DO SUL - RS;1,1;CAXIAS DO SUL - RS;1,09;CAXIAS DO SUL - RS
1,27;LAGES - SC;1,23;LAGES - SC;1,23;LAGES - SC;1,11;LAGES - SC;1,13;LAGES - SC
1,18;JI-PARANÁ - RO;1,1;JI-PARANÁ - RO;1,14;JI-PARANÁ - RO;1,06;JI-PARANÁ - RO;1,16;JI-PARANÁ - RO
1,16;PATROCÍNIO - MG;1,12;PATROCÍNIO - MG;1,3;PATROCÍNIO - MG;1,08;PATROCÍNIO - MG;1,2;PATROCÍNIO - MG
1,28;IBIRAIARAS - RS;1,26;IBIRAIARAS - RS;1,25;IBIRAIARAS - RS;1,03;IBIRAIARAS - RS;1,02;IBIRAIARAS - RS
1,04;SÃO JOSÉ DO HORTÊNCIO - RS;1,13;SÃO JOSÉ DO HORTÊNCIO - RS;1,22;SÃO JOSÉ DO HORTÊNCIO - RS;1,03;SÃO JOSÉ DO HORTÊNCIO - RS;1,04;SÃO JOSÉ DO HORTÊNCIO - RS
1,76;UBERLÂNDIA - MG;1,12;UBERLÂNDIA - MG;1,17;UBERLÂNDIA - MG;1,15;UBERLÂNDIA - MG;1,1;UBERLÂNDIA - MG
1,14;SÃO BORJA - RS;1,09;SÃO BORJA - RS;1,07;SÃO BORJA - RS;1,04;SÃO BORJA - RS;1,07;SÃO BORJA - RS
0,98;CHARQUEADA - SP;1,03;CHARQUEADA - SP;1,34;CHARQUEADA - SP;1,22;CHARQUEADA - SP;1,13;CHARQUEADA - SP
1,29;CRAVINHOS - SP;1,25;CRAVINHOS - SP;1,35;CRAVINHOS - SP;1,34;CRAVINHOS - SP;1,31;CRAVINHOS - SP
1,32;INDIAPORÃ - SP;1,27;INDIAPORÃ - SP;1,8;INDIAPORÃ - SP;1,15;INDIAPORÃ - SP;1,23;INDIAPORÃ - SP
1,27;CÂNDIDO GODÓI - RS;1,27;CÂNDIDO GODÓI - RS;1,15;CÂNDIDO GODÓI - RS;1;CÂNDIDO GODÓI - RS;1,03;CÂNDIDO GODÓI - RS
1,16;BOA ESPERANÇA DO IGUAÇU - PR;1,2;BOA ESPERANÇA DO IGUAÇU - PR;1,47;BOA ESPERANÇA DO IGUAÇU - PR;1,1;BOA ESPERANÇA DO IGUAÇU - PR;1,12;BOA ESPERANÇA DO IGUAÇU - PR
1,06;PÉROLA D'OESTE - PR;1,08;PÉROLA D'OESTE - PR;1,29;PÉROLA D'OESTE - PR;1,04;PÉROLA D'OESTE - PR;1,04;PÉROLA D'OESTE - PR
1,23;INDEPENDÊNCIA - RS;1,2;INDEPENDÊNCIA - RS;1,21;INDEPENDÊNCIA - RS;0,99;INDEPENDÊNCIA - RS;1,02;INDEPENDÊNCIA - RS
