Exp abs;Exp rel;Exp rela norm;Exp Sua;Exp sua nor
46,34 São Paulo - SP;10,03 Gavião - BA;61,16 Senador Elói de Souza - RN;1,87 Gavião - BA;8,51 Senador Elói de Souza - RN
23,56 Rio de Janeiro - RJ;6,88 Itapirapuã - GO;13,96 Timbaúba dos Batistas - RN;1,72 Dois Irmãos do Buriti - MS;4,04 Apicum-Açu - MA
9,12 Belo Horizonte - MG;6,55 Boituva - SP;12,75 Natividade - RJ;1,71 Cristalina - GO;3,96 São Bernardo do Campo - SP
8,4 Gavião - BA;5,85 Serra Nova Dourada - MT;11,79 Pequi - MG;1,67 Rio dos Índios - RS;3,87 Gavião - BA
6,3 Itauçu - GO;4,93 Ribeirão do Largo - BA;10,26 Arraial do Cabo - RJ;1,67 Argirita - MG;3,64 Farroupilha - RS
6,26 Curitiba - PR;4,66 Galinhos - RN;10,17 Damianópolis - GO;1,67 Senador Cortes - MG;3,63 Contagem - MG
6,07 Ribeirão do Largo - BA;3,97 Comendador Gomes - MG;8,73 Curaçá - BA;1,67 Comendador Gomes - MG;3,54 Cristalina - GO
6 Itapirapuã - GO;3,77 Itauçu - GO;8,41 Morrinhos do Sul - RS;1,67 São Bento do Norte - RN;3,54 Ribeirão do Largo - BA
5,23 Fortaleza - CE;3,74 Urutaí - GO;7,84 Gavião - BA;1,67 Galinhos - RN;3,49 Porto Alegre - RS
5,16 Boituva - SP;3,73 Senador Cortes - MG;7,1 Itapirapuã - GO;1,66 Planalto - RS;3,39 Santo André - SP
5,03 Salvador - BA;3,72 Patrocínio Paulista - SP;7,08 Cedro do Abaeté - MG;1,66 Mar de Espanha - MG;3,34 Mossâmedes - GO
4,88 Porto Alegre - RS;3,7 Presidente Kennedy - ES;6,32 Boituva - SP;1,66 São Francisco do Glória - MG;3,3 Estrela d'Oeste - SP
4,03 Manaus - AM;3,62 Embaúba - SP;6,26 Sorriso - MT;1,66 Dona Eusébia - MG;3,28 São Paulo - SP
3,94 Goiânia - GO;3,46 Mossâmedes - GO;5,53 Nova Candelária - RS;1,66 Presidente Castelo Branco - PR;3,21 Campinas - SP
3,92 Patrocínio Paulista - SP;3,41 Rio dos Índios - RS;5,31 Joaçaba - SC;1,66 Uiramutã - RR;3,06 Argirita - MG
3,82 Recife - PE;3,28 São Bento do Norte - RN;5,3 Ilha Comprida - SP;1,61 Ministro Andreazza - RO;3,06 Senador Cortes - MG
3,69 Cristalina - GO;3,13 Argirita - MG;4,84 Santa Helena - PR;1,61 Estrela d'Oeste - SP;3,06 Comendador Gomes - MG
3,56 Rio dos Índios - RS;2,95 Planalto - RS;4,79 Desterro do Melo - MG;1,58 Guariba - SP;3,06 São Bento do Norte - RN
3,55 Dona Eusébia - MG;2,95 São Francisco do Glória - MG;4,76 Grupiara - MG;1,58 Acrelândia - AC;3,06 Galinhos - RN
3,53 São Francisco do Glória - MG;2,9 Dom Joaquim - MG;4,59 Rifaina - SP;1,57 Salvador - BA;3,05 Rio dos Índios - RS
3,48 Presidente Castelo Branco - PR;2,88 Dona Eusébia - MG;4,55 Sul Brasil - SC;1,57 Nova Iguaçu - RJ;3,05 Planalto - RS
3,46 Rio Grande da Serra - SP;2,87 Presidente Castelo Branco - PR;4,53 Governador Celso Ramos - SC;1,56 Tenente Portela - RS;3,05 Mar de Espanha - MG
3,46 Campinas - SP;2,86 Mar de Espanha - MG;4,53 Serra Nova Dourada - MT;1,56 Ilha Comprida - SP;3,05 São Francisco do Glória - MG
3,46 Galinhos - RN;2,81 Porto Real - RJ;4,48 Alvinlândia - SP;1,56 Juruti - PA;3,05 Dona Eusébia - MG
3,41 Uiramutã - RR;2,71 Anicuns - GO;4,4 São Sebastião - SP;1,55 Goiana - PE;3,05 Presidente Castelo Branco - PR
3,4 Planalto - RS;2,68 Brejo de Areia - MA;4,4 Casimiro de Abreu - RJ;1,55 Apicum-Açu - MA;3,05 Uiramutã - RR
3,37 Argirita - MG;2,67 Ilha Comprida - SP;4,38 Urutaí - GO;1,55 São João de Meriti - RJ;2,91 Maiquinique - BA
3,37 São Bento do Norte - RN;2,63 Uiramutã - RR;4,23 Ribeirão do Largo - BA;1,54 Conceição da Barra - ES;2,9 Buriti do Tocantins - TO
3,36 Senador Cortes - MG;2,58 Colméia - TO;4,2 Carrasco Bonito - TO;1,54 Alvinlândia - SP;2,8 Dois Irmãos do Buriti - MS
3,35 Mar de Espanha - MG;2,57 Tibau - RN;4,07 Galinhos - RN;1,54 Peabiru - PR;2,77 Senador Canedo - GO
3,32 Comendador Gomes - MG;2,53 Santa Adélia - SP;3,95 Roteiro - AL;1,52 Ceres - GO;2,38 Acrelândia - AC
