0;REL;SUA
1;49,95 Senador Elói de Souza - RN;6,86 Senador Elói de Souza - RN
2;19,25 Timbaúba dos Batistas - RN;4,48 Capela - SE
3;9,64 Luziânia - GO;4,19 São Miguel da Baixa Grande - PI
4;9,49 Natividade - RJ;3,5 São Bernardo do Campo - SP
5;8,84 Itaparica - BA;3,39 São Paulo - SP
6;8,16 Damianópolis - GO;3,31 Santa Cruz dos Milagres - PI
7;8,11 Santa Cruz dos Milagres - PI;3,22 Santo André - SP
8;8,08 Oriente - SP;3,22 Leópolis - PR
9;8,08 Pequi - MG;3,09 Porto Alegre - RS
10;8,02 São Miguel da Baixa Grande - PI;3,09 Cristalina - GO
