##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"01.031 - Ação Legislativa";"01.032 - Controle Externo";"01.999 - Demais Subfunções Legislativa";"02 - Judiciária";"02.061 - Ação Judiciária";"02.062 - Defesa do Interesse Público no Processo Judiciário";"02.999 - Demais Subfunções Judiciária";"03 - Essencial à Justiça";"03.091 - Defesa da Ordem Jurídica";"03.092 - Representação Judicial e Extrajudicial";"03.999 - Demais Subfunções Essencial à Justiça";"04 - Administração";"04.121 - Planejamento e Orçamento";"04.122 - Administração Geral";"04.123 - Administração Financeira";"04.124 - Controle Interno";"04.125 - Normatização e Fiscalização";"04.126 - Tecnologia da Informação";"04.127 - Ordenamento Territorial";"04.128 - Formação de Recursos Humanos";"04.129 - Administração de Receitas";"04.130 - Administração de Concessões";"04.131 - Comunicação Social";"04.999 - Demais Subfunções Administração";"05 - Defesa Nacional";"05.151 - Defesa Área";"05.152 - Defesa Naval";"05.999 - Demais Subfunções Defesa Nacional";"06 - Segurança Pública";"06.181 - Policiamento";"06.182 - Defesa Civil";"06.183 - Informação e Inteligência";"06.999 - Demais Subfunções Segurança Pública";"07 - Relações Exteriores";"07.211 - Relações Diplomáticas";"07.212 - Cooperação Internacional";"07.999 - Demais Subfunções Relações Exteriores";"08 - Assistência Social";"08.241 - Assistência ao Idoso";"08.242 - Assistência ao Portador de Deficiência";"08.243 - Assistência à Criança e ao Adolescente";"08.244 - Assistência Comunitária";"08.999 - Demais Subfunções Assistência Social";"09 - Previdência Social";"09.271 - Previdência Básica";"09.272 - Previdência do Regime Estatutário";"09.273 - Previdência Complementar";"09.274 - Previdência Especial";"09.999 - Demais Subfunções Previdência Social";"10 - Saúde";"10.301 - Atenção Básica";"10.302 - Assistência Hospitalar e Ambulatorial";"10.303 - Suporte Profilático e Terapêutico";"10.304 - Vigilância Sanitária";"10.305 - Vigilância Epidemiológica";"10.306 - Alimentação e Nutrição";"10.999 - Demais Subfunções Saúde";"11 - Trabalho";"11.331 - Proteção e Benefícios ao Trabalhador";"11.332 - Relações de Trabalho";"11.333 - Empregabilidade";"11.334 - Fomento ao Trabalho";"11.999 - Demais Subfunções Trabalho";"12 - Educação";"12.361 - Ensino Fundamental";"12.362 - Ensino Médio";"12.363 - Ensino Profissional";"12.364 - Ensino Superior";"12.365 - Educação Infantil";"12.366 - Educação de Jovens e Adultos";"12.367 - Educação Especial";"12.368 - Educação Básica";"12.999 - Demais Subfunções Educação";"13 - Cultura";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";"13.392 - Difusão Cultural";"13.999 - Demais Subfunções Cultura";"14 - Direitos da Cidadania";"14.421 - Custódia e Reintegração Social";"14.422 - Direitos Individuais, Coletivos e Difusos";"14.423 - Assistência aos Povos Indígenas";"14.999 - Demais Subfunções Direitos da Cidadania";"15 - Urbanismo";"15.451 - Infra-Estrutura Urbana";"15.452 - Serviços Urbanos";"15.453 - Transportes Coletivos Urbanos";"15.999 - Demais Subfunções Urbanismo";"16 - Habitação";"16.481 - Habitação Rural";"16.482 - Habitação Urbana";"16.999 - Demais Subfunções Habitação";"17 - Saneamento";"17.511 - Saneamento Básico Rural";"17.512 - Saneamento Básico Urbano";"17.999 - Demais Subfunções Saneamento";"18 - Gestão Ambiental";"18.541 - Preservação e Conservação Ambiental";"18.542 - Controle Ambiental";"18.543 - Recuperação de Áreas Degradadas";"18.544 - Recursos Hídricos";"18.545 - Meteorologia";"18.999 - Demais Subfunções Gestão Ambiental";"19 - Ciência e Tecnologia";"19.571 - Desenvolvimento Científico";"19.572 - Desenvolvimento Tecnológico e Engenharia";"19.573 - Difusão do Conhecimento Científico e Tecnológico";"19.999 - Demais Subfunções Ciência e Tecnologia";"20 - Agricultura";"20.601 - Promoção da Produção Vegetal";"20.602 - Promoção da Produção Animal";"20.603 - Defesa Sanitária Vegetal";"20.604 - Defesa Sanitária Animal";"20.605 - Abastecimento";"20.606 - Extensão Rural";"20.607 - Irrigação";"20.999 - Demais Subfunções Agricultura";"21 - Organização Agrária";"21.631 - Reforma Agrária";"21.632 - Colonização";"21.999 - Demais Subfunções Organização Agrária";"22 - Indústria";"22.661 - Promoção Industrial";"22.662 - Produção Industrial";"22.663 - Mineração";"22.664 - Propriedade Industrial";"22.665 - Normalização e Qualidade";"22.999 - Demais Subfunções Indústria";"23 - Comércio e Serviços";"23.691 - Promoção Comercial";"23.692 - Comercialização";"23.693 - Comércio Exterior";"23.694 - Serviços Financeiros";"23.695 - Turismo";"23.999 - Demais Subfunções Comércio e Serviços";"24 - Comunicações";"24.721 - Comunicações Postais";"24.722 - Telecomunicações";"24.999 - Demais Subfunções Comunicações";"25 - Energia";"25.751 - Conservação de Energia";"25.752 - Energia Elétrica";"25.753 - Petróleo";"25.999 - Demais Subfunções Energia";"26 - Transporte";"26.781 - Transporte Áreo";"26.782 - Transporte Rodoviário";"26.783 - Transporte Ferroviário";"26.784 - Transporte Hidroviário";"26.785 - Transportes Especiais";"26.999 - Demais Subfunções Transporte";"27 - Desporto e Lazer";"27.811 - Desporto de Rendimento";"27.812 - Desporto Comunitário";"27.813 - Lazer";"27.999 - Demais Subfunções Desporto e Lazer";"28 - Encargos Especiais";"28.841 - Refinanciamento da Dívida Interna";"28.842 - Refinanciamento da Dívida Externa";"28.843 - Serviço da Dívida Interna";"28.844 - Serviço da Dívida Externa";"28.845 - Transferências";"28.846 - Outros Encargos Especiais";"28.847 - Transferências para a Educação Básica";"28.999 - Demais Subfunções Encargos Especiais";"Despesas (Exceto Intra-Orçamentárias)";"Despesas (Intra-Orçamentárias)"
Prefeitura Municipal de Cássia - MG;3115102;MG;17967;681634.99;681634.99;0;0;0;0;0;0;0;0;0;0;3590982.51;190422.18;2088920.31;606251.96;0;0;140746.59;0;0;0;0;0;564641.47;0;0;0;0;20481.11;19831.12;0;0;649.99;0;0;0;0;909273.13;48126.89;0;113393.64;407282.96;340469.64;0;0;0;0;0;0;9657535.02;1796193.81;7686801.57;0;0;75253.63;0;99286.01;0;0;0;0;0;0;7408673.61;5199683.19;0;10530.56;199157.61;1339210.46;71582.12;0;0;588509.67;600866.81;0;432166.81;168700.00;69682.51;0;0;0;69682.51;2717065.21;0;2717065.21;0;0;590.00;0;590.00;0;57838.50;0;57838.50;0;0;0;0;0;0;0;0;0;0;0;0;0;813556.40;0;0;0;0;0;813556.40;0;0;0;0;0;0;0;0;0;0;0;0;0;107730.59;99033.17;0;0;0;8697.42;0;247045.63;0;0;247045.63;583811.82;0;583811.82;0;0;997580.38;0;997580.38;0;0;0;0;314939.72;0;305646.51;9293.21;0;806718.41;0;0;518496.06;0;0;0;0;288222.35;29586006.35;0
Prefeitura Municipal de Resplendor - MG;3154309;MG;17631;718188.88;718188.88;0;0;0;0;0;0;0;0;0;0;4812897.50;0;4015606.55;797290.95;0;0;0;0;0;0;0;0;0;0;0;0;0;76061.26;76061.26;0;0;0;0;0;0;0;756594.07;48000.00;0;0;708594.07;0;2069242.95;1468920.22;600322.73;0;0;0;7593228.16;7501063.44;0;0;35850.82;56313.90;0;0;0;0;0;0;0;0;8778504.35;8449561.56;0;0;3892.60;325050.19;0;0;0;0;216000.19;0;216000.19;0;47654.79;0;0;47654.79;0;3136914.88;1239651.18;1897263.70;0;0;0;0;0;0;0;0;0;0;78170.75;0;78170.75;0;0;0;0;0;0;0;0;0;106934.48;0;0;0;0;0;106934.48;0;0;0;0;0;0;0;0;0;0;0;0;0;3300.00;0;0;0;0;3300.00;0;11955.15;11955.15;0;0;0;0;0;0;0;3480811.38;0;3480811.38;0;0;0;0;371520.94;0;371520.94;0;0;0;0;0;0;0;0;0;0;0;32257979.73;0
Prefeitura Municipal de Olho d'Água das Cunhãs - MA;2107407;MA;18934;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1.00;0
Prefeitura Municipal de Esmeralda - RS;4307401;RS;3287;516857.40;516857.40;0;0;260560.71;4183.55;256377.16;0;0;0;0;0;1730724.52;0;1271518.31;412474.94;14812.20;0;0;0;8821.88;0;0;23097.19;0;0;0;0;0;0;0;0;0;0;0;0;0;0;709000.71;680.42;9000.00;153477.96;354366.73;191475.60;0;0;0;0;0;0;2807142.60;2751022.51;0;0;0;56120.09;0;0;0;0;0;0;0;0;2764442.06;2280071.95;0;0;26514.40;387557.06;0;0;0;70298.65;178272.78;22739.80;155532.98;0;0;0;0;0;0;1184040.99;692631.22;490039.77;0;1370.00;0;0;0;0;221013.97;34601.90;186412.07;0;61503.79;61503.79;0;0;0;0;0;4913.98;0;0;0;4913.98;550832.58;525362.21;3304.80;0;22165.57;0;0;0;0;0;0;0;0;26453.33;26453.33;0;0;0;0;0;23624.38;0;0;0;0;6799.36;16825.02;42791.03;12525.15;30265.88;0;70886.79;0;70886.79;0;0;1272655.07;0;1272655.07;0;0;0;0;182282.53;0;179607.13;2675.40;0;248138.46;0;0;0;0;248138.46;0;0;0;12856137.68;0
Prefeitura Municipal de Caracaraí - RR;1400209;RR;19696;823241.28;0;0;823241.28;0;0;0;0;0;0;0;0;5844911.06;0;0;0;0;0;0;0;0;0;0;0;5844911.06;0;0;0;0;0;0;0;0;0;0;0;0;0;1833597.25;0;0;0;0;1833597.25;0;0;0;0;0;0;8168607.10;0;0;0;0;0;0;8168607.10;0;0;0;0;0;0;14017251.09;0;0;0;0;0;0;0;0;14017251.09;282504.00;0;0;282504.00;0;0;0;0;0;4202390.01;0;0;0;4202390.01;0;0;0;0;0;0;0;0;257176.14;0;0;257176.14;0;0;0;0;0;0;0;0;1317965.33;0;0;0;0;0;0;0;1317965.33;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7852.00;0;0;0;0;0;7852.00;27434.00;0;0;0;27434.00;0;0;0;0;0;0;0;0;0;36782929.26;0
Prefeitura Municipal de Iguatu - CE;2305506;CE;100053;3814435.36;3814435.36;0;0;0;0;0;0;0;0;0;0;13617523.18;626338.12;9970563.06;0;0;0;0;0;0;0;0;246858.25;2773763.75;0;0;0;0;0;0;0;0;0;0;0;0;0;5425450.13;3819.33;0;1065875.89;1772955.86;2582799.05;0;0;0;0;0;0;44572869.23;12294544.04;24266085.78;374604.97;245863.09;684806.20;0;6706965.15;315350.18;0;0;0;0;315350.18;47024212.84;33002284.60;648178.07;0;0;5190840.27;2684.50;18660.00;2242252.48;5919312.92;3059616.87;0;1177235.53;1882381.34;0;0;0;0;0;23324037.09;17275982.45;3830200.35;0;2217854.29;404030.93;0;139420.73;264610.20;9002965.54;0;8976437.02;26528.52;5823337.87;3928822.44;0;0;0;0;1894515.43;160552.74;0;0;0;160552.74;1002933.92;0;0;0;0;0;216511.70;0;786422.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;503125.13;0;96412.06;0;406713.07;1658036.86;0;0;950881.97;0;0;707154.89;0;0;159708477.87;0
Prefeitura Municipal de Simões Filho - BA;2930709;BA;129964;10625162.12;10625162.12;0;0;0;0;0;0;0;0;0;0;129226224.28;568519.67;126654126.67;0;0;472813.18;376655.95;0;8000.00;761445.68;0;384663.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1304009.27;0;0;807775.92;496233.35;0;0;0;0;0;0;0;23021846.77;13647160.01;6844900.54;570179.87;1959606.35;0;0;0;0;0;0;0;0;0;31041189.27;31041189.27;0;0;0;0;0;0;0;0;3199107.24;0;3199107.24;0;0;0;0;0;0;36647391.77;7650745.23;27939693.92;1056952.62;0;165837.59;0;165837.59;0;2156803.76;0;2156803.76;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1125171.22;0;1125171.22;0;0;7231444.57;0;0;0;0;0;7231444.57;0;0;245744187.86;0
Prefeitura Municipal de Acari - RN;2400109;RN;11355;769235.05;769235.05;0;0;0;0;0;0;0;0;0;0;2781206.80;0;2781206.80;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;774355.92;36912.79;0;167350.97;319671.88;250420.28;0;0;0;0;0;0;4247880.04;3124677.12;825780.85;86965.71;2974.90;207481.46;0;0;0;0;0;0;0;0;6455728.33;5262884.42;0;0;0;1056051.09;12126.92;0;0;124665.90;252482.20;0;252482.20;0;0;0;0;0;0;1815776.76;122011.87;1693004.89;0;760.00;0;0;0;0;7800.00;0;7800.00;0;0;0;0;0;0;0;0;0;0;0;0;0;6851.50;0;0;0;0;0;2280.00;0;4571.50;0;0;0;0;0;0;0;0;0;0;0;6001.04;0;0;0;0;0;6001.04;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;40916.78;0;34356.06;0;6560.72;0;0;0;0;0;0;0;0;0;17158234.42;0
Prefeitura Municipal de Nova Crixás - GO;5214838;GO;12488;1479699.24;1479699.24;0;0;9500.00;9500.00;0;0;0;0;0;0;5323665.29;0;4443751.27;429980.03;0;0;0;0;0;0;0;0;449933.99;0;0;0;0;246186.92;246186.92;0;0;0;0;0;0;0;3049918.10;76139.69;0;3449.46;2970328.95;0;1223687.07;160278.20;1057408.87;0;0;6000.00;6553564.20;5816577.87;736986.33;0;0;0;0;0;0;0;0;0;0;0;10223220.24;10091041.91;0;0;0;3717.38;0;0;0;128460.95;9311.85;0;9311.85;0;0;0;0;0;0;3255151.88;291538.88;2963613.00;0;0;0;0;0;0;7402.00;0;7402.00;0;0;0;0;0;0;0;0;0;0;0;0;0;173677.54;0;0;0;0;0;173677.54;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11130.59;0;5723.60;5406.99;435329.21;0;435329.21;0;0;1824526.98;0;1824526.98;0;0;0;0;369141.87;0;0;270717.77;98424.10;0;0;0;0;0;0;0;0;0;34195112.98;0
Prefeitura Municipal de Iturama - MG;3134400;MG;36837;5051414.93;2571939.32;0;2479475.61;810268.18;268339.78;541928.40;0;0;0;0;0;10100949.60;162745.01;6485508.76;1990218.65;152458.92;0;0;0;0;1310018.26;0;0;0;0;0;0;0;479148.00;479148.00;0;0;0;0;0;0;0;3707441.58;0;0;188041.61;3108449.48;410950.49;1595634.87;0;1595634.87;0;0;0;24083864.86;6251782.03;14304606.43;1082091.06;240245.99;865113.22;0;1340026.13;1763840.84;0;1587364.44;176476.40;0;0;24915147.79;9732463.43;0;868880.28;1989382.35;5641387.94;1137967.65;352028.56;0;5193037.58;2202990.14;97422.24;2105567.90;0;0;0;0;0;0;10885787.33;1399172.64;9486614.69;0;0;0;0;0;0;0;0;0;0;298078.87;288305.10;9773.77;0;0;0;0;0;0;0;0;0;770300.23;152943.83;0;0;234410.74;0;67632.66;0;315313.00;35585.01;35585.01;0;0;179662.62;0;0;0;0;0;179662.62;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1919985.75;0;1919985.75;0;0;0;0;656818.23;0;229335.01;0;427483.22;2302359.06;0;0;1352081.03;0;0;950278.03;0;0;91759277.89;0
