##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"01.031 - Ação Legislativa";"01.032 - Controle Externo";"01.999 - Demais Subfunções Legislativa";"02 - Judiciária";"02.061 - Ação Judiciária";"02.062 - Defesa do Interesse Público no Processo Judiciário";"02.999 - Demais Subfunções Judiciária";"03 - Essencial à Justiça";"03.091 - Defesa da Ordem Jurídica";"03.092 - Representação Judicial e Extrajudicial";"03.999 - Demais Subfunções Essencial à Justiça";"04 - Administração";"04.121 - Planejamento e Orçamento";"04.122 - Administração Geral";"04.123 - Administração Financeira";"04.124 - Controle Interno";"04.125 - Normatização e Fiscalização";"04.126 - Tecnologia da Informação";"04.127 - Ordenamento Territorial";"04.128 - Formação de Recursos Humanos";"04.129 - Administração de Receitas";"04.130 - Administração de Concessões";"04.131 - Comunicação Social";"04.999 - Demais Subfunções Administração";"05 - Defesa Nacional";"05.151 - Defesa Área";"05.152 - Defesa Naval";"05.999 - Demais Subfunções Defesa Nacional";"06 - Segurança Pública";"06.181 - Policiamento";"06.182 - Defesa Civil";"06.183 - Informação e Inteligência";"06.999 - Demais Subfunções Segurança Pública";"07 - Relações Exteriores";"07.212 - Cooperação Internacional";"07.999 - Demais Subfunções Relações Exteriores";"08 - Assistência Social";"08.241 - Assistência ao Idoso";"08.242 - Assistência ao Portador de Deficiência";"08.243 - Assistência à Criança e ao Adolescente";"08.244 - Assistência Comunitária";"08.999 - Demais Subfunções Assistência Social";"09 - Previdência Social";"09.271 - Previdência Básica";"09.272 - Previdência do Regime Estatutário";"09.273 - Previdência Complementar";"09.274 - Previdência Especial";"09.999 - Demais Subfunções Previdência Social";"10 - Saúde";"10.301 - Atenção Básica";"10.302 - Assistência Hospitalar e Ambulatorial";"10.303 - Suporte Profilático e Terapêutico";"10.304 - Vigilância Sanitária";"10.305 - Vigilância Epidemiológica";"10.306 - Alimentação e Nutrição";"10.999 - Demais Subfunções Saúde";"11 - Trabalho";"11.331 - Proteção e Benefícios ao Trabalhador";"11.332 - Relações de Trabalho";"11.333 - Empregabilidade";"11.334 - Fomento ao Trabalho";"11.999 - Demais Subfunções Trabalho";"12 - Educação";"12.361 - Ensino Fundamental";"12.362 - Ensino Médio";"12.363 - Ensino Profissional";"12.364 - Ensino Superior";"12.365 - Educação Infantil";"12.366 - Educação de Jovens e Adultos";"12.367 - Educação Especial";"12.368 - Educação Básica";"12.999 - Demais Subfunções Educação";"13 - Cultura";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";"13.392 - Difusão Cultural";"13.999 - Demais Subfunções Cultura";"14 - Direitos da Cidadania";"14.421 - Custódia e Reintegração Social";"14.422 - Direitos Individuais, Coletivos e Difusos";"14.423 - Assistência aos Povos Indígenas";"14.999 - Demais Subfunções Direitos da Cidadania";"15 - Urbanismo";"15.451 - Infraestrutura Urbana";"15.452 - Serviços Urbanos";"15.453 - Transportes Coletivos Urbanos";"15.999 - Demais Subfunções Urbanismo";"16 - Habitação";"16.481 - Habitação Rural";"16.482 - Habitação Urbana";"16.999 - Demais Subfunções Habitação";"17 - Saneamento";"17.511 - Saneamento Básico Rural";"17.512 - Saneamento Básico Urbano";"17.999 - Demais Subfunções Saneamento";"18 - Gestão Ambiental";"18.541 - Preservação e Conservação Ambiental";"18.542 - Controle Ambiental";"18.543 - Recuperação de Áreas Degradadas";"18.544 - Recursos Hídricos";"18.545 - Meteorologia";"18.999 - Demais Subfunções Gestão Ambiental";"19 - Ciência e Tecnologia";"19.571 - Desenvolvimento Científico";"19.572 - Desenvolvimento Tecnológico e Engenharia";"19.573 - Difusão do Conhecimento Científico e Tecnológico";"19.999 - Demais Subfunções Ciência e Tecnologia";"20 - Agricultura";"20.605 - Abastecimento";"20.606 - Extensão Rural";"20.607 - Irrigação";"20.608 - Promoção da Produção Agropecuária";"20.609 - Defesa Agropecuária";"20.999 - Demais Subfunções Agricultura";"21 - Organização Agrária";"21.631 - Reforma Agrária";"21.632 - Colonização";"21.999 - Demais Subfunções Organização Agrária";"22 - Indústria";"22.661 - Promoção Industrial";"22.662 - Produção Industrial";"22.663 - Mineração";"22.664 - Propriedade Industrial";"22.665 - Normalização e Qualidade";"22.999 - Demais Subfunções Indústria";"23 - Comércio e Serviços";"23.691 - Promoção Comercial";"23.692 - Comercialização";"23.693 - Comércio Exterior";"23.694 - Serviços Financeiros";"23.695 - Turismo";"23.999 - Demais Subfunções Comércio e Serviços";"24 - Comunicações";"24.721 - Comunicações Postais";"24.722 - Telecomunicações";"24.999 - Demais Subfunções Comunicações";"25 - Energia";"25.751 - Conservação de Energia";"25.752 - Energia Elétrica";"25.753 - Combustíveis Minerais";"25.999 - Demais Subfunções Energia";"26 - Transporte";"26.781 - Transporte Aéreo";"26.782 - Transporte Rodoviário";"26.783 - Transporte Ferroviário";"26.784 - Transporte Hidroviário";"26.785 - Transportes Especiais";"26.999 - Demais Subfunções Transporte";"27 - Desporto e Lazer";"27.811 - Desporto de Rendimento";"27.812 - Desporto Comunitário";"27.813 - Lazer";"27.999 - Demais Subfunções Desporto e Lazer";"28 - Encargos Especiais";"28.841 - Refinanciamento da Dívida Interna";"28.842 - Refinanciamento da Dívida Externa";"28.843 - Serviço da Dívida Interna";"28.844 - Serviço da Dívida Externa";"28.845 - Outras Transferências";"28.846 - Outros Encargos Especiais";"28.847 - Transferências para a Educação Básica";"28.999 - Demais Subfunções Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)"
Prefeitura Municipal de Ibiporã - PR;4109807;PR;51802;0;0;0;0;0;0;0;0;0;0;0;0;8467299.82;391511.26;4637980.38;839539.81;163910.17;0;530361.20;0;617094.64;667446.76;0;573533.56;45922.04;0;0;0;0;143965.80;0;143965.80;0;0;0;0;0;3837321.78;0;0;459628.67;2597576.34;780116.77;9697532.25;0;9697532.25;0;0;0;27045072.22;23157242.34;3621354.84;0;0;0;0;266475.04;899361.78;0;0;0;0;899361.78;26663937.49;16368029.48;0;0;0;8153983.76;0;0;0;2141924.25;2162213.24;7887.50;2154325.74;0;0;0;0;0;0;9290860.49;2954922.14;4908618.25;0;1427320.10;0;0;0;0;11839039.52;0;9730897.57;2108141.95;79466.24;0;79466.24;0;0;0;0;0;0;0;0;0;874702.07;0;0;0;0;0;874702.07;0;0;0;0;238018.59;238018.59;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2020020.07;0;1922455.02;0;97565.05;2973362.27;0;0;0;0;0;2973362.27;0;0;106232173.63;12164129.15
Prefeitura Municipal de Cássia - MG;3115102;MG;17991;891617.48;891617.48;0;0;0;0;0;0;0;0;0;0;3958943.86;298886.93;2368832.29;572349.63;0;0;168289.34;0;0;0;0;0;550585.67;0;0;0;0;19788.84;19254.04;0;0;534.80;0;0;0;1136910.20;27898.10;0;158250.60;557647.30;393114.20;0;0;0;0;0;0;11791574.04;3184753.71;8338038.68;0;0;178030.43;0;90751.22;0;0;0;0;0;0;8368913.90;5789195.95;0;0;276601.78;1623420.96;84788.71;0;0;594906.50;614633.12;7860.83;434072.29;172700.00;78312.31;0;0;0;78312.31;2676710.10;0;2676710.10;0;0;0;0;0;0;150736.64;0;150736.64;0;22101.82;0;0;22101.82;0;0;0;0;0;0;0;0;855429.48;0;855429.48;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;99270.13;88427.21;0;0;0;10842.92;0;193461.11;0;0;193461.11;658080.24;0;658080.24;0;0;1340425.72;0;1340425.72;0;0;0;0;307795.00;0;297612.97;10182.03;0;627947.19;0;0;316835.09;0;0;0;0;311112.10;33792651.18;0
Prefeitura Municipal de Resplendor - MG;3154309;MG;17653;834682.62;834682.62;0;0;63782.78;63782.78;0;0;0;0;0;0;5283930.68;0;4368161.66;915769.02;0;0;0;0;0;0;0;0;0;0;0;0;0;110125.58;107341.86;2783.72;0;0;0;0;0;1074468.29;48000.00;0;0;1026468.29;0;1976886.41;1224748.40;752138.01;0;0;0;10508548.48;10072785.11;0;0;34334.19;98690.22;0;302738.96;0;0;0;0;0;0;10617475.77;9924051.78;0;0;0;31592.36;0;0;0;661831.63;108025.73;0;108025.73;0;43177.02;0;0;43177.02;0;3068230.09;1413573.58;1621993.32;0;32663.19;0;0;0;0;0;0;0;0;317369.42;0;317369.42;0;0;0;0;0;0;0;0;0;152881.81;0;84331.81;0;68550.00;0;0;0;0;0;0;0;0;0;0;0;0;0;3600.00;0;0;0;0;3600.00;0;1444.30;1444.30;0;0;0;0;0;0;0;2472436.02;0;2472436.02;0;0;0;0;468680.60;0;468680.60;0;0;0;0;0;0;0;0;0;0;0;37105745.60;0
Prefeitura Municipal de Olho d'Água das Cunhãs - MA;2107407;MA;19009;0;0;0;0;0;0;0;0;0;0;0;0;3248384.57;0;2961757.37;0;187000.00;0;0;0;0;0;0;0;99627.20;0;0;0;0;0;0;0;0;0;0;0;0;1437542.71;0;0;60752.55;244894.80;1131895.36;0;0;0;0;0;0;8991952.99;5264550.29;0;0;146050.50;355861.72;0;3225490.48;0;0;0;0;0;0;21466462.55;16094406.69;0;0;0;3165367.56;420473.93;0;0;1786214.37;525406.80;0;525406.80;0;0;0;0;0;0;2545334.37;0;2545334.37;0;0;0;0;0;0;513563.63;513563.63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;77804.03;0;0;0;0;0;77804.03;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;239088.70;0;239088.70;0;0;896858.73;0;896858.73;0;0;0;0;406.80;0;406.80;0;0;372248.56;0;0;372248.56;0;0;0;0;0;40315054.44;0
Prefeitura Municipal de Esmeralda - RS;4307401;RS;3294;549591.38;549591.38;0;0;167089.18;5606.70;161482.48;0;0;0;0;0;1953899.74;0;1385744.85;496768.30;15768.28;0;0;0;13132.96;0;0;42485.35;0;0;0;0;0;0;0;0;0;0;0;0;0;832928.28;14258.00;0;243995.00;390881.29;183793.99;0;0;0;0;0;0;3489694.06;3363808.16;59803.00;0;0;66082.90;0;0;0;0;0;0;0;0;4034961.09;3062367.46;0;0;27279.30;587209.54;0;0;0;358104.79;366623.15;40381.31;326241.84;0;0;0;0;0;0;1167538.02;612829.21;554708.81;0;0;0;0;0;0;323136.60;173160.30;149976.30;0;66800.48;66800.48;0;0;0;0;0;8864.26;0;0;0;8864.26;576881.24;0;0;0;0;0;576881.24;0;0;0;0;26891.41;0;26891.41;0;0;0;0;81825.83;0;0;0;0;4270.86;77554.97;40558.97;7030.80;33528.17;0;104542.09;0;104542.09;0;0;1495863.14;0;1495863.14;0;0;0;0;178621.78;0;165644.78;12977.00;0;511863.91;0;0;0;0;511863.91;0;0;0;15978174.61;0
Prefeitura Municipal de Caracaraí - RR;1400209;RR;19981;847167.99;0;0;847167.99;0;0;0;0;0;0;0;0;5407184.48;0;0;0;0;0;0;0;0;0;0;0;5407184.48;0;0;0;0;0;0;0;0;0;0;0;0;1942947.65;0;0;0;0;1942947.65;0;0;0;0;0;0;9164615.98;0;0;0;0;0;0;9164615.98;0;0;0;0;0;0;17152782.20;0;0;0;0;0;0;0;0;17152782.20;272113.40;0;0;272113.40;0;0;0;0;0;4930130.05;0;0;0;4930130.05;0;0;0;0;0;0;0;0;342916.66;0;0;0;0;0;342916.66;0;0;0;0;0;637602.71;0;0;0;0;0;637602.71;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1326022.87;0;0;0;1326022.87;658741.72;0;0;0;0;0;658741.72;14100.00;0;0;0;14100.00;0;0;0;0;0;0;0;0;0;42696325.71;0
Prefeitura Municipal de Iguatu - CE;2305506;CE;100733;4199914.42;4199914.42;0;0;0;0;0;0;0;0;0;0;12996517.16;510547.87;9225432.68;0;0;0;0;0;0;0;0;256609.07;3003927.54;0;0;0;0;0;0;0;0;0;0;0;0;7009053.62;0;0;528698.20;3677287.82;2803067.60;0;0;0;0;0;0;56508334.06;14002710.08;33396625.13;435831.43;240438.39;907690.47;0;7525038.56;333245.57;0;0;0;1500.00;331745.57;49482852.42;36342337.77;942847.91;0;0;3851156.93;58363.32;17616.00;1940054.44;6330476.05;4292999.44;0;2638784.58;1654214.86;0;0;0;0;0;13057999.48;6672511.11;3958045.04;0;2427443.33;1448745.80;0;1161323.25;287422.55;11564503.30;0;11537974.78;26528.52;5981919.35;4274668.23;0;0;0;0;1707251.12;172800.27;0;0;0;172800.27;996621.15;0;11550.00;0;182299.50;0;802771.65;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;730175.17;0;241539.94;0;488635.23;2534282.29;0;0;1691310.41;0;0;842971.88;0;0;171309963.50;697.74
Prefeitura Municipal de Simões Filho - BA;2930709;BA;131630;11769684.00;11769684.00;0;0;0;0;0;0;0;0;0;0;77056201.13;1504635.51;73084496.69;0;0;840427.18;361634.37;0;0;750517.52;0;514489.86;0;0;0;0;0;0;0;0;0;0;0;0;0;1358977.34;0;0;685311.37;673665.97;0;0;0;0;0;0;0;46674954.41;17057531.01;27027106.92;195078.45;2395238.03;0;0;0;0;0;0;0;0;0;90814221.09;37868036.08;0;0;0;0;0;0;52946185.01;0;5916571.92;0;5916571.92;0;0;0;0;0;0;38379541.41;9223073.27;27433669.17;1722798.97;0;0;0;0;0;1859878.09;0;1859878.09;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1745239.87;0;1745239.87;0;0;7337880.07;0;0;0;0;0;7337880.07;0;0;282913149.33;0
Prefeitura Municipal de Acari - RN;2400109;RN;11349;827767.67;827767.67;0;0;0;0;0;0;0;0;0;0;3411042.39;0;3411042.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;936927.82;7300.00;0;212003.92;482332.13;235291.77;0;0;0;0;0;0;4614945.82;3485743.13;644613.81;106626.20;5477.00;372485.68;0;0;0;0;0;0;0;0;6254890.18;4991009.25;0;0;0;1082978.63;0;0;0;180902.30;289900.99;0;289900.99;0;0;0;0;0;0;2688441.36;229536.18;2454005.18;0;4900.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;33116.25;0;33116.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7529.78;0;0;0;0;0;7529.78;0;0;0;0;0;0;0;0;0;2980.00;0;2980.00;0;0;0;0;78919.67;0;78919.67;0;0;0;0;0;0;0;0;0;0;0;19146461.93;0
Prefeitura Municipal de Nova Crixás - GO;5214838;GO;12571;1601681.19;1601681.19;0;0;7937.04;7937.04;0;0;0;0;0;0;7075088.58;0;5002713.51;562598.52;0;0;0;0;0;0;0;0;1509776.55;0;0;0;0;91866.92;91866.92;0;0;0;0;0;0;3753339.46;73301.95;0;42249.64;3635600.11;2187.76;1409071.03;0;1234287.02;0;0;174784.01;9543303.61;8761280.90;782022.71;0;0;0;0;0;0;0;0;0;0;0;10212014.33;10162731.07;0;0;11577.88;1287.40;0;0;0;36417.98;2050.00;0;2050.00;0;0;0;0;0;0;4098908.52;244280.94;3744641.31;0;109986.27;0;0;0;0;30994.46;30994.46;0;0;89525.72;0;89525.72;0;0;0;0;0;0;0;0;0;287280.69;0;287280.69;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;56486.41;0;11323.04;45163.37;0;0;0;0;0;2372535.27;29277.61;2328762.66;0;14495.00;0;0;1439384.11;0;0;1243636.73;195747.38;0;0;0;0;0;0;0;0;0;42071467.34;0
