##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"01.031 - Ação Legislativa";"01.032 - Controle Externo";"01.999 - Demais Subfunções Legislativa";"02 - Judiciária";"02.061 - Ação Judiciária";"02.062 - Defesa do Interesse Público no Processo Judiciário";"02.999 - Demais Subfunções Judiciária";"03 - Essencial à Justiça";"03.091 - Defesa da Ordem Jurídica";"03.092 - Representação Judicial e Extrajudicial";"03.999 - Demais Subfunções Essencial à Justiça";"04 - Administração";"04.121 - Planejamento e Orçamento";"04.122 - Administração Geral";"04.123 - Administração Financeira";"04.124 - Controle Interno";"04.125 - Normatização e Fiscalização";"04.126 - Tecnologia da Informação";"04.127 - Ordenamento Territorial";"04.128 - Formação de Recursos Humanos";"04.129 - Administração de Receitas";"04.130 - Administração de Concessões";"04.131 - Comunicação Social";"04.999 - Demais Subfunções Administração";"05 - Defesa Nacional";"05.151 - Defesa Área";"05.152 - Defesa Naval";"05.999 - Demais Subfunções Defesa Nacional";"06 - Segurança Pública";"06.181 - Policiamento";"06.182 - Defesa Civil";"06.183 - Informação e Inteligência";"06.999 - Demais Subfunções Segurança Pública";"07 - Relações Exteriores";"07.211 - Relações Diplomáticas";"07.212 - Cooperação Internacional";"07.999 - Demais Subfunções Relações Exteriores";"08 - Assistência Social";"08.241 - Assistência ao Idoso";"08.242 - Assistência ao Portador de Deficiência";"08.243 - Assistência à Criança e ao Adolescente";"08.244 - Assistência Comunitária";"08.999 - Demais Subfunções Assistência Social";"09 - Previdência Social";"09.271 - Previdência Básica";"09.272 - Previdência do Regime Estatutário";"09.273 - Previdência Complementar";"09.274 - Previdência Especial";"09.999 - Demais Subfunções Previdência Social";"10 - Saúde";"10.301 - Atenção Básica";"10.302 - Assistência Hospitalar e Ambulatorial";"10.303 - Suporte Profilático e Terapêutico";"10.304 - Vigilância Sanitária";"10.305 - Vigilância Epidemiológica";"10.306 - Alimentação e Nutrição";"10.999 - Demais Subfunções Saúde";"11 - Trabalho";"11.331 - Proteção e Benefícios ao Trabalhador";"11.332 - Relações de Trabalho";"11.333 - Empregabilidade";"11.334 - Fomento ao Trabalho";"11.999 - Demais Subfunções Trabalho";"12 - Educação";"12.361 - Ensino Fundamental";"12.362 - Ensino Médio";"12.363 - Ensino Profissional";"12.364 - Ensino Superior";"12.365 - Educação Infantil";"12.366 - Educação de Jovens e Adultos";"12.367 - Educação Especial";"12.368 - Educação Básica";"12.999 - Demais Subfunções Educação";"13 - Cultura";"13.391 - Patrimônio Histórico, Artístico e Arqueológico";"13.392 - Difusão Cultural";"13.999 - Demais Subfunções Cultura";"14 - Direitos da Cidadania";"14.421 - Custódia e Reintegração Social";"14.422 - Direitos Individuais, Coletivos e Difusos";"14.423 - Assistência aos Povos Indígenas";"14.999 - Demais Subfunções Direitos da Cidadania";"15 - Urbanismo";"15.451 - Infraestrutura Urbana";"15.452 - Serviços Urbanos";"15.453 - Transportes Coletivos Urbanos";"15.999 - Demais Subfunções Urbanismo";"16 - Habitação";"16.481 - Habitação Rural";"16.482 - Habitação Urbana";"16.999 - Demais Subfunções Habitação";"17 - Saneamento";"17.511 - Saneamento Básico Rural";"17.512 - Saneamento Básico Urbano";"17.999 - Demais Subfunções Saneamento";"18 - Gestão Ambiental";"18.541 - Preservação e Conservação Ambiental";"18.542 - Controle Ambiental";"18.543 - Recuperação de Áreas Degradadas";"18.544 - Recursos Hídricos";"18.545 - Meteorologia";"18.999 - Demais Subfunções Gestão Ambiental";"19 - Ciência e Tecnologia";"19.571 - Desenvolvimento Científico";"19.572 - Desenvolvimento Tecnológico e Engenharia";"19.573 - Difusão do Conhecimento Científico e Tecnológico";"19.999 - Demais Subfunções Ciência e Tecnologia";"20 - Agricultura";"20.605 - Abastecimento";"20.606 - Extensão Rural";"20.607 - Irrigação";"20.608 - Promoção da Produção Agropecuária";"20.609 - Defesa Agropecuária";"20.999 - Demais Subfunções Agricultura";"21 - Organização Agrária";"21.631 - Reforma Agrária";"21.632 - Colonização";"21.999 - Demais Subfunções Organização Agrária";"22 - Indústria";"22.661 - Promoção Industrial";"22.662 - Produção Industrial";"22.663 - Mineração";"22.664 - Propriedade Industrial";"22.665 - Normalização e Qualidade";"22.999 - Demais Subfunções Indústria";"23 - Comércio e Serviços";"23.691 - Promoção Comercial";"23.692 - Comercialização";"23.693 - Comércio Exterior";"23.694 - Serviços Financeiros";"23.695 - Turismo";"23.999 - Demais Subfunções Comércio e Serviços";"24 - Comunicações";"24.721 - Comunicações Postais";"24.722 - Telecomunicações";"24.999 - Demais Subfunções Comunicações";"25 - Energia";"25.751 - Conservação de Energia";"25.752 - Energia Elétrica";"25.753 - Combustíveis Minerais";"25.754 - Biocombustíveis";"25.999 - Demais Subfunções Energia";"26 - Transporte";"26.781 - Transporte Aéreo";"26.782 - Transporte Rodoviário";"26.783 - Transporte Ferroviário";"26.784 - Transporte Hidroviário";"26.785 - Transportes Especiais";"26.999 - Demais Subfunções Transporte";"27 - Desporto e Lazer";"27.811 - Desporto de Rendimento";"27.812 - Desporto Comunitário";"27.813 - Lazer";"27.999 - Demais Subfunções Desporto e Lazer";"28 - Encargos Especiais";"28.841 - Refinanciamento da Dívida Interna";"28.842 - Refinanciamento da Dívida Externa";"28.843 - Serviço da Dívida Interna";"28.844 - Serviço da Dívida Externa";"28.845 - Outras Transferências";"28.846 - Outros Encargos Especiais";"28.847 - Transferências para a Educação Básica";"28.999 - Demais Subfunções Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)"
Prefeitura Municipal de Cássia - MG;3115102;MG;17991;858276.74;858276.74;0;0;0;0;0;0;0;0;0;0;4048875.77;288914.76;2268659.54;788497.98;0;0;176614.25;0;0;0;0;0;526189.24;0;0;0;0;44593.40;44377.90;0;0;215.50;0;0;0;0;1142966.86;1125.39;0;138404.13;490099.59;513337.75;0;0;0;0;0;0;12339092.74;1960002.08;10110422.45;0;0;165046.96;0;103621.25;0;0;0;0;0;0;8808234.08;6201618.80;0;0;324241.87;1661938.21;81602.21;0;0;538832.99;614482.12;75.32;414606.80;199800.00;66709.87;0;0;0;66709.87;2913357.24;0;2913357.24;0;0;0;0;0;0;540130.31;0;540130.31;0;0;0;0;0;0;0;0;0;0;0;0;0;779077.30;0;769077.30;0;0;0;10000.00;0;0;0;0;0;0;0;0;0;0;0;44266.32;29112.25;0;0;0;15154.07;0;212040.86;0;0;212040.86;1087742.28;0;1087742.28;0;0;0;2078788.52;0;2078788.52;0;0;0;0;204082.34;0;201851.07;2231.27;0;726436.90;0;0;433581.02;0;0;0;0;292855.88;36509153.65;0
Prefeitura Municipal de Ibiporã - PR;4109807;PR;51802;0;0;0;0;0;0;0;0;0;0;0;0;8618459.81;437249.63;5161803.48;887224.46;176257.54;0;0;0;736780.99;521159.42;0;597427.81;100556.48;0;0;0;0;92183.22;0;92183.22;0;0;0;0;0;0;4450603.29;0;0;510298.53;3057956.91;882347.85;11078109.80;0;11078109.80;0;0;0;31260516.60;25023169.36;5968263.12;0;0;0;0;269084.12;1253861.25;0;0;431354.61;0;822506.64;29888154.69;18943333.99;0;0;0;10702178.31;0;0;0;242642.39;2712298.04;0;2712298.04;0;221993.12;0;0;0;221993.12;16472866.80;7970164.03;6531709.69;0;1970993.08;0;0;0;0;13411464.87;0;11241256.32;2170208.55;110652.95;0;110652.95;0;0;0;0;951027.86;0;0;0;951027.86;686053.97;0;0;0;0;0;686053.97;0;0;0;0;2030303.92;2030303.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66925.00;0;66925.00;0;0;0;0;2097668.51;0;2039503.84;0;58164.67;2790788.12;0;0;0;0;0;2790788.12;0;0;128193931.82;12638007.06
Prefeitura Municipal de Olho d'Água das Cunhãs - MA;2107407;MA;19009;0;0;0;0;0;0;0;0;0;0;0;0;3787767.67;0;3478677.09;0;202500.00;0;0;0;0;0;0;0;106590.58;0;0;0;0;0;0;0;0;0;0;0;0;0;1557094.22;0;0;348476.60;268110.44;940507.18;0;0;0;0;0;0;7779064.76;4281050.05;0;0;99174.07;355504.47;0;3043336.17;0;0;0;0;0;0;26606058.65;20185326.76;0;0;0;3154633.53;449539.47;0;0;2816558.89;335813.60;0;335813.60;0;0;0;0;0;0;2538236.85;0;2538236.85;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;94919.25;0;0;0;0;0;94919.25;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2652.60;0;2652.60;0;0;695277.04;0;0;695277.04;0;0;0;0;0;43396884.64;0
Prefeitura Municipal de Esmeralda - RS;4307401;RS;3294;627623.88;627623.88;0;0;169515.49;2331.86;167183.63;0;0;0;0;0;2034822.98;0;1430568.93;540561.58;16974.92;0;0;0;6948.00;0;0;39769.55;0;0;0;0;0;0;0;0;0;0;0;0;0;0;977377.19;9240.06;0;162777.90;444314.48;361044.75;0;0;0;0;0;0;3587921.74;3353234.55;100311.25;0;2866.12;131509.82;0;0;0;0;0;0;0;0;3449639.60;2760367.83;0;0;29046.09;561464.10;0;0;0;98761.58;251690.86;25788.51;225902.35;0;0;0;0;0;0;1556105.45;902548.84;653556.61;0;0;0;0;0;0;244420.19;119420.19;125000.00;0;74261.69;74261.69;0;0;0;0;0;10970.49;0;0;0;10970.49;1122689.37;0;0;0;0;0;1122689.37;0;0;0;0;35415.56;0;35415.56;0;0;0;0;25675.03;0;0;0;0;1939.90;23735.13;45154.45;10008.41;35146.04;0;167774.29;0;167774.29;0;0;0;1643930.20;0;1643930.20;0;0;0;0;118471.09;0;113867.06;4604.03;0;361615.64;0;0;0;0;361615.64;0;0;0;16505075.19;0
Prefeitura Municipal de Iguatu - CE;2305506;CE;100733;4713802.17;4713802.17;0;0;0;0;0;0;0;0;0;0;12860076.22;335999.62;9054811.53;0;0;0;0;0;0;0;0;257074.26;3212190.81;0;0;0;0;0;0;0;0;0;0;0;0;0;7111637.89;0;0;624325.50;3555095.02;2932217.37;0;0;0;0;0;0;61808240.28;13108960.24;36854628.05;418019.27;49009.05;1557038.00;0;9820585.67;224662.05;0;0;0;0;224662.05;53318526.37;40062333.80;1088853.88;0;0;4239168.33;0;14520.00;88387.96;7825262.40;1947870.59;0;342248.49;1605622.10;0;0;0;0;0;16156289.28;9944926.02;4067127.18;0;2144236.08;449093.52;0;294417.21;154676.31;12657051.20;0;12630522.68;26528.52;5620560.28;1898386.84;0;0;0;0;3722173.44;92463.67;0;0;0;92463.67;1414995.42;0;15600.00;0;204271.50;0;1195123.92;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;658297.43;0;105626.75;0;552670.68;3685412.04;0;0;2159083.69;0;0;1526328.35;0;0;182718978.41;211.99
Prefeitura Municipal de Simões Filho - BA;2930709;BA;131630;13074906.28;13074906.28;0;0;0;0;0;0;0;0;0;0;71283198.87;948705.48;67933102.66;0;0;1169353.38;462152.12;0;0;437722.84;0;332162.39;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1713496.14;0;0;439379.05;1274117.09;0;0;0;0;0;0;0;59313151.42;15870020.40;39103241.96;2352251.45;1987637.61;0;0;0;0;0;0;0;0;0;96074848.20;43106344.51;209778.67;0;0;0;0;0;52758725.02;0;815692.36;0;815692.36;0;0;0;0;0;0;41407893.36;9405299.87;30494095.43;1508498.06;0;6263466.58;0;6263466.58;0;2936529.72;0;2936529.72;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1516231.18;0;1516231.18;0;0;7655853.21;0;0;0;0;0;7655853.21;0;0;302055267.32;0
Prefeitura Municipal de Acari - RN;2400109;RN;11349;881614.96;881614.96;0;0;0;0;0;0;0;0;0;0;3815632.22;0;3815632.22;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1098994.65;25154.63;0;214512.87;859327.15;0;0;0;0;0;0;0;4907543.34;4047119.98;582492.51;58523.31;2345.37;217062.17;0;0;0;0;0;0;0;0;7248147.86;5752281.21;0;0;0;1415346.71;80519.94;0;0;0;345678.70;0;345678.70;0;0;0;0;0;0;3007305.89;373593.01;2628212.88;0;5500.00;0;0;0;0;18998.23;0;0;18998.23;0;0;0;0;0;0;0;0;0;0;0;0;55074.30;0;55074.30;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2500.00;0;0;0;0;0;2500.00;0;0;0;0;0;0;0;0;0;0;6400.00;0;6400.00;0;0;0;0;49060.25;0;49060.25;0;0;0;0;0;0;0;0;0;0;0;21436950.40;0
Prefeitura Municipal de Nova Crixás - GO;5214838;GO;12571;1656857.22;1656857.22;0;0;11334.86;11334.86;0;0;0;0;0;0;7362453.59;0;5977892.45;544865.42;0;0;0;0;0;0;0;0;839695.72;0;0;0;0;370076.16;370076.16;0;0;0;0;0;0;0;2451875.03;213010.27;0;338569.93;1745659.02;154635.81;1758376.41;131991.31;1416816.86;0;0;209568.24;8043604.50;6108741.26;1934863.24;0;0;0;0;0;0;0;0;0;0;0;11759473.85;11708125.05;0;0;15295.64;15732.42;0;0;0;20320.74;4000.00;0;4000.00;0;0;0;0;0;0;3304733.39;0;2367483.95;0;937249.44;0;0;0;0;1542545.70;0;1542545.70;0;90705.36;0;90705.36;0;0;0;0;0;0;0;0;0;339190.95;0;339190.95;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;11446.08;0;8146.08;3300.00;0;0;0;0;0;0;1588280.87;2370.00;1585910.87;0;0;0;0;398081.66;0;0;357850.77;40230.89;0;0;0;0;0;0;0;0;0;40693035.63;0
Prefeitura Municipal de Iturama - MG;3134400;MG;37277;4985315.79;4985315.79;0;0;836820.23;0;836820.23;0;0;0;0;0;20579354.23;136442.70;15956153.97;2660409.61;149137.37;0;0;0;0;1131271.50;0;0;545939.08;0;0;0;0;0;0;0;0;0;0;0;0;0;3351114.50;570465.09;57000.00;452571.09;2141549.94;129528.38;0;0;0;0;0;0;25588949.67;6229355.71;16476315.94;712343.28;203548.74;1286662.12;0;680723.88;1398557.25;0;0;0;1398557.25;0;26629868.90;10715998.49;0;602983.73;1406200.00;7634524.25;1053501.19;295840.84;3000581.31;1920239.09;1087375.99;46982.55;1040393.44;0;0;0;0;0;0;12372129.34;2344892.74;8981105.39;0;1046131.21;0;0;0;0;0;0;0;0;60000.00;60000.00;0;0;0;0;0;0;0;0;0;0;412400.40;412400.40;0;0;0;0;0;0;0;0;0;331805.01;331805.01;0;0;0;0;0;7107.88;0;0;0;0;7107.88;0;0;0;0;0;0;0;0;0;0;0;2901232.82;0;2901232.82;0;0;0;0;350341.03;0;350341.03;0;0;3283354.02;0;0;1257940.99;0;0;2025413.03;0;0;104175727.06;0
Prefeitura Municipal de Novo Cruzeiro - MG;3145307;MG;31760;1740453.12;1039696.43;0;700756.69;189211.86;0;186952.12;2259.74;288988.48;0;0;288988.48;2928388.49;0;1852671.57;742916.07;56544.90;0;0;0;0;0;0;0;276255.95;0;0;0;0;1328271.58;85536.80;0;0;1242734.78;0;0;0;0;1997911.94;0;0;220157.39;879874.62;897879.93;0;0;0;0;0;0;11872873.10;7592000.99;1730884.39;504288.29;162290.46;366687.59;0;1516721.38;0;0;0;0;0;0;17192084.63;13953740.33;0;0;139260.11;1832503.61;0;0;0;1266580.58;978584.84;0;978584.84;0;0;0;0;0;0;2419657.58;1558726.59;860930.99;0;0;63693.81;0;0;63693.81;392372.95;106147.63;286225.32;0;8932.48;8932.48;0;0;0;0;0;0;0;0;0;0;1497103.96;80128.18;795459.65;0;0;0;621516.13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;15760.00;0;15760.00;0;0;0;0;0;0;0;817964.58;0;817206.89;0;0;0;757.69;182446.07;0;182446.07;0;0;1972892.27;0;0;641325.79;0;0;0;0;1331566.48;45887591.74;0
