#CodIBGE;uf;nome caixa;populacao;legislativa;judiciária;essencial à justiça;administração;defesa nacional;segurança pública;relações exteriores;assistência social;previdência social;saúde;trabalho;educação;cultura;direitos da cidadania;urbanismo;habitação;saneamento;gestão ambiental;ciência e tecnologia;agricultura;organização agrária;indústria;comércio e serviços;comunicações;energia;transporte;desporto e lazer;encargos especiais
110100;RO;GOVERNADOR JORGE TEIXEIRA;18777;R$ 358067,72;R$ 0,00;R$ 0,00;R$ 2450532,49;R$ 0,00;R$ 0,00;R$ 0,00;R$ 276096,41;R$ 0,00;R$ 2161775,89;R$ 0,00;R$ 3820957,44;R$ 0,00;R$ 0,00;R$ 35294,83;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 99181,61;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 346173,40;R$ 0,00;R$ 14356,70;R$ 0,00
110110;RO;JAMARI;8695;R$ 275464,70;R$ 0,00;R$ 0,00;R$ 1713945,87;R$ 0,00;R$ 0,00;R$ 0,00;R$ 148832,47;R$ 0,00;R$ 1447871,46;R$ 0,00;R$ 2543523,37;R$ 16833,20;R$ 0,00;R$ 195177,02;R$ 0,00;R$ 25471,00;R$ 0,00;R$ 0,00;R$ 769,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 138431,38;R$ 0,00;R$ 102565,82
110090;RO;CASTANHEIRAS;4092;R$ 189804,24;R$ 0,00;R$ 0,00;R$ 1164937,12;R$ 0,00;R$ 0,00;R$ 0,00;R$ 167517,55;R$ 35516,61;R$ 1132438,64;R$ 0,00;R$ 1193470,44;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 273959,06;R$ 0,00;R$ 0,00;R$ 143515,95;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 420496,80;R$ 0,00;R$ 77184,17
110094;RO;CUJUBIM;9233;R$ 262557,52;R$ 0,00;R$ 0,00;R$ 999089,55;R$ 0,00;R$ 0,00;R$ 0,00;R$ 86474,23;R$ 0,00;R$ 1424446,73;R$ 0,00;R$ 2571717,29;R$ 0,00;R$ 0,00;R$ 146740,80;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 677782,39;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 910103,96;R$ 100537,76;R$ 0,00
110120;RO;MINISTRO ANDREAZZA;11223;R$ 310150,00;R$ 0,00;R$ 0,00;R$ 2499236,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 187891,00;R$ 0,00;R$ 1550704,00;R$ 0,00;R$ 3182314,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 53247,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 49153,00;R$ 0,00;R$ 0,00
110130;RO;MIRANTE DA SERRA;14150;R$ 300214,98;R$ 0,00;R$ 0,00;R$ 1244871,52;R$ 0,00;R$ 0,00;R$ 0,00;R$ 205848,68;R$ 0,00;R$ 1806143,24;R$ 0,00;R$ 3557284,53;R$ 20201,46;R$ 0,00;R$ 375802,79;R$ 0,00;R$ 0,00;R$ 7854,00;R$ 0,00;R$ 138364,35;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 291528,53;R$ 0,00;R$ 0,00
110140;RO;MONTE NEGRO;16874;R$ 277358,92;R$ 0,00;R$ 0,00;R$ 2090094,03;R$ 0,00;R$ 0,00;R$ 0,00;R$ 391656,23;R$ 188289,63;R$ 2125467,78;R$ 0,00;R$ 4115862,90;R$ 0,00;R$ 0,00;R$ 502195,60;R$ 21876,16;R$ 389457,17;R$ 0,00;R$ 0,00;R$ 258884,49;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1615652,05;R$ 0,00;R$ 29365,58;R$ 0,00
110145;RO;PARECIS;3205;R$ 231987,30;R$ 0,00;R$ 0,00;R$ 1433268,27;R$ 0,00;R$ 0,00;R$ 0,00;R$ 133781,14;R$ 0,00;R$ 845410,54;R$ 0,00;R$ 1321992,87;R$ 2824,80;R$ 0,00;R$ 192917,07;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 12055,96;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
110146;RO;PIMENTEIRAS DO OESTE;2633;R$ 236760,89;R$ 0,00;R$ 0,00;R$ 1333153,26;R$ 0,00;R$ 0,00;R$ 0,00;R$ 221599,82;R$ 0,00;R$ 1059460,83;R$ 0,00;R$ 918548,00;R$ 5127,70;R$ 0,00;R$ 214978,55;R$ 0,00;R$ 0,00;R$ 121120,33;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 26644,28;R$ 2495,34;R$ 44911,96;R$ 0,00;R$ 0,00
110147;RO;PRIMAVERA DE RONDONIA;4393;R$ 185795,96;R$ 0,00;R$ 0,00;R$ 865153,90;R$ 0,00;R$ 0,00;R$ 0,00;R$ 281513,55;R$ 0,00;R$ 815416,82;R$ 0,00;R$ 1090758,69;R$ 0,00;R$ 0,00;R$ 30719,66;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 47578,53;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 9120,15;R$ 123229,20;R$ 12855,84;R$ 0,00
110148;RO;SAO FELIPE D'OESTE;7266;R$ 222214,73;R$ 0,00;R$ 0,00;R$ 559891,17;R$ 0,00;R$ 0,00;R$ 0,00;R$ 309324,55;R$ 0,00;R$ 1008001,74;R$ 0,00;R$ 1552085,18;R$ 4000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 10000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 459501,98;R$ 14351,65;R$ 33548,81
110149;RO;SAO FRANCISCO DO GUAPORE;17600;R$ 387709,80;R$ 0,00;R$ 0,00;R$ 2398426,07;R$ 0,00;R$ 0,00;R$ 0,00;R$ 35563,00;R$ 0,00;R$ 1870292,88;R$ 0,00;R$ 3765169,30;R$ 0,00;R$ 0,00;R$ 107877,43;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 126688,03;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 279160,00;R$ 81730,00;R$ 6693,54;R$ 0,00
110150;RO;SERINGUEIRAS;16217;R$ 314518,24;R$ 0,00;R$ 0,00;R$ 1352659,96;R$ 0,00;R$ 0,00;R$ 0,00;R$ 290983,99;R$ 0,00;R$ 2467504,73;R$ 0,00;R$ 3169331,23;R$ 0,00;R$ 0,00;R$ 109998,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 324987,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 162998,60;R$ 5706,80;R$ 0,00
110155;RO;TEIXEIROPOLIS;5894;R$ 156919,90;R$ 0,00;R$ 0,00;R$ 818396,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 62089,80;R$ 0,00;R$ 1056904,51;R$ 0,00;R$ 1767441,27;R$ 0,00;R$ 0,00;R$ 13376,53;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 98370,11;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8296,72;R$ 214305,07
110160;RO;THEOBROMA;14320;R$ 282000,00;R$ 0,00;R$ 0,00;R$ 2061014,73;R$ 0,00;R$ 0,00;R$ 0,00;R$ 140446,35;R$ 134372,49;R$ 1338700,30;R$ 0,00;R$ 3410047,88;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1119,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 63792,00;R$ 0,00;R$ 0,00
110175;RO;VALE DO ANARI;10957;R$ 189170,80;R$ 0,00;R$ 0,00;R$ 1297129,59;R$ 0,00;R$ 0,00;R$ 0,00;R$ 49708,94;R$ 0,00;R$ 797598,00;R$ 0,00;R$ 2107179,04;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1644,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 92380,00;R$ 158854,04;R$ 314438,40;R$ 0,00;R$ 0,00
110180;RO;VALE DO PARAISO;10441;R$ 232686,67;R$ 6593,00;R$ 0,00;R$ 1075559,96;R$ 0,00;R$ 0,00;R$ 0,00;R$ 215936,87;R$ 0,00;R$ 1159509,27;R$ 0,00;R$ 3123312,94;R$ 10447,76;R$ 0,00;R$ 109601,95;R$ 10000,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8616,81;R$ 82676,64;R$ 0,00;R$ 0,00;R$ 0,00;R$ 87724,81;R$ 423312,91;R$ 0,00;R$ 37418,28
120001;AC;ACRELANDIA;10668;R$ 190942,20;R$ 0,00;R$ 0,00;R$ 860502,19;R$ 0,00;R$ 0,00;R$ 0,00;R$ 280934,62;R$ 0,00;R$ 844969,40;R$ 0,00;R$ 2505575,33;R$ 3662,35;R$ 0,00;R$ 654824,24;R$ 74512,70;R$ 0,00;R$ 0,00;R$ 0,00;R$ 926829,11;R$ 0,00;R$ 0,00;R$ 0,00;R$ 38625,76;R$ 0,00;R$ 57655,25;R$ 38190,70;R$ 0,00
120005;AC;ASSIS BRASIL;4852;R$ 186087,00;R$ 0,00;R$ 0,00;R$ 1142695,66;R$ 9135,44;R$ 0,00;R$ 0,00;R$ 54217,12;R$ 0,00;R$ 727436,03;R$ 0,00;R$ 1528673,34;R$ 0,00;R$ 0,00;R$ 308998,72;R$ 0,00;R$ 119142,82;R$ 0,00;R$ 0,00;R$ 11752,70;R$ 0,00;R$ 0,00;R$ 61461,80;R$ 13748,00;R$ 0,00;R$ 1100,00;R$ 49141,97;R$ 40723,14
120010;AC;BRASILEIA;16940;R$ 418495,32;R$ 0,00;R$ 0,00;R$ 3315559,28;R$ 0,00;R$ 0,00;R$ 0,00;R$ 380064,51;R$ 145209,59;R$ 2182670,09;R$ 0,00;R$ 4146278,70;R$ 0,00;R$ 0,00;R$ 225337,65;R$ 0,00;R$ 419661,44;R$ 92263,93;R$ 0,00;R$ 597041,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 43430,62;R$ 286426,98;R$ 28157,73;R$ 0,00
120013;AC;BUJARI;7654;R$ 161000,00;R$ 0,00;R$ 0,00;R$ 768094,09;R$ 0,00;R$ 0,00;R$ 0,00;R$ 427928,72;R$ 0,00;R$ 629439,07;R$ 143,03;R$ 1594986,85;R$ 14599,05;R$ 0,00;R$ 179744,33;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 90841,06;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 708448,62;R$ 2431,76;R$ 34720,00
120017;AC;CAPIXABA;6287;R$ 187206,00;R$ 0,00;R$ 0,00;R$ 1054301,49;R$ 1511,00;R$ 469,50;R$ 0,00;R$ 64111,57;R$ 24268,41;R$ 667468,24;R$ 0,00;R$ 2042640,75;R$ 413,00;R$ 0,00;R$ 33721,90;R$ 61420,50;R$ 1748,40;R$ 0,00;R$ 0,00;R$ 13560,49;R$ 0,00;R$ 0,00;R$ 18750,00;R$ 0,00;R$ 0,00;R$ 98884,40;R$ 299259,67;R$ 57908,46
120025;AC;EPITACIOLANDIA;12820;R$ 325422,40;R$ 0,00;R$ 0,00;R$ 1530041,61;R$ 0,00;R$ 0,00;R$ 0,00;R$ 112520,93;R$ 0,00;R$ 1562137,62;R$ 188507,08;R$ 2882839,09;R$ 72606,27;R$ 0,00;R$ 128163,31;R$ 40309,96;R$ 110556,87;R$ 0,00;R$ 0,00;R$ 116265,06;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 252500,68;R$ 1760,00;R$ 32800,53
120030;AC;FEIJO;35713;R$ 458138,95;R$ 0,00;R$ 0,00;R$ 2486052,23;R$ 0,00;R$ 0,00;R$ 0,00;R$ 279619,44;R$ 0,00;R$ 1831711,71;R$ 0,00;R$ 5028688,79;R$ 99591,68;R$ 244797,95;R$ 766845,62;R$ 4775,00;R$ 35295,00;R$ 0,00;R$ 0,00;R$ 178002,72;R$ 0,00;R$ 18030,50;R$ 0,00;R$ 0,00;R$ 0,00;R$ 115835,32;R$ 0,00;R$ 0,00
120032;AC;JORDAO;4564;R$ 180921,00;R$ 0,00;R$ 0,00;R$ 858827,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 38276,00;R$ 18208,00;R$ 880107,00;R$ 0,00;R$ 2752562,00;R$ 545,00;R$ 0,00;R$ 150498,00;R$ 0,00;R$ 157918,00;R$ 34282,00;R$ 0,00;R$ 7523,00;R$ 62811,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
