#"CodIBGE";"uf";"nome caixa";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais"
110007;"RO";"CORUMBIARA";9569,00;R$ 359895,92;R$ 0,00;R$ 0,00;R$ 1404774,18;R$ 0,00;R$ 0,00;R$ 0,00;R$ 368125,65;R$ 0,00;R$ 1448433,56;R$ 0,00;R$ 2221894,55;R$ 0,00;R$ 0,00;R$ 21186,54;R$ 0,00;R$ 8006,60;R$ 0,00;R$ 0,00;R$ 369612,24;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 385800,00;R$ 821613,49;R$ 0,00;R$ 0,00
110008;"RO";"COSTA MARQUES";11349,00;R$ 335060,02;R$ 0,00;R$ 0,00;R$ 2521317,23;R$ 0,00;R$ 0,00;R$ 0,00;R$ 201996,42;R$ 0,00;R$ 1890889,50;R$ 0,00;R$ 3485440,27;R$ 25900,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7008,89;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7812,07;R$ 378681,21;R$ 55862,30;R$ 0,00
110009;"RO";"ESPIGAO D'OESTE";27274,00;R$ 821044,66;R$ 0,00;R$ 0,00;R$ 6130761,12;R$ 0,00;R$ 35984,30;R$ 0,00;R$ 883418,66;R$ 473626,86;R$ 4227747,20;R$ 0,00;R$ 4944571,38;R$ 0,00;R$ 0,00;R$ 85652,28;R$ 20331,66;R$ 83394,54;R$ 0,00;R$ 0,00;R$ 95964,29;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 52387,60;R$ 590712,17;R$ 332070,04;R$ 69621,62
110010;"RO";"GUAJARA-MIRIM";41467,00;R$ 1095567,48;R$ 352606,33;R$ 0,00;R$ 10747500,94;R$ 0,00;R$ 0,00;R$ 0,00;R$ 571014,65;R$ 0,00;R$ 3822565,80;R$ 0,00;R$ 6153129,52;R$ 0,00;R$ 1510649,05;R$ 598859,93;R$ 0,00;R$ 0,00;R$ 29283,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 303495,16;R$ 0,00;R$ 223888,98
110011;"RO";"JARU";55840,00;R$ 1634659,53;R$ 0,00;R$ 0,00;R$ 8709751,64;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1010933,76;R$ 0,00;R$ 11202821,25;R$ 0,00;R$ 14236842,23;R$ 0,00;R$ 0,00;R$ 4084430,08;R$ 175035,03;R$ 147900,00;R$ 0,00;R$ 0,00;R$ 98571,40;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1725108,71;R$ 232531,30;R$ 0,00
110012;"RO";"JI-PARANA";112439,0;R$ 2690070,03;R$ 0,00;R$ 0,00;R$ 14375369,05;R$ 0,00;R$ 0,00;R$ 0,00;R$ 2166961,80;R$ 3150,00;R$ 20729796,66;R$ 958,44;R$ 12771447,52;R$ 0,00;R$ 0,00;R$ 1455977,69;R$ 0,00;R$ 727671,23;R$ 7680,64;R$ 0,00;R$ 1222453,76;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 8959779,32;R$ 34991,80;R$ 1770908,15
110013;"RO";"MACHADINHO D'OESTE";28649,00;R$ 682766,40;R$ 0,00;R$ 0,00;R$ 3126870,37;R$ 0,00;R$ 0,00;R$ 0,00;R$ 728129,01;R$ 249642,28;R$ 3821579,59;R$ 0,00;R$ 8438833,69;R$ 26121,03;R$ 0,00;R$ 906078,53;R$ 203160,75;R$ 0,00;R$ 0,00;R$ 0,00;R$ 624698,46;R$ 0,00;R$ 260087,92;R$ 0,00;R$ 0,00;R$ 345626,90;R$ 1677934,48;R$ 0,00;R$ 0,00
110014;"RO";"NOVA BRASILANDIA D'OESTE";17862,00;R$ 519996,79;R$ 0,00;R$ 0,00;R$ 1907830,73;R$ 0,00;R$ 0,00;R$ 0,00;R$ 294996,14;R$ 0,00;R$ 3343334,30;R$ 0,00;R$ 5040780,01;R$ 114,65;R$ 0,00;R$ 77180,40;R$ 0,00;R$ 7865,00;R$ 0,00;R$ 0,00;R$ 210275,91;R$ 0,00;R$ 0,00;R$ 1020,00;R$ 0,00;R$ 0,00;R$ 2206268,60;R$ 160787,88;R$ 59127,53
110018;"RO";"PIMENTA BUENO";31466,00;R$ 1113336,76;R$ 0,00;R$ 0,00;R$ 3768727,34;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1127226,93;R$ 241574,86;R$ 6100236,14;R$ 0,00;R$ 5229375,22;R$ 0,00;R$ 0,00;R$ 661518,41;R$ 0,00;R$ 0,00;R$ 73078,78;R$ 0,00;R$ 240600,59;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 464403,84;R$ 252787,63;R$ 1229882,31
110020;"RO";"PORTO VELHO";373917,0;R$ 9032987,99;R$ 0,00;R$ 0,00;R$ 61211043,03;R$ 0,00;R$ 22600,00;R$ 0,00;R$ 6066215,07;R$ 8257353,88;R$ 47517018,64;R$ 2306747,00;R$ 56175243,29;R$ 273276,13;R$ 19334,50;R$ 11913452,09;R$ 451986,75;R$ 0,00;R$ 1112950,92;R$ 0,00;R$ 2770356,91;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 6896366,70;R$ 2685479,62;R$ 898140,06;R$ 16616855,83
