#"CodIBGE";"uf";"municipio";"populacao";"legislativa";"judiciária";"essencial à justiça";"administração";"defesa nacional";"segurança pública";"relações exteriores";"assistência social";"previdência social";"saúde";"trabalho";"educação";"cultura";"direitos da cidadania";"urbanismo";"habitação";"saneamento";"gestão ambiental";"ciência e tecnologia";"agricultura";"organização agrária";"indústria";"comércio e serviços";"comunicações";"energia";"transporte";"desporto e lazer";"encargos especiais";"desp por função intra-orçamentária"
120001;"AC";"Acrelândia";13011;R$ 585154,89;R$ 0,00;R$ 0,00;R$ 3026068,46;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1117066,84;R$ 0,00;R$ 3951663,30;R$ 0,00;R$ 11492929,83;R$ 0,00;R$ 0,00;R$ 288313,53;R$ 1352816,26;R$ 0,00;R$ 18523,79;R$ 0,00;R$ 262088,47;R$ 0,00;R$ 0,00;R$ 0,00;R$ 7862,60;R$ 0,00;R$ 60353,15;R$ 1242717,26;R$ 28916,63;R$ 0,00
120005;"AC";"Assis Brasil";6308;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3163943,33;R$ 18951,70;R$ 0,00;R$ 0,00;R$ 627725,62;R$ 0,00;R$ 2310338,07;R$ 0,00;R$ 5654093,63;R$ 850,00;R$ 0,00;R$ 315533,95;R$ 254281,00;R$ 0,00;R$ 82487,54;R$ 0,00;R$ 400322,11;R$ 0,00;R$ 47304,84;R$ 26691,00;R$ 0,00;R$ 0,00;R$ 74609,00;R$ 0,00;R$ 0,00;R$ 0,00
120010;"AC";"Brasiléia";22261;R$ 1065000,00;R$ 0,00;R$ 0,00;R$ 8392377,89;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1095713,80;R$ 470792,67;R$ 5980777,51;R$ 0,00;R$ 12058270,01;R$ 0,00;R$ 0,00;R$ 2534646,13;R$ 126159,16;R$ 199056,21;R$ 408000,00;R$ 0,00;R$ 674494,54;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 495866,57;R$ 133572,10;R$ 58075,14;R$ 0,00;R$ 0,00
120013;"AC";"Bujari";8782;R$ 420000,00;R$ 0,00;R$ 0,00;R$ 1729056,59;R$ 0,00;R$ 0,00;R$ 0,00;R$ 496935,88;R$ 0,00;R$ 2309339,57;R$ 0,00;R$ 6349637,73;R$ 0,00;R$ 0,00;R$ 587228,86;R$ 130821,55;R$ 0,00;R$ 0,00;R$ 0,00;R$ 329776,17;R$ 0,00;R$ 119730,30;R$ 0,00;R$ 0,00;R$ 0,00;R$ 398048,40;R$ 262643,43;R$ 149036,08;R$ 0,00
120017;"AC";"Capixaba";9368;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3338513,15;R$ 0,00;R$ 0,00;R$ 0,00;R$ 369735,48;R$ 87592,91;R$ 2335499,14;R$ 0,00;R$ 6742931,67;R$ 0,00;R$ 0,00;R$ 83866,40;R$ 0,00;R$ 0,00;R$ 37335,10;R$ 0,00;R$ 72948,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 110387,22;R$ 14735,00;R$ 14726,59;R$ 0,00
120020;"AC";"Cruzeiro do Sul";79819;R$ 2801813,12;R$ 64642,81;R$ 0,00;R$ 15163676,14;R$ 0,00;R$ 0,00;R$ 0,00;R$ 3583653,78;R$ 954167,79;R$ 20196477,59;R$ 0,00;R$ 31669484,73;R$ 279898,42;R$ 0,00;R$ 18139748,24;R$ 0,00;R$ 1469642,06;R$ 21593,07;R$ 0,00;R$ 2860922,63;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 213308,58;R$ 0,00;R$ 1727948,66;R$ 1870510,83;R$ 0,00
120025;"AC";"Epitaciolândia";15679;R$ 689500,00;R$ 0,00;R$ 0,00;R$ 3756369,28;R$ 0,00;R$ 0,00;R$ 0,00;R$ 997896,61;R$ 0,00;R$ 4365916,62;R$ 0,00;R$ 8652623,50;R$ 0,00;R$ 0,00;R$ 306584,90;R$ 167360,96;R$ 0,00;R$ 427375,60;R$ 0,00;R$ 700320,53;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 909980,91;R$ 908277,74;R$ 0,00;R$ 0,00
120032;"AC";"Jordão";6898;R$ 450824,00;R$ 0,00;R$ 0,00;R$ 3219367,79;R$ 0,00;R$ 0,00;R$ 0,00;R$ 544828,05;R$ 74987,47;R$ 2198051,14;R$ 0,00;R$ 9582200,54;R$ 99331,90;R$ 58970,75;R$ 260872,90;R$ 115000,00;R$ 220947,25;R$ 11576,50;R$ 0,00;R$ 218580,60;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00
120033;"AC";"Mâncio Lima";15890;R$ 378809,08;R$ 0,00;R$ 56237,50;R$ 5898322,48;R$ 0,00;R$ 0,00;R$ 0,00;R$ 1828152,27;R$ 0,00;R$ 4736740,38;R$ 0,00;R$ 12209361,87;R$ 159872,90;R$ 0,00;R$ 2414462,75;R$ 0,00;R$ 217945,52;R$ 328610,08;R$ 0,00;R$ 723845,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 28267,55;R$ 0,00;R$ 582862,51;R$ 84189,36;R$ 10893,54
120034;"AC";"Manoel Urbano";8224;R$ 538521,76;R$ 0,00;R$ 0,00;R$ 3067824,63;R$ 0,00;R$ 0,00;R$ 0,00;R$ 640973,72;R$ 0,00;R$ 2724451,55;R$ 0,00;R$ 7325398,70;R$ 6261,03;R$ 0,00;R$ 743309,21;R$ 0,00;R$ 85764,97;R$ 0,00;R$ 0,00;R$ 493691,72;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 0,00;R$ 82919,45;R$ 262833,89;R$ 0,00
