##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intra-Orçamentárias)
311510;MG;Cássia;17967;681634.99;0;0;3590982.51;0;20481.11;0;909273.13;0;9657535.02;0;7408673.61;600866.81;69682.51;2717065.21;590.00;57838.50;0;0;813556.40;0;0;107730.59;247045.63;583811.82;997580.38;314939.72;806718.41;0
315430;MG;Resplendor;17631;718188.88;0;0;4812897.50;0;76061.26;0;756594.07;2069242.95;7593228.16;0;8778504.35;216000.19;47654.79;3136914.88;0;0;78170.75;0;106934.48;0;0;3300.00;11955.15;0;3480811.38;371520.94;0;0
210740;MA;Olho d'Água das Cunhãs;18934;0;0;0;1.00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
430740;RS;Esmeralda;3287;516857.40;260560.71;0;1730724.52;0;0;0;709000.71;0;2807142.60;0;2764442.06;178272.78;0;1184040.99;0;221013.97;61503.79;4913.98;550832.58;0;26453.33;23624.38;42791.03;70886.79;1272655.07;182282.53;248138.46;0
140020;RR;Caracaraí;19696;823241.28;0;0;5844911.06;0;0;0;1833597.25;0;8168607.10;0;14017251.09;282504.00;0;4202390.01;0;0;257176.14;0;1317965.33;0;0;0;0;0;7852.00;27434.00;0;0
230550;CE;Iguatu;100053;3814435.36;0;0;13617523.18;0;0;0;5425450.13;0;44572869.23;315350.18;47024212.84;3059616.87;0;23324037.09;404030.93;9002965.54;5823337.87;160552.74;1002933.92;0;0;0;0;0;0;503125.13;1658036.86;0
293070;BA;Simões Filho;129964;10625162.12;0;0;129226224.28;0;0;0;1304009.27;0;23021846.77;0;31041189.27;3199107.24;0;36647391.77;165837.59;2156803.76;0;0;0;0;0;0;0;0;0;1125171.22;7231444.57;0
240010;RN;Acari;11355;769235.05;0;0;2781206.80;0;0;0;774355.92;0;4247880.04;0;6455728.33;252482.20;0;1815776.76;0;7800.00;0;0;6851.50;0;0;6001.04;0;0;0;40916.78;0;0
521483;GO;Nova Crixás;12488;1479699.24;9500.00;0;5323665.29;0;246186.92;0;3049918.10;1223687.07;6553564.20;0;10223220.24;9311.85;0;3255151.88;0;7402.00;0;0;173677.54;0;0;0;11130.59;435329.21;1824526.98;369141.87;0;0
313440;MG;Iturama;36837;5051414.93;810268.18;0;10100949.60;0;479148.00;0;3707441.58;1595634.87;24083864.86;1763840.84;24915147.79;2202990.14;0;10885787.33;0;0;298078.87;0;770300.23;35585.01;179662.62;0;0;0;1919985.75;656818.23;2302359.06;0
314530;MG;Novo Cruzeiro;31715;1476060.78;72671.21;259276.51;2236827.35;0;1967282.00;0;2305321.29;0;10347226.57;0;14184496.98;1043474.63;0;1340763.32;98697.17;615060.88;66376.60;0;1055429.94;0;0;0;18150.60;0;1583522.75;517305.04;1659217.70;0
431480;RS;Portão;33212;2619395.76;0;0;13770726.61;0;0;0;2598832.58;5315129.11;10894205.46;0;14885310.86;0;0;0;0;1994812.79;0;0;669560.87;0;0;0;0;0;0;1712853.05;843976.16;2305229.18
420415;SC;Celso Ramos;2792;442292.05;0;0;1479357.15;0;0;0;1031949.59;0;2369253.71;0;3474049.06;0;1400.00;680668.76;0;19712.19;0;0;1016041.93;0;0;0;0;0;1106705.89;291294.12;626123.63;0
290470;BA;Buerarema;19311;0;1142526.28;0;4269680.68;0;0;0;827304.83;0;4982505.14;0;10572433.02;33309.20;0;2776457.43;124610.24;20771.60;12718.98;0;183661.80;0;0;0;0;225792.74;5310.48;12410.51;1701840.91;0
510718;MT;Ribeirão Cascalheira;9316;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
221130;PI;Valença do Piauí;20541;904512.86;0;0;3812959.72;0;0;0;1002578.50;0;7284293.10;104430.44;11796212.97;733507.84;1500.00;1934550.71;0;466850.87;64928.28;0;584050.82;0;0;9955.00;0;0;68488.84;73293.04;64420.59;0
260730;PE;Ipubi;30037;1217629.04;0;278663.19;3355879.56;0;0;0;2549026.46;4334170.27;12463091.72;0;18605343.74;845014.57;0;3463607.86;0;0;0;0;1881308.41;0;0;0;0;0;733233.13;69207.93;0;0
250080;PB;Araçagi;17252;829490.19;0;0;4695596.88;0;0;0;747598.74;0;5995844.34;0;10794905.69;201083.39;0;0;0;0;62209.17;0;189825.12;0;0;0;54605.94;0;91188.00;65143.92;1944157.03;0
320140;ES;Castelo;37331;2556424.70;492671.71;0;7017953.51;0;49680.48;0;3426922.86;3293162.67;19131301.63;0;25975594.90;429394.72;17036.23;3407682.47;32870.65;13973.17;477972.30;0;2194287.58;0;0;210932.13;0;873155.90;859564.69;1395730.87;967837.78;0
280600;SE;Ribeirópolis;18071;1171431.20;346864.70;0;4259946.77;0;0;0;1555344.23;0;6917436.73;0;10378469.47;0;0;2233978.52;0;0;0;0;718482.02;0;0;223189.70;0;0;430518.26;645882.06;0;0
330450;RJ;Rio das Flores;8783;1383746.85;0;0;5561894.53;0;0;0;1364957.88;458829.96;10008785.54;0;11180864.53;1211464.22;0;4398053.97;929306.62;960187.43;1160622.61;0;0;0;0;301436.98;208029.80;0;0;1154513.22;464349.70;0
312300;MG;Dores de Campos;9805;470805.80;56558.78;0;931450.89;0;46538.04;0;246129.28;560530.95;3287201.51;127286.57;3762266.01;100134.66;0;1244142.84;0;267049.84;9739.00;0;69188.67;0;0;487321.17;10734.75;141823.99;134116.84;64771.56;106671.50;0
430222;RS;Boa Vista do Cadeado;2520;534811.75;0;0;2235326.24;0;18401.22;0;513342.46;0;3559074.93;0;3121969.64;109353.14;0;572080.96;7329.44;85826.69;155617.92;0;833705.57;0;0;55372.32;0;0;697278.60;161595.79;472833.99;0
316240;MG;São João da Ponte;25961;1385094.52;0;0;9962861.97;0;0;0;1104289.03;0;7595347.98;0;13389042.67;655047.15;0;470155.30;0;178957.23;0;0;158028.87;0;0;0;0;0;259756.09;500.00;583093.63;0
220273;PI;Coivaras;3901;359867.69;0;0;2797166.36;0;0;0;288686.76;0;1689695.14;0;3820833.21;81442.25;0;244178.55;55151.40;60787.90;5278.68;0;16128.00;0;0;0;11200.00;0;77124.07;5418.08;126986.53;0
500350;MS;Douradina;5616;0;0;0;3857686.15;0;0;0;848892.63;1014798.69;3092514.50;2647.41;3469917.38;0;6691.25;931845.83;16000.00;0;19813.75;0;15058.11;0;0;0;0;0;681437.75;69431.94;0;0
211030;MA;Santo Antônio dos Lopes;14289;0;0;0;8654078.88;0;0;0;1641166.87;0;15619321.03;0;29582710.30;2330450.00;0;9672296.95;0;1302555.27;0;0;1147341.43;0;0;0;0;1512440.00;5872592.32;242500.00;0;0
311995;MG;Córrego Fundo;6110;655354.18;0;0;3420877.09;0;18460.24;0;260224.64;0;3666571.49;0;3319802.31;13157.09;0;1384565.11;0;899419.33;26371.59;26371.59;23927.65;0;0;1241.70;6024.01;131634.73;0;74693.56;216547.99;0
293360;BA;Xique-Xique;48100;2176425.66;75862.15;0;7521583.10;0;0;0;1968296.64;0;11163332.79;0;39482737.06;48623.60;0;6136506.22;0;1999071.98;234568.32;0;0;0;0;0;0;0;0;215777.13;377384.93;0
320150;ES;Colatina;120677;4092193.55;0;694945.57;29789589.19;0;639399.15;0;6076878.74;0;70609954.52;0;72082472.96;1595954.49;673625.20;16685283.17;54597.10;36656723.32;317720.61;0;1519906.16;0;0;358227.57;0;0;3365709.41;2125679.88;10099581.55;0
210120;MA;Bacabal;101851;0;0;295051.99;13836947.58;0;448456.29;0;2987408.39;0;41696334.03;359395.80;38329919.39;1794151.64;0;9080118.69;0;0;266652.15;0;28776.33;0;0;0;0;0;446601.46;814543.39;2268348.48;0
431750;RS;Santo Ângelo;78836;3764218.95;0;0;14565276.82;0;0;0;4664581.61;14310863.82;27011377.34;0;36962248.75;782684.68;42443.86;10114096.09;1259185.12;317221.50;2195833.76;0;1705733.52;0;1247894.80;1346635.82;0;0;4507257.89;762082.12;6054585.81;0
522028;GO;São Patrício;2054;615574.20;3740.00;0;1975685.94;0;14960.47;0;531050.10;448750.98;1982033.53;102933.46;1626578.51;65438.93;0;1809782.58;254385.90;0;114738.67;0;381635.30;0;0;0;0;0;154922.66;116463.49;254340.09;0
350390;SP;Arujá;81326;9160000.00;0;0;42495000.29;0;2866658.77;0;9843124.08;1235845.37;38376298.80;0;60835568.60;1480631.13;0;11602273.35;0;0;0;0;0;0;0;0;0;1511712.78;0;2072877.94;5454225.64;0
421145;SC;Nova Itaberaba;4338;548578.89;0;0;1742997.53;0;7937.51;0;482451.64;0;3453398.85;0;2957318.29;203542.86;0;803467.92;0;202556.90;0;0;1210003.75;0;0;0;0;0;1104148.63;198773.89;560888.11;0
260750;PE;Itaíba;26651;1105247.55;0;0;7067009.03;0;0;0;1570565.20;3200916.75;6539575.82;0;20190459.84;396863.94;0;2432667.02;0;0;31674.90;0;929872.10;0;0;0;0;0;545367.79;37226.84;1519006.06;0
315130;MG;Piraúba;11123;595977.95;0;0;2704628.36;0;29287.41;0;661913.23;0;4109686.17;0;5367634.82;293694.91;0;2086844.21;0;36942.79;3125.84;0;278636.59;0;0;0;0;0;288059.38;53685.76;471417.31;0
431308;RS;Nova Pádua;2545;267460.86;0;0;2640535.23;0;9000.00;0;93191.15;334526.27;1930124.48;0;1379686.83;78222.79;0;21634.06;0;247520.83;85137.83;0;627522.80;0;0;64066.03;0;145027.38;1984817.10;50586.94;110500.00;0
430510;RS;Caxias do Sul;465304;18089454.78;0;5690866.61;85438533.69;0;14338585.61;0;36629255.90;1943657.73;338014980.03;111130.36;214161778.84;19750232.25;155286.53;117351812.02;6430712.07;120862403.66;22804685.82;7681.69;6605481.81;0;0;4618146.63;0;0;16140827.08;9089230.72;189145617.68;113084576.17
510030;MT;Alto Araguaia;16818;3260629.04;0;0;6857830.96;0;0;0;3557285.05;910606.42;16396057.74;0;10872276.29;764608.96;0;5281423.21;10625.00;5211168.01;53790.34;0;209285.32;0;25575.26;158457.45;8080.00;312579.21;1095401.16;657254.10;1015831.56;2678858.11
170600;TO;Couto Magalhães;5314;100.80;0;0;3418481.48;0;0;0;239024.91;0;1586435.31;62380.39;3541958.92;56857.50;0;547560.16;0;0;13906.73;0;260397.58;0;0;100827.58;39522.67;0;531449.45;479478.12;60724.01;0
420768;SC;Ipuaçu;7123;750481.02;0;0;2323825.79;0;29658.96;0;889969.70;0;4032091.01;0;4243667.26;119987.90;0;442731.88;0;0;2987.62;0;1156817.64;0;793122.31;2736.50;0;0;1964884.10;100634.53;511389.66;0
420850;SC;Ituporanga;23490;1266790.21;0;49519.07;4795658.83;924.69;275972.46;0;1352873.33;0;9598973.78;0;15240458.83;31862.65;0;4796212.97;0;0;4640.00;0;1231888.31;0;0;620756.79;0;0;2856267.24;198313.92;1322424.12;0
411750;PR;Paiçandu;38385;1689537.14;0;0;6158206.11;0;0;0;1192897.45;0;12077910.35;0;16075978.22;69801.02;0;5929976.04;0;0;369374.85;0;180769.58;0;0;0;0;0;0;256022.40;0;0
210235;MA;Buritirana;15008;550711.27;260609.27;0;4509256.13;0;0;0;301244.29;0;4029056.14;0;10467783.40;263128.96;0;1162756.29;0;153337.11;475930.68;0;0;0;0;0;0;273738.02;1022704.35;298927.53;0;0
230700;CE;Jaguaruana;33174;1758649.85;0;0;3723423.43;0;0;0;2229734.30;2983619.46;12902167.60;0;16479490.79;1395011.50;0;4722591.98;0;0;209954.39;0;804731.80;0;75753.79;0;0;368827.58;99639.95;379076.77;1326646.72;0
250150;PB;Bananeiras;22012;1035298.09;0;81500.00;6937386.84;0;0;0;958559.32;1165187.35;9229780.07;0;13456840.10;655167.00;0;124920.00;0;0;0;0;7999.20;0;0;16773.41;0;0;4000.00;45609.50;172615.80;1046720.92
521060;GO;Itaguaru;5521;579011.61;33691.92;0;1714406.60;0;67313.96;0;720760.91;1013262.77;2938815.51;91790.95;2813454.77;0;0;1252765.93;0;0;3500.00;0;227296.71;0;0;0;0;189276.56;409833.35;19605.66;0;0
320320;ES;Linhares;157814;11155118.35;1696514.98;0;26325204.59;0;7960940.39;0;14153230.86;21614897.60;119894669.69;0;111361831.35;1056007.96;0;61784645.91;25463.71;13026391.48;1629663.07;0;3824479.53;0;9590.00;1287082.41;572899.60;0;0;8077531.69;9630024.03;24304764.80
420915;SC;José Boiteux;4837;578878.19;0;0;1613738.28;0;13778.69;0;493549.58;0;2402002.06;0;4114214.18;0;39218.83;0;0;0;0;0;316502.08;0;0;0;0;60824.30;2053202.22;36022.79;0;0
250890;PB;Mamanguape;43678;2059185.59;0;0;7149965.91;0;0;0;2689713.28;0;15148512.47;611591.65;22449159.36;0;0;3898355.35;66964.00;20393.96;101650.97;0;554974.28;0;0;530898.93;0;0;236315.07;60187.33;0;0
291465;BA;Itabela;30636;1605506.65;0;0;6796974.14;0;0;0;1461707.32;1891495.28;11103955.02;0;20933607.41;0;0;5580715.45;0;0;141599.52;0;191695.42;0;0;0;0;0;0;409355.48;195096.84;0
432380;RS;Xangri-lá;13689;0;0;0;16197867.06;0;44000.00;0;1789241.66;0;13523289.07;0;22607490.43;26914.50;15666.42;3276531.00;0;150262.20;90000.00;0;0;0;0;0;0;0;116546.11;659501.50;0;0
251630;PB;Sumé;16595;970800.00;0;0;1411820.56;0;0;0;782992.17;1821907.49;10469677.50;141908.69;6861274.03;344563.98;0;4077396.29;0;509779.30;0;0;734720.44;0;0;0;0;0;153365.77;309279.75;657783.47;1149116.86
311910;MG;Corinto;24484;1564250.44;187435.09;0;4195275.00;0;43342.69;0;968039.92;0;8963580.45;0;10440964.93;185784.59;0;3348411.52;19005.00;0;68615.91;35540.34;180703.53;0;0;274631.17;0;7311.95;781114.80;180485.12;823509.19;0
293280;BA;Utinga;19516;1156950.86;0;0;2967561.03;0;0;0;939886.44;0;7311106.08;0;12155500.84;812915.90;0;3393530.78;0;1320.00;127752.22;0;153265.96;0;0;0;0;0;78925.62;235852.05;258538.10;0
