##Cod.IBGE;UF;Instituição;População;01 - Legislativa;02 - Judiciária;03 - Essencial à Justiça;04 - Administração;05 - Defesa Nacional;06 - Segurança Pública;07 - Relações Exteriores;08 - Assistência Social;09 - Previdência Social;10 - Saúde;11 - Trabalho;12 - Educação;13 - Cultura;14 - Direitos da Cidadania;15 - Urbanismo;16 - Habitação;17 - Saneamento;18 - Gestão Ambiental;19 - Ciência e Tecnologia;20 - Agricultura;21 - Organização Agrária;22 - Indústria;23 - Comércio e Serviços;24 - Comunicações;25 - Energia;26 - Transporte;27 - Desporto e Lazer;28 - Encargos Especiais;Despesas (Intraorçamentárias)
410980;PR;Ibiporã;51802;0;0;0;8467299.82;0;143965.80;0;3837321.78;9697532.25;27045072.22;899361.78;26663937.49;2162213.24;0;9290860.49;0;11839039.52;79466.24;0;874702.07;0;238018.59;0;0;0;0;2020020.07;2973362.27;12164129.15
311510;MG;Cássia;17991;891617.48;0;0;3958943.86;0;19788.84;0;1136910.20;0;11791574.04;0;8368913.90;614633.12;78312.31;2676710.10;0;150736.64;22101.82;0;855429.48;0;0;99270.13;193461.11;658080.24;1340425.72;307795.00;627947.19;0
315430;MG;Resplendor;17653;834682.62;63782.78;0;5283930.68;0;110125.58;0;1074468.29;1976886.41;10508548.48;0;10617475.77;108025.73;43177.02;3068230.09;0;0;317369.42;0;152881.81;0;0;3600.00;1444.30;0;2472436.02;468680.60;0;0
210740;MA;Olho d'Água das Cunhãs;19009;0;0;0;3248384.57;0;0;0;1437542.71;0;8991952.99;0;21466462.55;525406.80;0;2545334.37;0;513563.63;0;0;77804.03;0;0;0;0;239088.70;896858.73;406.80;372248.56;0
430740;RS;Esmeralda;3294;549591.38;167089.18;0;1953899.74;0;0;0;832928.28;0;3489694.06;0;4034961.09;366623.15;0;1167538.02;0;323136.60;66800.48;8864.26;576881.24;0;26891.41;81825.83;40558.97;104542.09;1495863.14;178621.78;511863.91;0
140020;RR;Caracaraí;19981;847167.99;0;0;5407184.48;0;0;0;1942947.65;0;9164615.98;0;17152782.20;272113.40;0;4930130.05;0;0;342916.66;0;637602.71;0;0;0;0;1326022.87;658741.72;14100.00;0;0
230550;CE;Iguatu;100733;4199914.42;0;0;12996517.16;0;0;0;7009053.62;0;56508334.06;333245.57;49482852.42;4292999.44;0;13057999.48;1448745.80;11564503.30;5981919.35;172800.27;996621.15;0;0;0;0;0;0;730175.17;2534282.29;697.74
293070;BA;Simões Filho;131630;11769684.00;0;0;77056201.13;0;0;0;1358977.34;0;46674954.41;0;90814221.09;5916571.92;0;38379541.41;0;1859878.09;0;0;0;0;0;0;0;0;0;1745239.87;7337880.07;0
240010;RN;Acari;11349;827767.67;0;0;3411042.39;0;0;0;936927.82;0;4614945.82;0;6254890.18;289900.99;0;2688441.36;0;0;0;0;33116.25;0;0;7529.78;0;0;2980.00;78919.67;0;0
521483;GO;Nova Crixás;12571;1601681.19;7937.04;0;7075088.58;0;91866.92;0;3753339.46;1409071.03;9543303.61;0;10212014.33;2050.00;0;4098908.52;0;30994.46;89525.72;0;287280.69;0;0;0;56486.41;0;2372535.27;1439384.11;0;0
