##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Intraorçamentárias)";lof_absoluto_com_pop;lof_absoluto_sem_pop;lof_absoluto_suav;lof_absoluto_suav_norm;lof_relativo;lof_relativo_norm
Prefeitura Municipal de Ibiporã - PR;4109807;PR;51802;0;0;0;7830590.61;0;121701.01;0;3394720.88;9697532.25;24228418.29;836833.95;22591067.79;2027260.95;0;8262769.99;0;10936224.04;79340.48;0;794243.59;0;227468.37;0;0;0;0;1836788.05;2863802.38;11050549.63;1.39;1.39;1.29;1.24;1.26;1.24
Prefeitura Municipal de Cássia - MG;3115102;MG;17991;873840.98;0;0;3866803.29;0;19698.02;0;1119806.58;0;11167654.90;0;8082565.58;597255.64;31863.31;2599800.90;0;150736.64;22101.82;0;837907.65;0;0;99270.13;190198.27;658080.24;1321102.28;304725.83;627947.19;0;1.05;1.05;1.13;1.17;1.03;1.29
Prefeitura Municipal de Resplendor - MG;3154309;MG;17653;834682.62;63782.78;0;4291490.47;0;85813.43;0;933179.55;1946283.61;8990861.01;0;9562474.26;64750.43;36462.49;2847785.29;0;0;260784.94;0;91981.81;0;0;3000.00;1444.30;0;1587707.17;429585.40;0;0;1.01;1.01;1.14;1.20;1.02;1.06
Prefeitura Municipal de Olho d'Água das Cunhãs - MA;2107407;MA;19009;0;0;0;3240465.95;0;0;0;1424707.71;0;8782629.16;0;19840372.06;525406.80;0;2496228.77;0;513563.63;0;0;77804.03;0;0;0;0;239088.70;896858.73;406.80;372248.56;0;1.04;1.04;1.05;1.07;1.11;1.14
Prefeitura Municipal de Esmeralda - RS;4307401;RS;3294;538604.45;165078.24;0;1913425.25;0;0;0;824961.37;0;3373930.83;0;3722173.19;365985.87;0;1158580.91;0;313685.38;65875.04;8864.26;570964.36;0;26444.56;80585.83;37787.10;104542.09;1415694.19;177575.00;503986.00;0;1.05;1.05;1.21;1.28;1.06;1.50
Prefeitura Municipal de Caracaraí - RR;1400209;RR;19981;847167.99;0;0;4802837.93;0;0;0;1798966.43;0;7208964.15;0;14563282.08;262346.40;0;561953.87;0;0;319712.35;0;117728.43;0;0;0;0;0;0;14100.00;0;0;1.01;1.01;1.00;1.03;0.99;1.00
Prefeitura Municipal de Iguatu - CE;2305506;CE;100733;4199914.42;0;0;11563201.47;0;0;0;6086829.72;0;52636560.84;294576.63;45067173.44;3449847.14;0;11734075.35;1415187.06;11359444.11;3686109.94;165385.35;913953.11;0;0;0;0;0;0;642066.50;2432718.81;697.74;1.13;1.13;1.43;1.22;1.11;1.21
Prefeitura Municipal de Simões Filho - BA;2930709;BA;131630;11754371.27;0;0;69977671.33;0;0;0;1331733.92;0;41321474.92;0;81957039.01;5547675.76;0;35114817.19;0;1509318.16;0;0;0;0;0;0;0;0;0;1541900.82;6913302.78;0;1.33;1.33;1.18;1.31;1.30;1.32
Prefeitura Municipal de Acari - RN;2400109;RN;11349;827767.67;0;0;3377067.10;0;0;0;907959.42;0;4401641.34;0;6146247.21;288557.81;0;2452288.11;0;0;0;0;33116.25;0;0;7529.78;0;0;2980.00;74508.12;0;0;1.05;1.05;1.02;1.02;1.06;1.00
Prefeitura Municipal de Nova Crixás - GO;5214838;GO;12571;1601681.19;7937.04;0;7013998.58;0;91866.92;0;3747781.55;1409071.03;8490083.41;0;10173580.99;2050.00;0;4098908.52;0;30994.46;89525.72;0;287280.69;0;0;0;56486.41;0;2170637.13;1060799.15;0;0;1.26;1.26;1.08;1.12;1.09;1.23
Prefeitura Municipal de Novo Cruzeiro - MG;3145307;MG;31760;1614783.34;72517.49;308626.54;2103816.55;0;1598235.11;0;2214578.76;0;10793306.84;0;15664741.84;727924.72;0;1440647.53;98602.02;75279.62;15594.88;0;707427.70;0;0;0;13225.06;0;931283.14;118861.58;1625891.91;0;1.17;1.17;1.16;1.15;1.13;1.31
Prefeitura Municipal de Portão - RS;4314803;RS;33615;2605525.24;0;0;12575510.80;0;0;0;2595483.45;5550958.44;11161324.04;0;18520765.90;0;0;0;136786.67;1774506.40;0;0;447331.51;0;0;0;0;0;0;1127946.37;933320.18;2846917.15;1.29;1.29;1.54;1.40;1.17;1.16
Prefeitura Municipal de Celso Ramos - SC;4204152;SC;2784;560695.61;0;0;1821548.70;0;740.00;0;819850.99;0;2421749.66;0;3444926.99;0;59473.27;743460.61;0;2165.60;0;0;1243081.57;0;0;0;0;0;1275785.02;209720.08;842522.51;0;1.11;1.11;1.26;1.21;1.15;1.33
Prefeitura Municipal de Buerarema - BA;2904704;BA;19297;1167607.02;0;0;4825145.07;0;0;0;961387.84;0;5655006.43;0;9834627.07;88779.34;0;3275433.90;0;0;1945.86;0;121989.60;0;0;0;1600.00;0;0;92266.65;0;0;1.03;1.03;1.03;1.06;1.03;0.99
Prefeitura Municipal de Ipubi - PE;2607307;PE;29338;1407706.75;0;254730.77;3113967.95;0;0;0;2177146.32;5357374.61;12422473.00;0;19648086.65;988776.47;0;3512097.42;0;0;0;0;1926864.24;0;0;0;0;0;749894.66;356588.37;0;0;1.20;1.20;1.24;1.23;1.11;1.08
Prefeitura Municipal de Valença do Piauí - PI;2211308;PI;20555;958960.05;0;0;3814278.44;0;0;0;966224.44;0;7544217.30;93348.24;13368679.17;627864.14;550.00;2324685.82;0;7437.48;101331.54;0;401207.49;0;0;3624.85;0;0;39216.00;149629.96;0;0;0.97;0.97;1.11;1.14;0.96;0.96
Prefeitura Municipal de Araçagi - PB;2500809;PB;17186;888459.06;0;0;4443311.02;0;0;0;795356.47;0;6749323.23;4300.00;11399635.97;172645.16;0;14564.00;0;0;177526.15;0;100603.74;0;0;0;44440.00;0;66465.00;57417.30;1454013.50;0;1.06;1.06;1.13;1.20;1.02;1.15
Prefeitura Municipal de Ribeirópolis - SE;2806008;SE;18218;1264881.24;343698.50;0;4585143.83;0;0;0;1533999.83;0;7621058.45;0;9590466.23;0;0;2241857.10;0;81115.94;0;0;615421.32;0;0;606570.00;0;0;407176.51;314987.99;0;0;1.02;1.02;1.22;1.17;1.00;1.34
Prefeitura Municipal de Dores de Campos - MG;3123007;MG;9882;527341.18;57709.19;0;1018122.51;0;44995.07;0;439354.15;560744.55;3952303.10;171634.29;3976921.19;132832.85;0;1466551.41;0;278360.29;125198.32;0;57457.26;0;0;416593.64;32074.66;165966.57;211839.15;61948.02;218292.39;0;1.06;1.06;1.03;1.04;0.99;1.28
Prefeitura Municipal de Rio das Flores - RJ;3304508;RJ;8838;1839199.37;0;0;5892447.90;0;0;0;1590710.90;433273.14;12508214.63;0;11818014.45;2151297.91;0;5143863.50;582077.36;1058190.25;838601.36;0;0;0;0;305783.81;71491.65;0;0;509079.45;393507.48;0;1.10;1.10;1.27;1.29;1.15;1.63
Prefeitura Municipal de Boa Vista do Cadeado - RS;4302220;RS;2522;567561.71;0;0;2491097.15;0;74512.87;0;532772.73;0;4188200.97;0;3267672.97;64137.42;0;1426696.21;7128.21;114972.51;292402.62;0;1101943.92;0;2000.00;97490.73;0;0;1005232.57;145320.66;481615.35;0;1.10;1.10;1.00;1.01;1.18;1.43
Prefeitura Municipal de Coivaras - PI;2202737;PI;3916;395878.55;0;0;2610739.86;0;0;0;320772.79;0;1806297.53;0;3333770.88;59797.14;0;105367.41;0;43290.57;39067.73;0;1484.54;0;0;0;17000.00;0;217185.14;5593.56;67789.82;0;1.06;1.06;1.03;1.07;1.07;1.24
Prefeitura Municipal de São João da Ponte - MG;3162401;MG;25933;1469638.10;0;0;5937821.55;0;0;0;1647033.69;1067605.72;14180256.17;0;16751371.78;234526.94;0;1587148.88;0;24381.37;0;0;367142.91;0;0;0;0;0;1088951.71;33671.00;1700623.03;0;1.06;1.06;0.97;0.99;1.03;1.04
Prefeitura Municipal de Santo Antônio dos Lopes - MA;2110302;MA;14270;0;0;0;7066737.70;0;0;0;1060653.91;0;16636808.68;0;26416633.84;1911669.69;0;10698730.83;0;250000.00;0;0;137230.71;0;0;0;0;1265000.00;8766030.12;293646.24;0;0;1.41;1.41;1.04;1.06;1.52;2.28
Prefeitura Municipal de Xique-Xique - BA;2933604;BA;48210;2300302.57;0;0;8724971.31;0;0;0;2822028.05;0;13599546.33;0;44737240.34;994190.50;0;1400233.17;0;1359915.22;2332868.27;0;135093.44;0;0;0;0;1043314.01;0;201877.88;1447794.19;0;1.27;1.27;1.12;1.13;1.07;1.30
Prefeitura Municipal de Córrego Fundo - MG;3119955;MG;6159;722637.90;0;0;4637444.61;0;17691.85;0;302970.33;0;4453198.51;0;3948679.34;46348.00;0;1366647.52;0;947189.39;96136.76;30864.04;44950.00;0;0;632.67;4046.74;151566.88;0;118012.25;315355.98;0;1.20;1.20;1.20;1.29;1.11;1.62
Prefeitura Municipal de Colatina - ES;3201506;ES;121670;0;0;796038.28;30721477.63;0;2307733.44;0;6198189.54;0;68024133.53;0;74238374.68;1429364.17;273072.50;15483710.20;461948.26;31828449.09;509470.79;0;1242756.63;0;0;196459.27;0;0;1855823.36;703007.18;11528509.13;25448.30;1.22;1.22;1.30;1.18;1.25;1.22
Prefeitura Municipal de Bacabal - MA;2101202;MA;102265;2863267.83;0;578839.21;21320254.59;0;1126050.75;0;4496582.94;0;43849890.72;484760.06;57393688.20;2616855.73;0;9287278.75;0;7230380.58;329669.53;0;11603.42;0;0;0;0;0;0;855639.43;1759657.84;0;1.11;1.11;1.32;1.17;1.01;1.15
Prefeitura Municipal de São Patrício - GO;5220280;GO;2058;707961.44;720.00;0;1883316.56;0;22028.06;0;589525.81;532660.21;2405902.85;112313.00;1470368.31;0;0;2004951.70;0;0;114220.00;0;662355.65;0;0;0;0;0;24600.00;2172.00;481444.46;0;1.24;1.24;1.10;1.12;1.47;1.74
