###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Serra da Saudade - MG;  3166600;  MG;  822; Previdência Social; 19.84%; 765341.41; 145880.42; 619460.99; Transporte; 18.17%; 1021040.87; 453820.97; 567219.90; Urbanismo; 12.72%; 471185.99; 868419.44; -397233.45; Assistência Social; 12.11%; 203225.31; 581468.56; -378243.25; Administração; 09.20%; 1773843.07; 2061196.16; -287353.09;  1.24
Prefeitura Municipal de Borá - SP;  3507209;  SP;  835; Agricultura; 14.01%; 122302.10; 499594.94; -377292.84; Saúde; 13.15%; 2474187.82; 2120175.42; 354012.40; Assistência Social; 11.95%; 853422.87; 531588.08; 321834.79; Transporte; 11.66%; 801602.09; 487564.03; 314038.06; Urbanismo; 08.91%; 599010.40; 838969.27; -239958.87;  1.03
Prefeitura Municipal de Araguainha - MT;  5101209;  MT;  1000; Urbanismo; 20.02%; 21803.19; 817154.83; -795351.64; Saúde; 16.87%; 1482082.07; 2152358.37; -670276.30; Agricultura; 11.53%; 7260.90; 465295.59; -458034.69; Legislativa; 10.51%; 0; 417725.44; -417725.44; Educação; 07.25%; 1414489.80; 1702467.98; -287978.18;  1.32
Prefeitura Municipal de Oliveira de Fátima - TO;  1715507;  TO;  1091; Saúde; 22.98%; 1430044.71; 2228628.63; -798583.92; Educação; 16.52%; 2217017.26; 1642993.69; 574023.57; Administração; 15.63%; 1473095.75; 2016178.59; -543082.84; Assistência Social; 08.74%; 295347.05; 599041.74; -303694.69; Desporto e Lazer; 07.69%; 347422.22; 80331.73; 267090.49;  1.11
Prefeitura Municipal de Nova Castilho - SP;  3532868;  SP;  1206; Educação; 19.33%; 2365592.11; 1711315.16; 654276.95; Administração; 15.91%; 2550051.63; 2011572.24; 538479.39; Despesas (Intraorçamentárias); 13.84%; 468363.39; 0.00; 468363.39; Urbanismo; 08.47%; 987635.46; 701041.21; 286594.25; Agricultura; 06.84%; 293583.35; 525133.61; -231550.26;  1.04
Prefeitura Municipal de Cedro do Abaeté - MG;  3115607;  MG;  1222; Administração; 30.43%; 688569.25; 2052993.73; -1364424.48; Saúde; 11.19%; 2654263.92; 2152458.92; 501805.00; Essencial à Justiça; 10.60%; 502741.43; 27290.41; 475451.02; Agricultura; 09.09%; 99625.58; 507322.05; -407696.47; Previdência Social; 08.60%; 542546.78; 156690.81; 385855.97;  1.23
Prefeitura Municipal de Miguel Leão - PI;  2206308;  PI;  1239; Transporte; 20.83%; 38801.00; 714932.91; -676131.91; Agricultura; 14.46%; 38772.47; 508086.13; -469313.66; Urbanismo; 13.73%; 318758.05; 764515.00; -445756.95; Saúde; 13.51%; 1747731.38; 2186411.55; -438680.17; Educação; 07.90%; 1568461.42; 1824904.87; -256443.45;  1.12
Prefeitura Municipal de Uru - SP;  3555901;  SP;  1240; Saúde; 22.26%; 2800055.95; 2109111.06; 690944.89; Assistência Social; 20.02%; 1148259.75; 526883.12; 621376.63; Urbanismo; 14.92%; 1152550.52; 689420.44; 463130.08; Agricultura; 07.38%; 244183.39; 473306.05; -229122.66; Educação; 07.14%; 2031577.64; 1809922.63; 221655.01;  1.13
Prefeitura Municipal de André da Rocha - RS;  4300661;  RS;  1286; Administração; 29.69%; 3080815.62; 1901414.58; 1179401.04; Urbanismo; 17.56%; 77534.55; 775098.33; -697563.78; Educação; 15.57%; 1241870.67; 1860506.42; -618635.75; Transporte; 05.70%; 490277.64; 716734.34; -226456.70; Agricultura; 05.64%; 658010.24; 433800.96; 224209.28;  1.11
Prefeitura Municipal de Chapada de Areia - TO;  1704600;  TO;  1391; Saúde; 23.30%; 1332881.06; 2249576.15; -916695.09; Transporte; 16.81%; 146613.08; 807917.85; -661304.77; Administração; 12.33%; 1487050.41; 1972213.35; -485162.94; Educação; 10.56%; 1417064.83; 1832539.77; -415474.94; Urbanismo; 08.09%; 1017421.33; 699254.99; 318166.34;  1.13
