###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Serra da Saudade - MG;  3166600;  MG;  825; Previdência Social; 18.43%; 678863.74; 182792.39; 496071.35; Educação; 12.69%; 2034481.24; 1692966.49; 341514.75; Administração; 11.85%; 1373290.45; 1692346.90; -319056.45; Assistência Social; 10.82%; 198209.86; 489543.75; -291333.89; Saúde; 10.41%; 1710394.15; 1990621.67; -280227.52;  1.12
Prefeitura Municipal de Borá - SP;  3507209;  SP;  834; Educação; 15.27%; 1298021.33; 1736354.27; -438332.94; Administração; 14.63%; 2125338.69; 1705442.81; 419895.88; Agricultura; 11.38%; 109142.73; 435755.49; -326612.76; Saúde; 08.75%; 2265117.85; 2013868.22; 251249.63; Transporte; 07.59%; 967753.48; 749956.66; 217796.82;  1.08
Prefeitura Municipal de Araguainha - MT;  5101209;  MT;  1024; Urbanismo; 15.23%; 68888.72; 592221.51; -523332.79; Agricultura; 12.67%; 1356.00; 436803.59; -435447.59; Educação; 12.44%; 1292446.27; 1719775.01; -427328.74; Saúde; 12.22%; 1611473.22; 2031158.93; -419685.71; Orçamentárias); 07.74%; 306575.23; 40638.78; 265936.45;  1.21
Prefeitura Municipal de Anhanguera - GO;  5201207;  GO;  1082; Administração; 45.81%; 7798935.00; 1728951.92; 6069983.08; Saúde; 15.24%; 0; 2019816.07; -2019816.07; Educação; 12.89%; 0; 1708225.58; -1708225.58; Transporte; 05.60%; 0; 741502.46; -741502.46; Urbanismo; 04.36%; 0; 578077.38; -578077.38;  1.63
Prefeitura Municipal de Oliveira de Fátima - TO;  1715507;  TO;  1085; Administração; 24.73%; 1083340.07; 1790763.11; -707423.04; Saúde; 19.49%; 1460824.70; 2018183.54; -557358.84; Transporte; 18.26%; 213885.70; 736177.64; -522291.94; Assistência Social; 05.66%; 327548.21; 489336.92; -161788.71; Encargos Especiais; 04.41%; 0; 126251.01; -126251.01;  1.08
Prefeitura Municipal de Nova Castilho - SP;  3532868;  SP;  1195; Educação; 24.84%; 2306920.31; 1683649.41; 623270.90; Orçamentárias); 19.58%; 524183.76; 32773.36; 491410.40; Administração; 09.71%; 1994769.58; 1751230.75; 243538.83; Agricultura; 08.18%; 217379.89; 422561.61; -205181.72; Urbanismo; 05.14%; 703825.46; 574927.68; 128897.78;  1.05
Prefeitura Municipal de Cedro do Abaeté - MG;  3115607;  MG;  1227; Administração; 32.35%; 550683.76; 1757475.34; -1206791.58; Essencial à Justiça; 12.06%; 456737.55; 6691.57; 450045.98; Agricultura; 09.98%; 45146.89; 417300.54; -372153.65; Previdência Social; 09.11%; 524163.42; 184403.02; 339760.40; Cultura; 05.89%; 319802.62; 100225.04; 219577.58;  1.39
Prefeitura Municipal de Miguel Leão - PI;  2206308;  PI;  1244; Saúde; 19.55%; 1279210.07; 2035823.81; -756613.74; Transporte; 18.70%; 0; 723930.29; -723930.29; Educação; 12.95%; 1210304.51; 1711635.29; -501330.78; Agricultura; 10.46%; 35058.06; 439899.63; -404841.57; Urbanismo; 08.90%; 236247.77; 580534.67; -344286.90;  1.23
Prefeitura Municipal de Uru - SP;  3555901;  SP;  1252; Educação; 41.14%; 3558309.71; 1666355.40; 1891954.31; Urbanismo; 11.68%; 1096241.34; 559339.96; 536901.38; Assistência Social; 10.58%; 971663.71; 485091.39; 486572.32; Saúde; 07.47%; 2353249.57; 2009778.76; 343470.81; Administração; 06.43%; 1482355.88; 1777921.99; -295566.11;  1.07
Prefeitura Municipal de André da Rocha - RS;  4300661;  RS;  1278; Administração; 23.65%; 2742210.92; 1744436.06; 997774.86; Desporto e Lazer; 15.22%; 734724.79; 92633.03; 642091.76; Educação; 14.78%; 1100488.61; 1724069.61; -623581.00; Urbanismo; 11.57%; 83091.87; 571470.80; -488378.93; Transporte; 07.92%; 1052062.34; 717824.92; 334237.42;  1.12
Prefeitura Municipal de Lagoa Santa - GO;  5212253;  GO;  1377; Transporte; 14.64%; 1265647.30; 704897.40; 560749.90; Urbanismo; 14.10%; 40072.00; 580227.46; -540155.46; Educação; 13.57%; 2214225.66; 1694575.11; 519650.55; Previdência Social; 11.95%; 622309.16; 164567.24; 457741.92; Agricultura; 11.39%; 800.00; 436899.55; -436099.55;  1.15
Prefeitura Municipal de Chapada de Areia - TO;  1704600;  TO;  1386; Administração; 20.30%; 1024891.94; 1788310.81; -763418.87; Saúde; 17.62%; 1371782.45; 2034400.92; -662618.47; Urbanismo; 16.72%; 1172679.66; 543998.32; 628681.34; Transporte; 11.70%; 292966.74; 732806.83; -439840.09; Educação; 10.14%; 1338979.65; 1720137.41; -381157.76;  1.10
Prefeitura Municipal de Grupiara - MG;  3127909;  MG;  1414; Administração; 28.61%; 3083845.09; 1724107.76; 1359737.33; Saúde; 09.74%; 2457921.51; 1995095.68; 462825.83; Assistência Social; 07.92%; 853387.41; 477123.84; 376263.57; Transporte; 07.33%; 370780.56; 719020.49; -348239.93; Urbanismo; 06.41%; 859759.96; 555239.03; 304520.93;  1.07
Prefeitura Municipal de Santiago do Sul - SC;  4215695;  SC;  1414; Agricultura; 17.07%; 955690.81; 428045.68; 527645.13; Administração; 14.84%; 1294923.53; 1753498.72; -458575.19; Urbanismo; 13.14%; 157122.32; 563175.86; -406053.54; Transporte; 10.94%; 1053363.22; 715122.41; 338240.81; Saúde; 10.19%; 1698557.13; 2013564.21; -315007.08;  1.11
Prefeitura Municipal de Jardim Olinda - PR;  4112603;  PR;  1424; Urbanismo; 27.85%; 1584036.51; 535909.27; 1048127.24; Previdência Social; 12.93%; 644609.82; 158106.52; 486503.30; Saúde; 12.24%; 2453546.06; 1992842.83; 460703.23; Orçamentárias); 10.36%; 429581.97; 39560.26; 390021.71; Transporte; 08.95%; 394441.91; 731203.47; -336761.56;  1.11
Prefeitura Municipal de Cachoeira de Goiás - GO;  5204201;  GO;  1436; Urbanismo; 28.47%; 1266472.65; 534157.34; 732315.31; Educação; 15.02%; 1332282.35; 1718792.93; -386510.58; Administração; 13.15%; 2066952.87; 1728527.67; 338425.20; Agricultura; 08.95%; 221886.78; 452157.84; -230271.06; Legislativa; 05.05%; 510485.07; 380567.14; 129917.93;  1.05
Prefeitura Municipal de União da Serra - RS;  4322350;  RS;  1457; Educação; 17.13%; 1200991.66; 1738798.17; -537806.51; Agricultura; 15.56%; 923003.51; 434722.78; 488280.73; Transporte; 12.72%; 1100594.66; 701342.80; 399251.86; Previdência Social; 11.95%; 530264.24; 155022.59; 375241.65; Assistência Social; 08.62%; 219883.74; 490307.08; -270423.34;  1.06
Prefeitura Municipal de Engenho Velho - RS;  4306924;  RS;  1462; Previdência Social; 33.81%; 1339249.67; 162680.58; 1176569.09; Educação; 14.80%; 1212813.70; 1727822.52; -515008.82; Administração; 09.85%; 1380860.91; 1723505.04; -342644.13; Agricultura; 09.42%; 772349.40; 444687.69; 327661.71; Urbanismo; 05.99%; 360136.43; 568601.40; -208464.97;  2.17
Prefeitura Municipal de Serra Nova Dourada - MT;  5107883;  MT;  1463; Administração; 17.54%; 2400078.27; 1735693.08; 664385.19; Transporte; 15.60%; 116291.13; 707117.51; -590826.38; Cultura; 09.61%; 444122.80; 80062.46; 364060.34; Saúde; 09.53%; 1651155.46; 2012000.82; -360845.36; Agricultura; 09.47%; 104756.50; 463409.81; -358653.31;  1.16
Prefeitura Municipal de Lajeado Grande - SC;  4209458;  SC;  1488; Agricultura; 18.69%; 1070890.68; 447558.39; 623332.29; Transporte; 14.68%; 1174005.85; 684500.58; 489505.27; Urbanismo; 11.91%; 170605.42; 567776.13; -397170.71; Administração; 10.42%; 1399096.26; 1746686.87; -347590.61; Saúde; 07.44%; 2244405.59; 1996178.23; 248227.36;  1.15
Prefeitura Municipal de Nova Aliança do Ivaí - PR;  4116505;  PR;  1500; Transporte; 14.44%; 244538.76; 707018.90; -462480.14; Agricultura; 12.69%; 54991.11; 461471.51; -406480.40; Administração; 12.64%; 1337611.10; 1742274.12; -404663.02; Urbanismo; 11.10%; 915161.94; 559627.12; 355534.82; Saúde; 09.50%; 1706860.87; 2011108.89; -304248.02;  1.17
Prefeitura Municipal de Doresópolis - MG;  3123403;  MG;  1504; Previdência Social; 17.88%; 510109.41; 156555.29; 353554.12; Educação; 14.58%; 1988076.86; 1699778.74; 288298.12; Transporte; 09.61%; 580414.52; 770435.81; -190021.29; Urbanismo; 08.80%; 387334.47; 561352.19; -174017.72; Legislativa; 07.41%; 526925.80; 380279.51; 146646.29;  1.07
Prefeitura Municipal de Santa Salete - SP;  3547650;  SP;  1511; Urbanismo; 26.28%; 1368019.32; 545764.42; 822254.90; Saúde; 11.38%; 2357744.98; 2001772.92; 355972.06; Assistência Social; 11.32%; 821743.30; 467494.36; 354248.94; Previdência Social; 09.53%; 459229.00; 160928.20; 298300.80; Agricultura; 08.61%; 188898.90; 458203.11; -269304.21;  1.06
Prefeitura Municipal de São Félix do Tocantins - TO;  1720150;  TO;  1518; Educação; 15.68%; 1050296.65; 1705912.98; -655616.33; Urbanismo; 11.84%; 64497.20; 559796.97; -495299.77; Transporte; 11.31%; 307698.45; 780835.90; -473137.45; Saúde; 11.27%; 1542656.57; 2014083.74; -471427.17; Administração; 10.61%; 1284822.26; 1728683.86; -443861.60;  1.29
Prefeitura Municipal de Coqueiro Baixo - RS;  4305835;  RS;  1567; Administração; 20.24%; 1072099.39; 1751397.18; -679297.79; Agricultura; 19.30%; 1085114.98; 437396.21; 647718.77; Transporte; 16.64%; 1307047.60; 748468.90; 558578.70; Urbanismo; 14.62%; 93607.70; 584356.85; -490749.15; Previdência Social; 04.87%; 0; 163425.88; -163425.88;  1.04
Prefeitura Municipal de Montauri - RS;  4312351;  RS;  1568; Transporte; 31.43%; 2214190.50; 732461.30; 1481729.20; Agricultura; 16.51%; 1207355.33; 429093.66; 778261.67; Urbanismo; 07.94%; 205122.02; 579332.83; -374210.81; Assistência Social; 07.88%; 93604.66; 464949.94; -371345.28; Saneamento; 07.12%; 426655.88; 91136.79; 335519.09;  1.15
Prefeitura Municipal de Paiva - MG;  3146602;  MG;  1590; Transporte; 16.77%; 142268.15; 763794.93; -621526.78; Administração; 14.29%; 1224762.50; 1754519.42; -529756.92; Educação; 09.42%; 1357383.28; 1706421.61; -349038.33; Saneamento; 09.34%; 438817.23; 92584.59; 346232.64; Saúde; 08.86%; 1676429.66; 2004737.86; -328308.20;  1.08
Prefeitura Municipal de Tupanci do Sul - RS;  4322186;  RS;  1598; Administração; 20.88%; 1178186.85; 1746173.04; -567986.19; Urbanismo; 18.30%; 80534.62; 578219.52; -497684.90; Transporte; 11.86%; 1072482.14; 749984.82; 322497.32; Previdência Social; 06.20%; 0; 168699.20; -168699.20; Saúde; 05.99%; 1842426.78; 2005258.97; -162832.19;  1.06
Prefeitura Municipal de Carlos Gomes - RS;  4304853;  RS;  1604; Agricultura; 32.42%; 1451140.14; 426738.47; 1024401.67; Educação; 17.02%; 1178999.04; 1716696.88; -537697.84; Administração; 10.46%; 1400962.04; 1731351.96; -330389.92; Assistência Social; 06.10%; 261092.63; 453682.84; -192590.21; Previdência Social; 05.09%; 8136.00; 168796.88; -160660.88;  1.25
Prefeitura Municipal de Flor do Sertão - SC;  4205357;  SC;  1605; Transporte; 30.90%; 1716602.36; 725598.24; 991004.12; Saúde; 14.85%; 2463888.37; 1987489.51; 476398.86; Administração; 11.48%; 1369637.23; 1737750.66; -368113.43; Agricultura; 09.28%; 729954.84; 432422.51; 297532.33; Urbanismo; 08.09%; 313967.98; 573505.26; -259537.28;  1.06
Prefeitura Municipal de Vista Alegre do Prata - RS;  4323606;  RS;  1614; Saúde; 22.98%; 2770034.13; 1982828.14; 787205.99; Administração; 17.04%; 2305423.80; 1721720.45; 583703.35; Urbanismo; 12.70%; 149131.92; 584274.04; -435142.12; Agricultura; 09.34%; 749576.66; 429634.08; 319942.58; Transporte; 08.41%; 1016545.43; 728345.27; 288200.16;  1.06
Prefeitura Municipal de São Sebastião do Rio Preto - MG;  3164803;  MG;  1622; Administração; 17.42%; 960651.32; 1737223.22; -776571.90; Urbanismo; 14.31%; 1209666.57; 571912.10; 637754.47; Saúde; 14.02%; 2613233.79; 1988158.37; 625075.42; Educação; 08.37%; 1374727.52; 1747651.30; -372923.78; Agricultura; 08.05%; 84987.91; 443881.35; -358893.44;  1.03
Prefeitura Municipal de Guabiju - RS;  4309258;  RS;  1625; Administração; 29.48%; 3148135.82; 1702204.17; 1445931.65; Assistência Social; 11.99%; 1033782.30; 445848.02; 587934.28; Urbanismo; 10.82%; 57339.47; 588162.00; -530822.53; Educação; 10.52%; 1240933.00; 1757075.53; -516142.53; Saúde; 10.05%; 1517182.21; 2010254.28; -493072.07;  1.11
Prefeitura Municipal de Santana da Ponte Pensa - SP;  3547205;  SP;  1629; Saúde; 16.04%; 2473609.88; 1989947.24; 483662.64; Previdência Social; 13.92%; 578983.81; 159403.85; 419579.96; Administração; 13.32%; 1342977.87; 1744653.32; -401675.45; Desporto e Lazer; 11.44%; 472209.01; 127364.07; 344844.94; Educação; 09.03%; 2016488.28; 1744173.25; 272315.03;  1.05
Prefeitura Municipal de Trabiju - SP;  3554755;  SP;  1635; Urbanismo; 23.99%; 1689810.77; 551306.90; 1138503.87; Educação; 21.75%; 2767450.97; 1735225.50; 1032225.47; Transporte; 15.57%; 0; 738961.62; -738961.62; Legislativa; 08.39%; 0; 398295.03; -398295.03; Cultura; 05.40%; 342116.30; 85865.92; 256250.38;  1.12
Prefeitura Municipal de Fernão - SP;  3515657;  SP;  1646; Orçamentárias); 15.12%; 509230.33; 39585.94; 469644.39; Transporte; 13.65%; 300119.57; 724127.19; -424007.62; Administração; 12.58%; 1346149.50; 1737022.07; -390872.57; Urbanismo; 08.51%; 837560.28; 573102.97; 264457.31; Educação; 07.95%; 1527810.42; 1774873.58; -247063.16;  1.02
Prefeitura Municipal de Lagoa dos Três Cantos - RS;  4311270;  RS;  1648; Transporte; 24.62%; 1454075.36; 696096.10; 757979.26; Urbanismo; 13.96%; 201761.26; 631637.61; -429876.35; Saúde; 13.05%; 2399299.97; 1997486.93; 401813.04; Encargos Especiais; 07.92%; 397019.57; 152991.85; 244027.72; Administração; 05.18%; 1573689.70; 1733120.23; -159430.53;  1.09
Prefeitura Municipal de São João da Paraúna - GO;  5220058;  GO;  1649; Saúde; 13.86%; 2461028.89; 1998557.22; 462471.67; Educação; 12.09%; 2182743.68; 1779482.33; 403261.35; Administração; 11.53%; 2102199.09; 1717621.83; 384577.26; Transporte; 08.91%; 997485.96; 700242.35; 297243.61; Assistência Social; 07.11%; 687428.34; 450201.13; 237227.21;  1.18
Prefeitura Municipal de Crixás do Tocantins - TO;  1706258;  TO;  1651; Saúde; 19.87%; 1373364.83; 2016514.78; -643149.95; Urbanismo; 17.39%; 56540.48; 619530.42; -562989.94; Educação; 13.89%; 2224764.35; 1775281.75; 449482.60; Agricultura; 12.34%; 51514.92; 451076.82; -399561.90; Previdência Social; 05.02%; 0; 162517.74; -162517.74;  1.08
Prefeitura Municipal de Ponte Branca - MT;  5106703;  MT;  1679; Urbanismo; 17.83%; 1719804.77; 588591.15; 1131213.62; Saúde; 17.21%; 3078747.08; 1986876.09; 1091870.99; Educação; 16.59%; 2816593.59; 1764625.36; 1051968.23; Administração; 13.63%; 2583695.53; 1719036.65; 864658.88; Legislativa; 06.24%; 1000.00; 396702.73; -395702.73;  1.10
Prefeitura Municipal de Presidente Castello Branco - SC;  4213906;  SC;  1691; Agricultura; 32.78%; 1731110.60; 460810.43; 1270300.17; Urbanismo; 12.07%; 1075384.78; 607551.19; 467833.59; Saúde; 09.74%; 2375854.93; 1998499.37; 377355.56; Transporte; 07.21%; 973837.38; 694323.85; 279513.53; Educação; 06.00%; 2018764.93; 1786319.25; 232445.68;  1.39
Prefeitura Municipal de Antônio Prado de Minas - MG;  3103108;  MG;  1692; Educação; 22.92%; 1133925.88; 1803766.45; -669840.57; Transporte; 16.77%; 219354.19; 709324.78; -489970.59; Administração; 15.11%; 2155383.80; 1713827.57; 441556.23; Comércio e Serviços; 09.05%; 282135.59; 17672.55; 264463.04; Previdência Social; 05.48%; 0; 160196.06; -160196.06;  1.21
Prefeitura Municipal de Linha Nova - RS;  4311643;  RS;  1692; Administração; 29.45%; 3370354.33; 1686703.78; 1683650.55; Transporte; 12.12%; 16867.58; 709653.36; -692785.78; Saúde; 10.86%; 1400421.10; 2021291.40; -620870.30; Urbanismo; 09.80%; 59927.49; 620306.73; -560379.24; Educação; 08.15%; 1337176.80; 1803204.51; -466027.71;  1.09
Prefeitura Municipal de Viçosa - RN;  2414902;  RN;  1696; Transporte; 16.64%; 0; 707295.00; -707295.00; Previdência Social; 14.69%; 771403.95; 146922.67; 624481.28; Assistência Social; 13.01%; 985074.15; 431933.42; 553140.73; Administração; 12.50%; 1199962.87; 1731608.59; -531645.72; Urbanismo; 11.86%; 1102286.46; 598104.33; 504182.13;  1.16
Prefeitura Municipal de Paial - SC;  4211876;  SC;  1698; Administração; 17.31%; 1197854.03; 1719316.27; -521462.24; Agricultura; 15.28%; 916422.30; 456185.86; 460236.44; Saúde; 15.10%; 2458501.32; 2003691.40; 454809.92; Saneamento; 13.33%; 488292.07; 86750.51; 401541.56; Urbanismo; 09.42%; 326022.77; 609883.27; -283860.50;  1.09
Prefeitura Municipal de Flora Rica - SP;  3515806;  SP;  1699; Administração; 36.88%; 2859843.44; 1694977.05; 1164866.39; Educação; 14.78%; 2248445.10; 1781706.69; 466738.41; Agricultura; 11.45%; 110492.72; 472074.42; -361581.70; Encargos Especiais; 04.97%; 0; 157021.45; -157021.45; Previdência Social; 04.86%; 0; 153633.44; -153633.44;  1.30
Prefeitura Municipal de Santa Cecília do Sul - RS;  4316733;  RS;  1700; Transporte; 25.43%; 1486906.99; 694598.13; 792308.86; Urbanismo; 18.39%; 43554.74; 616395.41; -572840.67; Saúde; 10.14%; 1697360.58; 2013350.47; -315989.89; Agricultura; 06.29%; 662884.90; 466797.65; 196087.25; Educação; 05.95%; 1574816.76; 1760199.65; -185382.89;  1.13
Prefeitura Municipal de União Paulista - SP;  3555703;  SP;  1712; Orçamentárias); 17.10%; 479782.61; 25876.59; 453906.02; Saúde; 14.01%; 2381143.39; 2009163.65; 371979.74; Transporte; 12.04%; 388454.31; 707981.45; -319527.14; Urbanismo; 10.42%; 896230.57; 619719.12; 276511.45; Educação; 06.89%; 1599037.78; 1781864.84; -182827.06;  1.07
Prefeitura Municipal de Gentil - RS;  4308854;  RS;  1717; Desporto e Lazer; 25.19%; 1052279.33; 121726.22; 930553.11; Urbanismo; 12.85%; 154982.23; 629735.93; -474753.70; Agricultura; 12.49%; 942650.83; 481143.23; 461507.60; Saneamento; 08.71%; 416794.92; 94869.56; 321925.36; Administração; 07.14%; 1954502.80; 1690566.06; 263936.74;  1.05
Prefeitura Municipal de Tupirama - TO;  1721257;  TO;  1718; Administração; 19.97%; 1022329.57; 1710589.68; -688260.11; Saúde; 19.04%; 1391109.60; 2047302.95; -656193.35; Transporte; 15.49%; 204021.98; 737795.09; -533773.11; Agricultura; 12.49%; 65044.21; 495323.92; -430279.71; Previdência Social; 06.68%; 383376.70; 153133.39; 230243.31;  1.15
Prefeitura Municipal de Jardinópolis - SC;  4208955;  SC;  1721; Transporte; 16.85%; 1226189.21; 717909.70; 508279.51; Administração; 14.18%; 1257779.29; 1685507.19; -427727.90; Urbanismo; 13.26%; 209758.73; 609665.99; -399907.26; Agricultura; 12.59%; 859470.35; 479869.16; 379601.19; Encargos Especiais; 09.76%; 450174.10; 155886.92; 294287.18;  1.05
Prefeitura Municipal de Moiporá - GO;  5213400;  GO;  1744; Encargos Especiais; 26.49%; 983237.46; 150055.14; 833182.32; Educação; 18.62%; 1222865.25; 1808392.07; -585526.82; Administração; 08.20%; 1430391.36; 1688164.58; -257773.22; Saúde; 06.99%; 1815369.75; 2035272.53; -219902.78; Previdência Social; 05.04%; 0; 158610.20; -158610.20;  1.10
Prefeitura Municipal de Tigrinhos - SC;  4217956;  SC;  1746; Urbanismo; 18.55%; 136004.41; 600080.43; -464076.02; Gestão Ambiental; 17.42%; 478200.00; 42314.95; 435885.05; Agricultura; 16.38%; 888352.04; 478531.57; 409820.47; Saúde; 08.95%; 2244676.03; 2020670.05; 224005.98; Previdência Social; 05.97%; 0; 149401.49; -149401.49;  1.07
Prefeitura Municipal de São José do Brejo do Cruz - PB;  2514651;  PB;  1753; Urbanismo; 21.58%; 1489601.12; 565421.78; 924179.34; Educação; 17.38%; 2547753.75; 1803245.06; 744508.69; Transporte; 16.96%; 0; 726563.53; -726563.53; Administração; 12.59%; 1143993.71; 1683067.95; -539074.24; Saúde; 04.25%; 1843845.69; 2025660.19; -181814.50;  1.06
Prefeitura Municipal de Coronel Pilar - RS;  4305934;  RS;  1754; Administração; 28.47%; 2997292.05; 1689181.42; 1308110.63; Transporte; 15.69%; 0; 720959.25; -720959.25; Agricultura; 12.05%; 1022140.38; 468621.22; 553519.16; Urbanismo; 11.49%; 62100.34; 589881.40; -527781.06; Educação; 11.29%; 1306708.70; 1825473.24; -518764.54;  1.19
Prefeitura Municipal de Ponte Preta - RS;  4314787;  RS;  1757; Educação; 19.34%; 1409474.22; 1823932.46; -414458.24; Administração; 19.21%; 1284400.58; 1696050.58; -411650.00; Saúde; 09.96%; 1814121.39; 2027629.09; -213507.70; Agricultura; 07.63%; 636972.96; 473456.58; 163516.38; Previdência Social; 07.13%; 0; 152767.18; -152767.18;  1.08
Prefeitura Municipal de Dirce Reis - SP;  3513850;  SP;  1760; Orçamentárias); 13.70%; 470764.53; 19868.53; 450896.00; Agricultura; 10.01%; 141228.20; 470835.20; -329607.00; Previdência Social; 09.92%; 474155.28; 147712.32; 326442.96; Urbanismo; 09.37%; 896733.48; 588488.95; 308244.53; Desporto e Lazer; 07.42%; 379626.88; 135319.69; 244307.19;  1.00
Prefeitura Municipal de Nicolau Vergueiro - RS;  4312674;  RS;  1763; Transporte; 58.97%; 4340574.06; 655942.57; 3684631.49; Educação; 08.49%; 1294863.74; 1825551.81; -530688.07; Urbanismo; 07.65%; 121503.18; 599772.78; -478269.60; Agricultura; 06.10%; 844605.69; 463525.05; 381080.64; Saúde; 03.59%; 1806615.90; 2030946.00; -224330.10;  1.15
