###Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_absoluto_suav_norm
Prefeitura Municipal de Serra da Saudade - MG;  3166600;  MG;  822; Previdência Social; 25.13%; 765341.41; 169749.03; 595592.38; Assistência Social; 13.86%; 203225.31; 531605.97; -328380.66; Saúde; 09.42%; 2058961.55; 2282183.96; -223222.41; Urbanismo; 07.45%; 471185.99; 647846.86; -176660.87; Agricultura; 06.58%; 407602.73; 563635.59; -156032.86;  1.24
Prefeitura Municipal de Borá - SP;  3507209;  SP;  835; Agricultura; 17.45%; 122302.10; 593668.21; -471366.11; Administração; 13.94%; 2159247.85; 1782704.54; 376543.31; Assistência Social; 12.55%; 853422.87; 514458.60; 338964.27; Educação; 09.54%; 1607886.67; 1865465.68; -257579.01; Saúde; 06.88%; 2474187.82; 2288490.61; 185697.21;  1.03
Prefeitura Municipal de Araguainha - MT;  5101209;  MT;  1000; Saúde; 19.60%; 1482082.07; 2293648.86; -811566.79; Urbanismo; 14.82%; 21803.19; 635234.43; -613431.24; Agricultura; 13.85%; 7260.90; 580574.71; -573313.81; Educação; 10.72%; 1414489.80; 1858310.71; -443820.91; Legislativa; 10.64%; 0; 440448.66; -440448.66;  1.32
Prefeitura Municipal de Oliveira de Fátima - TO;  1715507;  TO;  1091; Saúde; 25.79%; 1430044.71; 2293648.86; -863604.15; Transporte; 12.52%; 515671.03; 934839.60; -419168.57; Educação; 10.71%; 2217017.26; 1858310.71; 358706.55; Administração; 09.56%; 1473095.75; 1793164.08; -320068.33; Assistência Social; 06.82%; 295347.05; 523874.27; -228527.22;  1.11
Prefeitura Municipal de Nova Castilho - SP;  3532868;  SP;  1206; Administração; 19.67%; 2550051.63; 1764098.20; 785953.43; Educação; 12.65%; 2365592.11; 1860076.77; 505515.34; Transporte; 10.78%; 518672.78; 949650.88; -430978.10; Despesas (Intraorçamentárias); 10.22%; 468363.39; 59989.15; 408374.24; Urbanismo; 08.47%; 987635.46; 649241.90; 338393.56;  1.04
Prefeitura Municipal de Cedro do Abaeté - MG;  3115607;  MG;  1222; Administração; 24.96%; 688569.25; 1785340.18; -1096770.93; Essencial à Justiça; 11.44%; 502741.43; 0.00; 502741.43; Agricultura; 10.76%; 99625.58; 572246.86; -472621.28; Transporte; 09.92%; 502158.93; 938002.83; -435843.90; Previdência Social; 08.57%; 542546.78; 166054.51; 376492.27;  1.23
Prefeitura Municipal de Miguel Leão - PI;  2206308;  PI;  1239; Transporte; 24.10%; 38801.00; 938002.83; -899201.83; Saúde; 15.01%; 1747731.38; 2307640.04; -559908.66; Agricultura; 14.30%; 38772.47; 572246.86; -533474.39; Urbanismo; 09.10%; 318758.05; 658387.67; -339629.62; Educação; 08.18%; 1568461.42; 1873739.35; -305277.93;  1.12
Prefeitura Municipal de Uru - SP;  3555901;  SP;  1240; Assistência Social; 18.16%; 1148259.75; 528795.02; 619464.73; Urbanismo; 14.49%; 1152550.52; 658387.67; 494162.85; Saúde; 14.44%; 2800055.95; 2307640.04; 492415.91; Agricultura; 09.62%; 244183.39; 572246.86; -328063.47; Transporte; 05.80%; 740197.45; 938002.83; -197805.38;  1.13
Prefeitura Municipal de André da Rocha - RS;  4300661;  RS;  1286; Administração; 32.92%; 3080815.62; 1785340.18; 1295475.44; Educação; 16.05%; 1241870.67; 1873739.35; -631868.68; Urbanismo; 14.76%; 77534.55; 658387.67; -580853.12; Transporte; 11.38%; 490277.64; 938002.83; -447725.19; Encargos Especiais; 04.94%; 0; 194450.91; -194450.91;  1.11
Prefeitura Municipal de Chapada de Areia - TO;  1704600;  TO;  1391; Saúde; 24.21%; 1332881.06; 2307640.04; -974758.98; Transporte; 19.65%; 146613.08; 938002.83; -791389.75; Educação; 11.34%; 1417064.83; 1873739.35; -456674.52; Urbanismo; 08.92%; 1017421.33; 658387.67; 359033.66; Administração; 07.41%; 1487050.41; 1785340.18; -298289.77;  1.13
