##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)";lof_relativo_med
Prefeitura Municipal de Serra da Saudade - MG; 3166600; MG; 822; 2.09% / 532299.23 / 468752.14; 0.00% / 0 / 0.00; 1.63% / 50105.60 / 364.50; 0.69% / 1773843.07 / 1752888.15; 0.00% / 0 / 0.00; 0.25% / 0 / 7613.70; 0.00% / 0 / 0.00; 9.75% / 203225.31 / 500129.19; 20.09% / 765341.41 / 153569.77; 10.29% / 2058961.55 / 2372303.28; 0.00% / 0 / 0.00; 18.34% / 1912168.43 / 2470622.93; 5.64% / 250306.56 / 78586.21; 0.00% / 0 / 0.00; 3.81% / 471185.99 / 587070.79; 0.03% / 34577.90 / 33645.48; 0.36% / 44884.13 / 33966.82; 0.22% / 40362.49 / 46943.69; 0.00% / 0 / 0.00; 4.46% / 407602.73 / 543468.61; 0.00% / 0 / 0.00; 0.03% / 0 / 790.00; 0.06% / 0 / 1829.74; 0.02% / 0 / 686.66; 1.14% / 48572.77 / 13768.61; 11.13% / 1021040.87 / 682033.14; 0.73% / 64974.09 / 87188.85; 2.05% / 91040.78 / 153600.57; 7.20% / 9770492.91 / 9989822.82; 0.00% / 0 / 0.00; 2.58
Prefeitura Municipal de Borá - SP; 3507209; SP; 835; 3.27% / 582256.52 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 11.69% / 2159247.85 / 1752888.15; 0.00% / 0 / 0.00; 0.22% / 0 / 7613.70; 0.00% / 0 / 0.00; 10.17% / 853422.87 / 500129.19; 4.42% / 0 / 153569.77; 2.93% / 2474187.82 / 2372303.28; 0.00% / 0 / 0.00; 24.83% / 1607886.67 / 2470622.93; 2.23% / 935.45 / 78586.21; 0.00% / 0 / 0.00; 0.34% / 599010.40 / 587070.79; 0.97% / 0 / 33645.48; 0.98% / 0 / 33966.82; 1.35% / 0 / 46943.69; 0.00% / 0 / 0.00; 12.12% / 122302.10 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.05% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.40% / 0 / 13768.61; 3.44% / 801602.09 / 682033.14; 1.04% / 51098.72 / 87188.85; 1.35% / 106852.65 / 153600.57; 18.16% / 9358803.14 / 9989822.82; 0.00% / 0 / 0.00; 2.31
Prefeitura Municipal de Araguainha - MT; 5101209; MT; 1000; 5.85% / 0 / 468752.14; 2.94% / 235426.98 / 0.00; 0.00% / 0 / 364.50; 1.31% / 1858211.62 / 1752888.15; 0.00% / 0 / 0.00; 0.09% / 0 / 7613.70; 0.00% / 0 / 0.00; 0.82% / 565910.96 / 500129.19; 1.92% / 0 / 153569.77; 11.10% / 1482082.07 / 2372303.28; 0.09% / 7238.19 / 0.00; 13.17% / 1414489.80 / 2470622.93; 0.59% / 125767.61 / 78586.21; 0.00% / 0 / 0.00; 7.05% / 21803.19 / 587070.79; 0.38% / 3408.28 / 33645.48; 0.92% / 107381.29 / 33966.82; 0.54% / 3726.00 / 46943.69; 0.00% / 0 / 0.00; 6.69% / 7260.90 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.02% / 0 / 1829.74; 0.01% / 0 / 686.66; 0.17% / 0 / 13768.61; 1.40% / 794464.26 / 682033.14; 1.09% / 0 / 87188.85; 1.92% / 0 / 153600.57; 41.93% / 6627171.15 / 9989822.82; 0.00% / 0 / 0.00; 3.09
Prefeitura Municipal de Oliveira de Fátima - TO; 1715507; TO; 1091; 0.90% / 428982.32 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 6.37% / 1473095.75 / 1752888.15; 0.00% / 0 / 0.00; 0.07% / 10497.05 / 7613.70; 0.00% / 0 / 0.00; 4.66% / 295347.05 / 500129.19; 0.96% / 111416.70 / 153569.77; 21.44% / 1430044.71 / 2372303.28; 1.51% / 66184.02 / 0.00; 5.77% / 2217017.26 / 2470622.93; 1.77% / 900.00 / 78586.21; 0.00% / 0 / 0.00; 2.84% / 711906.10 / 587070.79; 0.65% / 62265.34 / 33645.48; 0.77% / 0 / 33966.82; 1.63% / 118466.38 / 46943.69; 0.00% / 0 / 0.00; 2.84% / 668134.80 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.04% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.09% / 17774.53 / 13768.61; 3.79% / 515671.03 / 682033.14; 5.92% / 347422.22 / 87188.85; 3.49% / 0 / 153600.57; 34.46% / 8475125.26 / 9989822.82; 0.00% / 0 / 0.00; 1.75
Prefeitura Municipal de Nova Castilho - SP; 3532868; SP; 1206; 1.65% / 522845.06 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 24.37% / 2550051.63 / 1752888.15; 0.00% / 0 / 0.00; 0.23% / 0 / 7613.70; 0.00% / 0 / 0.00; 1.01% / 466932.71 / 500129.19; 4.69% / 0 / 153569.77; 11.90% / 1983189.89 / 2372303.28; 0.00% / 0 / 0.00; 3.21% / 2365592.11 / 2470622.93; 0.88% / 49730.38 / 78586.21; 0.00% / 0 / 0.00; 12.25% / 987635.46 / 587070.79; 1.03% / 0 / 33645.48; 4.43% / 178715.16 / 33966.82; 0.14% / 51660.58 / 46943.69; 0.00% / 0 / 0.00; 7.64% / 293583.35 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.06% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.42% / 0 / 13768.61; 4.99% / 518672.78 / 682033.14; 0.99% / 54663.17 / 87188.85; 4.70% / 0 / 153600.57; 1.02% / 10023272.28 / 9989822.82; 14.32% / 468363.39 / 0.00; 1.73
Prefeitura Municipal de Cedro do Abaeté - MG; 3115607; MG; 1222; 0.21% / 457888.91 / 468752.14; 0.00% / 0 / 0.00; 9.51% / 502741.43 / 364.50; 20.15% / 688569.25 / 1752888.15; 0.00% / 0 / 0.00; 0.10% / 12714.21 / 7613.70; 0.00% / 0 / 0.00; 3.37% / 321911.87 / 500129.19; 7.36% / 542546.78 / 153569.77; 5.34% / 2654263.92 / 2372303.28; 0.00% / 0 / 0.00; 11.59% / 1858587.96 / 2470622.93; 5.61% / 375174.05 / 78586.21; 0.00% / 0 / 0.00; 2.15% / 700452.03 / 587070.79; 1.56% / 115822.28 / 33645.48; 0.64% / 0 / 33966.82; 1.63% / 133153.70 / 46943.69; 0.00% / 0 / 0.00; 8.40% / 99625.58 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.03% / 0 / 1829.74; 0.01% / 0 / 686.66; 0.26% / 0 / 13768.61; 3.40% / 502158.93 / 682033.14; 0.96% / 36569.06 / 87188.85; 0.96% / 102931.61 / 153600.57; 16.75% / 9105111.57 / 9989822.82; 0.00% / 0 / 0.00; 7.34
Prefeitura Municipal de Miguel Leão - PI; 2206308; PI; 1239; 1.62% / 353147.28 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 2.91% / 1959753.42 / 1752888.15; 0.00% / 0 / 0.00; 0.11% / 0 / 7613.70; 0.00% / 0 / 0.00; 2.07% / 352530.54 / 500129.19; 2.16% / 0 / 153569.77; 8.77% / 1747731.38 / 2372303.28; 0.00% / 0 / 0.00; 12.67% / 1568461.42 / 2470622.93; 0.40% / 49945.00 / 78586.21; 0.00% / 0 / 0.00; 3.77% / 318758.05 / 587070.79; 0.47% / 0 / 33645.48; 0.48% / 0 / 33966.82; 0.26% / 28350.00 / 46943.69; 0.00% / 0 / 0.00; 7.09% / 38772.47 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.17% / 14000.00 / 1829.74; 0.74% / 53574.66 / 686.66; 0.19% / 0 / 13768.61; 9.04% / 38801.00 / 682033.14; 0.77% / 32504.00 / 87188.85; 0.10% / 146516.87 / 153600.57; 46.18% / 6702846.09 / 9989822.82; 0.00% / 0 / 0.00; 1.87
Prefeitura Municipal de Uru - SP; 3555901; SP; 1240; 5.16% / 271757.94 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 5.47% / 1961455.54 / 1752888.15; 0.00% / 0 / 0.00; 0.20% / 0 / 7613.70; 0.00% / 0 / 0.00; 16.98% / 1148259.75 / 500129.19; 1.25% / 105797.77 / 153569.77; 11.21% / 2800055.95 / 2372303.28; 0.00% / 0 / 0.00; 11.50% / 2031577.64 / 2470622.93; 2.06% / 0 / 78586.21; 0.00% / 0 / 0.00; 14.82% / 1152550.52 / 587070.79; 0.88% / 0 / 33645.48; 0.89% / 0 / 33966.82; 1.23% / 0 / 46943.69; 0.00% / 0 / 0.00; 7.84% / 244183.39 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.05% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.36% / 0 / 13768.61; 1.52% / 740197.45 / 682033.14; 2.28% / 0 / 87188.85; 4.02% / 0 / 153600.57; 12.21% / 10455835.95 / 9989822.82; 0.00% / 0 / 0.00; 1.94
Prefeitura Municipal de André da Rocha - RS; 4300661; RS; 1286; 0.34% / 484982.27 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 27.87% / 3080815.62 / 1752888.15; 0.00% / 0 / 0.00; 0.01% / 8056.00 / 7613.70; 0.00% / 0 / 0.00; 0.43% / 520680.51 / 500129.19; 3.22% / 0 / 153569.77; 0.48% / 2395079.37 / 2372303.28; 2.33% / 111005.97 / 0.00; 25.79% / 1241870.67 / 2470622.93; 1.15% / 23592.02 / 78586.21; 0.00% / 0 / 0.00; 10.70% / 77534.55 / 587070.79; 0.71% / 0 / 33645.48; 0.77% / 70807.16 / 33966.82; 0.83% / 7621.83 / 46943.69; 0.00% / 0 / 0.00; 2.40% / 658010.24 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.04% / 0 / 1829.74; 0.00% / 580.64 / 686.66; 0.29% / 0 / 13768.61; 4.03% / 490277.64 / 682033.14; 1.02% / 135879.68 / 87188.85; 3.22% / 0 / 153600.57; 14.34% / 9306794.17 / 9989822.82; 0.00% / 0 / 0.00; 1.74
Prefeitura Municipal de Chapada de Areia - TO; 1704600; TO; 1391; 0.86% / 407943.58 / 468752.14; 0.53% / 37997.18 / 0.00; 0.01% / 0 / 364.50; 3.74% / 1487050.41 / 1752888.15; 0.00% / 0 / 0.00; 0.10% / 165.57 / 7613.70; 0.00% / 0 / 0.00; 2.68% / 309796.94 / 500129.19; 2.16% / 0 / 153569.77; 14.62% / 1332881.06 / 2372303.28; 0.00% / 0 / 0.00; 14.82% / 1417064.83 / 2470622.93; 0.34% / 54708.66 / 78586.21; 0.00% / 0 / 0.00; 6.05% / 1017421.33 / 587070.79; 0.32% / 10910.77 / 33645.48; 0.39% / 61890.73 / 33966.82; 1.66% / 165235.78 / 46943.69; 0.00% / 0 / 0.00; 1.26% / 632851.55 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.03% / 0 / 1829.74; 0.01% / 0 / 686.66; 0.19% / 0 / 13768.61; 7.53% / 146613.08 / 682033.14; 0.43% / 56507.73 / 87188.85; 2.16% / 0 / 153600.57; 40.10% / 7139039.20 / 9989822.82; 0.00% / 0 / 0.00; 1.55
