##Instituição; Cod.IBGE; UF; População; Top 1 CATEGORY; Top 1 %; Top 1 VALUE; Top 1 CENTROID; Top 1 DIFF ; Top 2 CATEGORY; Top 2 %; Top 2 VALUE; Top 2 CENTROID; Top 2 DIFF ; Top 3 CATEGORY; Top 3 %; Top 3 VALUE; Top 3 CENTROID; Top 3 DIFF ; Top 4 CATEGORY; Top 4 %; Top 4 VALUE; Top 4 CENTROID; Top 4 DIFF ; Top 5 CATEGORY; Top 5 %; Top 5 VALUE; Top 5 CENTROID; Top 5 DIFF ; lof_relativo_med
Prefeitura Municipal de Serra da Saudade - MG;  3166600;  MG;  822; Previdência Social; 20.09%; 765341.41; 153569.77; 611771.64; Educação; 18.34%; 1912168.43; 2470622.93; -558454.50; Transporte; 11.13%; 1021040.87; 682033.14; 339007.73; Saúde; 10.29%; 2058961.55; 2372303.28; -313341.73; Assistência Social; 09.75%; 203225.31; 500129.19; -296903.88;  2.58
Prefeitura Municipal de Borá - SP;  3507209;  SP;  835; Educação; 24.83%; 1607886.67; 2470622.93; -862736.26; Despesas (Exceto Intraorçamentárias); 18.16%; 9358803.14; 9989822.82; -631019.68; Agricultura; 12.12%; 122302.10; 543468.61; -421166.51; Administração; 11.69%; 2159247.85; 1752888.15; 406359.70; Assistência Social; 10.17%; 853422.87; 500129.19; 353293.68;  2.31
Prefeitura Municipal de Araguainha - MT;  5101209;  MT;  1000; Despesas (Exceto Intraorçamentárias); 41.93%; 6627171.15; 9989822.82; -3362651.67; Educação; 13.17%; 1414489.80; 2470622.93; -1056133.13; Saúde; 11.10%; 1482082.07; 2372303.28; -890221.21; Urbanismo; 07.05%; 21803.19; 587070.79; -565267.60; Agricultura; 06.69%; 7260.90; 543468.61; -536207.71;  3.09
Prefeitura Municipal de Oliveira de Fátima - TO;  1715507;  TO;  1091; Despesas (Exceto Intraorçamentárias); 34.46%; 8475125.26; 9989822.82; -1514697.56; Saúde; 21.44%; 1430044.71; 2372303.28; -942258.57; Administração; 06.37%; 1473095.75; 1752888.15; -279792.40; Desporto e Lazer; 05.92%; 347422.22; 87188.85; 260233.37; Educação; 05.77%; 2217017.26; 2470622.93; -253605.67;  1.75
Prefeitura Municipal de Nova Castilho - SP;  3532868;  SP;  1206; Administração; 24.37%; 2550051.63; 1752888.15; 797163.48; Despesas (Intraorçamentárias); 14.32%; 468363.39; 0.00; 468363.39; Urbanismo; 12.25%; 987635.46; 587070.79; 400564.67; Saúde; 11.90%; 1983189.89; 2372303.28; -389113.39; Agricultura; 07.64%; 293583.35; 543468.61; -249885.26;  1.73
Prefeitura Municipal de Cedro do Abaeté - MG;  3115607;  MG;  1222; Administração; 20.15%; 688569.25; 1752888.15; -1064318.90; Despesas (Exceto Intraorçamentárias); 16.75%; 9105111.57; 9989822.82; -884711.25; Educação; 11.59%; 1858587.96; 2470622.93; -612034.97; Essencial à Justiça; 09.51%; 502741.43; 364.50; 502376.93; Agricultura; 08.40%; 99625.58; 543468.61; -443843.03;  7.34
Prefeitura Municipal de Miguel Leão - PI;  2206308;  PI;  1239; Despesas (Exceto Intraorçamentárias); 46.18%; 6702846.09; 9989822.82; -3286976.73; Educação; 12.67%; 1568461.42; 2470622.93; -902161.51; Transporte; 09.04%; 38801.00; 682033.14; -643232.14; Saúde; 08.77%; 1747731.38; 2372303.28; -624571.90; Agricultura; 07.09%; 38772.47; 543468.61; -504696.14;  1.87
Prefeitura Municipal de Uru - SP;  3555901;  SP;  1240; Assistência Social; 16.98%; 1148259.75; 500129.19; 648130.56; Urbanismo; 14.82%; 1152550.52; 587070.79; 565479.73; Despesas (Exceto Intraorçamentárias); 12.21%; 10455835.95; 9989822.82; 466013.13; Educação; 11.50%; 2031577.64; 2470622.93; -439045.29; Saúde; 11.21%; 2800055.95; 2372303.28; 427752.67;  1.94
Prefeitura Municipal de André da Rocha - RS;  4300661;  RS;  1286; Administração; 27.87%; 3080815.62; 1752888.15; 1327927.47; Educação; 25.79%; 1241870.67; 2470622.93; -1228752.26; Despesas (Exceto Intraorçamentárias); 14.34%; 9306794.17; 9989822.82; -683028.65; Urbanismo; 10.70%; 77534.55; 587070.79; -509536.24; Transporte; 04.03%; 490277.64; 682033.14; -191755.50;  1.74
Prefeitura Municipal de Chapada de Areia - TO;  1704600;  TO;  1391; Despesas (Exceto Intraorçamentárias); 40.10%; 7139039.20; 9989822.82; -2850783.62; Educação; 14.82%; 1417064.83; 2470622.93; -1053558.10; Saúde; 14.62%; 1332881.06; 2372303.28; -1039422.22; Transporte; 07.53%; 146613.08; 682033.14; -535420.06; Urbanismo; 06.05%; 1017421.33; 587070.79; 430350.54;  1.55
Prefeitura Municipal de Grupiara - MG;  3127909;  MG;  1415; Despesas (Exceto Intraorçamentárias); 17.35%; 10898967.93; 9989822.82; 909145.11; Educação; 16.16%; 1624117.19; 2470622.93; -846505.74; Transporte; 11.98%; 54490.67; 682033.14; -627542.47; Urbanismo; 10.02%; 1112198.92; 587070.79; 525128.13; Administração; 07.34%; 2137297.32; 1752888.15; 384409.17;  4.48
Prefeitura Municipal de Jardim Olinda - PR;  4112603;  PR;  1416; Urbanismo; 25.39%; 1590394.34; 587070.79; 1003323.55; Previdência Social; 16.69%; 812928.08; 153569.77; 659358.31; Agricultura; 12.19%; 61890.42; 543468.61; -481578.19; Legislativa; 11.86%; 0; 468752.14; -468752.14; Transporte; 07.24%; 395974.15; 682033.14; -286058.99;  1.75
Prefeitura Municipal de Engenho Velho - RS;  4306924;  RS;  1428; Previdência Social; 29.82%; 1227701.16; 153569.77; 1074131.39; Educação; 27.92%; 1465052.71; 2470622.93; -1005570.22; Saneamento; 07.13%; 290711.23; 33966.82; 256744.41; Saúde; 06.65%; 2132921.46; 2372303.28; -239381.82; Administração; 05.94%; 1538781.05; 1752888.15; -214107.10;  2.21
Prefeitura Municipal de União da Serra - RS;  4322350;  RS;  1434; Agricultura; 26.00%; 1683050.24; 543468.61; 1139581.63; Educação; 25.75%; 1342261.03; 2470622.93; -1128361.90; Transporte; 10.43%; 1139032.72; 682033.14; 456999.58; Previdência Social; 09.69%; 578176.29; 153569.77; 424606.52; Urbanismo; 06.45%; 304508.71; 587070.79; -282562.08;  1.77
Prefeitura Municipal de Lajeado Grande - SC;  4209458;  SC;  1479; Transporte; 31.30%; 2163579.42; 682033.14; 1481546.28; Educação; 19.18%; 1562800.02; 2470622.93; -907822.91; Agricultura; 09.88%; 1011016.55; 543468.61; 467547.94; Urbanismo; 08.80%; 170437.47; 587070.79; -416633.32; Despesas (Exceto Intraorçamentárias); 07.29%; 10335077.71; 9989822.82; 345254.89;  1.54
Prefeitura Municipal de Serra Nova Dourada - MT;  5107883;  MT;  1492; Despesas (Exceto Intraorçamentárias); 29.03%; 11592927.99; 9989822.82; 1603105.17; Administração; 23.27%; 3037858.22; 1752888.15; 1284970.07; Transporte; 13.49%; 1427158.60; 682033.14; 745125.46; Urbanismo; 06.27%; 240989.37; 587070.79; -346081.42; Saúde; 06.07%; 2037006.38; 2372303.28; -335296.90;  1.81
Prefeitura Municipal de Nova Aliança do Ivaí - PR;  4116505;  PR;  1509; Despesas (Exceto Intraorçamentárias); 21.18%; 9121559.07; 9989822.82; -868263.75; Transporte; 15.05%; 64948.46; 682033.14; -617084.68; Agricultura; 12.07%; 48705.48; 543468.61; -494763.13; Administração; 09.23%; 1374419.65; 1752888.15; -378468.50; Habitação; 07.23%; 330000.00; 33645.48; 296354.52;  2.13
Prefeitura Municipal de Doresópolis - MG;  3123403;  MG;  1512; Transporte; 28.11%; 1568073.74; 682033.14; 886040.60; Despesas (Exceto Intraorçamentárias); 12.68%; 10389615.05; 9989822.82; 399792.23; Educação; 12.45%; 2078269.67; 2470622.93; -392353.26; Agricultura; 10.05%; 226576.01; 543468.61; -316892.60; Encargos Especiais; 07.22%; 381051.64; 153600.57; 227451.07;  1.61
Prefeitura Municipal de São Félix do Tocantins - TO;  1720150;  TO;  1532; Despesas (Exceto Intraorçamentárias); 38.83%; 6788055.26; 9989822.82; -3201767.56; Educação; 14.41%; 1282570.94; 2470622.93; -1188051.99; Transporte; 08.27%; 0; 682033.14; -682033.14; Saúde; 07.86%; 1724449.78; 2372303.28; -647853.50; Urbanismo; 05.94%; 97245.57; 587070.79; -489825.22;  2.65
Prefeitura Municipal de Montauri - RS;  4312351;  RS;  1562; Transporte; 22.20%; 1832005.93; 682033.14; 1149972.79; Educação; 17.04%; 1588234.22; 2470622.93; -882388.71; Saneamento; 12.11%; 661013.06; 33966.82; 627046.24; Agricultura; 11.14%; 1120644.01; 543468.61; 577175.40; Assistência Social; 06.44%; 166424.91; 500129.19; -333704.28;  1.63
Prefeitura Municipal de Carlos Gomes - RS;  4304853;  RS;  1588; Despesas (Exceto Intraorçamentárias); 25.57%; 8861773.70; 9989822.82; -1128049.12; Educação; 16.32%; 1750538.11; 2470622.93; -720084.82; Urbanismo; 11.23%; 91417.84; 587070.79; -495652.95; Agricultura; 10.67%; 1014349.93; 543468.61; 470881.32; Administração; 08.26%; 1388350.71; 1752888.15; -364537.44;  1.90
Prefeitura Municipal de Flor do Sertão - SC;  4205357;  SC;  1603; Despesas (Exceto Intraorçamentárias); 28.16%; 11338297.20; 9989822.82; 1348474.38; Transporte; 25.69%; 1912336.40; 682033.14; 1230303.26; Saúde; 07.08%; 2711302.33; 2372303.28; 338999.05; Indústria; 06.25%; 299963.37; 790.00; 299173.37; Urbanismo; 05.74%; 312081.14; 587070.79; -274989.65;  1.72
